auction,bidder,price,dateTime,extra,processed_time
4700116,900256,9043.68,2026-04-23T21:59:44.631Z,bid-extra-60351900008,2026-04-23T23:55:14.039Z
4700246,900566,9679.28,2026-04-23T21:59:44.631Z,bid-extra-60351900018,2026-04-23T23:55:14.039Z
4700376,900876,1325.68,2026-04-23T21:59:44.631Z,bid-extra-60351900028,2026-04-23T23:55:14.039Z
4700506,901186,1961.28,2026-04-23T21:59:44.631Z,bid-extra-60351900038,2026-04-23T23:55:14.039Z
4700636,901496,2596.88,2026-04-23T21:59:44.631Z,bid-extra-60351900048,2026-04-23T23:55:14.039Z
4700766,901806,3232.48,2026-04-23T21:59:44.632Z,bid-extra-60351900058,2026-04-23T23:55:14.039Z
4700896,902116,3868.08,2026-04-23T21:59:44.632Z,bid-extra-60351900068,2026-04-23T23:55:14.039Z
4701026,902426,4503.68,2026-04-23T21:59:44.632Z,bid-extra-60351900078,2026-04-23T23:55:14.039Z
4701156,902736,5139.28,2026-04-23T21:59:44.632Z,bid-extra-60351900088,2026-04-23T23:55:14.039Z
4701286,903046,5774.88,2026-04-23T21:59:44.632Z,bid-extra-60351900098,2026-04-23T23:55:14.039Z
4701416,903356,6410.4800000000005,2026-04-23T21:59:44.632Z,bid-extra-60351900108,2026-04-23T23:55:14.039Z
4701546,903666,7046.08,2026-04-23T21:59:44.632Z,bid-extra-60351900118,2026-04-23T23:55:14.039Z
4701676,903976,3141.6800000000003,2026-04-23T21:59:44.632Z,bid-extra-60351900128,2026-04-23T23:55:14.039Z
4701806,904286,3777.28,2026-04-23T21:59:44.632Z,bid-extra-60351900138,2026-04-23T23:55:14.039Z
4701936,904596,4412.88,2026-04-23T21:59:44.632Z,bid-extra-60351900148,2026-04-23T23:55:14.039Z
4702066,904906,5048.4800000000005,2026-04-23T21:59:44.633Z,bid-extra-60351900158,2026-04-23T23:55:14.039Z
4702196,905216,5684.08,2026-04-23T21:59:44.633Z,bid-extra-60351900168,2026-04-23T23:55:14.039Z
4702326,905526,6319.68,2026-04-23T21:59:44.633Z,bid-extra-60351900178,2026-04-23T23:55:14.039Z
