auction,bidder,price,dateTime,extra,processed_time
700116,900256,4685.28,2026-04-23T22:01:44.631Z,bid-extra-60363900008,2026-04-23T23:55:14.039Z
700246,900566,5320.88,2026-04-23T22:01:44.631Z,bid-extra-60363900018,2026-04-23T23:55:14.039Z
700376,900876,5956.4800000000005,2026-04-23T22:01:44.631Z,bid-extra-60363900028,2026-04-23T23:55:14.039Z
700506,901186,6592.08,2026-04-23T22:01:44.631Z,bid-extra-60363900038,2026-04-23T23:55:14.039Z
700636,901496,7227.68,2026-04-23T22:01:44.631Z,bid-extra-60363900048,2026-04-23T23:55:14.039Z
700766,901806,7863.280000000001,2026-04-23T22:01:44.632Z,bid-extra-60363900058,2026-04-23T23:55:14.039Z
700896,902116,8498.880000000001,2026-04-23T22:01:44.632Z,bid-extra-60363900068,2026-04-23T23:55:14.039Z
701026,902426,9134.48,2026-04-23T22:01:44.632Z,bid-extra-60363900078,2026-04-23T23:55:14.039Z
701156,902736,9770.08,2026-04-23T22:01:44.632Z,bid-extra-60363900088,2026-04-23T23:55:14.039Z
701286,903046,10405.68,2026-04-23T22:01:44.632Z,bid-extra-60363900098,2026-04-23T23:55:14.039Z
701416,903356,11041.28,2026-04-23T22:01:44.632Z,bid-extra-60363900108,2026-04-23T23:55:14.039Z
701546,903666,11676.880000000001,2026-04-23T22:01:44.632Z,bid-extra-60363900118,2026-04-23T23:55:14.039Z
701676,903976,7772.4800000000005,2026-04-23T22:01:44.632Z,bid-extra-60363900128,2026-04-23T23:55:14.039Z
701806,904286,8408.08,2026-04-23T22:01:44.632Z,bid-extra-60363900138,2026-04-23T23:55:14.039Z
701936,904596,9043.68,2026-04-23T22:01:44.632Z,bid-extra-60363900148,2026-04-23T23:55:14.039Z
702066,904906,9679.28,2026-04-23T22:01:44.633Z,bid-extra-60363900158,2026-04-23T23:55:14.039Z
702196,905216,10314.880000000001,2026-04-23T22:01:44.633Z,bid-extra-60363900168,2026-04-23T23:55:14.039Z
702326,905526,10950.48,2026-04-23T22:01:44.633Z,bid-extra-60363900178,2026-04-23T23:55:14.039Z
702456,905836,2596.88,2026-04-23T22:01:44.633Z,bid-extra-60363900188,2026-04-23T23:55:14.039Z
702586,906146,3232.48,2026-04-23T22:01:44.633Z,bid-extra-60363900198,2026-04-23T23:55:14.039Z
702716,906456,3868.08,2026-04-23T22:01:44.633Z,bid-extra-60363900208,2026-04-23T23:55:14.039Z
702846,906766,4503.68,2026-04-23T22:01:44.633Z,bid-extra-60363900218,2026-04-23T23:55:14.039Z
702976,907076,5139.28,2026-04-23T22:01:44.633Z,bid-extra-60363900228,2026-04-23T23:55:14.039Z
703106,907386,5774.88,2026-04-23T22:01:44.633Z,bid-extra-60363900238,2026-04-23T23:55:14.039Z
703236,907696,1870.48,2026-04-23T22:01:44.633Z,bid-extra-60363900248,2026-04-23T23:55:14.039Z
703366,908006,2506.08,2026-04-23T22:01:44.634Z,bid-extra-60363900258,2026-04-23T23:55:14.039Z
703496,908316,3141.6800000000003,2026-04-23T22:01:44.634Z,bid-extra-60363900268,2026-04-23T23:55:14.039Z
703626,908626,3777.28,2026-04-23T22:01:44.634Z,bid-extra-60363900278,2026-04-23T23:55:14.039Z
703756,908936,4412.88,2026-04-23T22:01:44.634Z,bid-extra-60363900288,2026-04-23T23:55:14.039Z
703886,909246,5048.4800000000005,2026-04-23T22:01:44.634Z,bid-extra-60363900298,2026-04-23T23:55:14.039Z
