auction,bidder,price,dateTime,extra,processed_time
2700116,900256,6864.4800000000005,2026-04-23T22:00:44.631Z,bid-extra-60357900008,2026-04-23T23:55:14.039Z
2700246,900566,7500.08,2026-04-23T22:00:44.631Z,bid-extra-60357900018,2026-04-23T23:55:14.039Z
2700376,900876,8135.68,2026-04-23T22:00:44.631Z,bid-extra-60357900028,2026-04-23T23:55:14.039Z
2700506,901186,8771.28,2026-04-23T22:00:44.631Z,bid-extra-60357900038,2026-04-23T23:55:14.039Z
2700636,901496,9406.880000000001,2026-04-23T22:00:44.631Z,bid-extra-60357900048,2026-04-23T23:55:14.039Z
2700766,901806,10042.48,2026-04-23T22:00:44.632Z,bid-extra-60357900058,2026-04-23T23:55:14.039Z
2700896,902116,10678.08,2026-04-23T22:00:44.632Z,bid-extra-60357900068,2026-04-23T23:55:14.039Z
2701026,902426,11313.68,2026-04-23T22:00:44.632Z,bid-extra-60357900078,2026-04-23T23:55:14.039Z
2701156,902736,11949.28,2026-04-23T22:00:44.632Z,bid-extra-60357900088,2026-04-23T23:55:14.039Z
2701286,903046,12584.880000000001,2026-04-23T22:00:44.632Z,bid-extra-60357900098,2026-04-23T23:55:14.039Z
2701416,903356,4231.28,2026-04-23T22:00:44.632Z,bid-extra-60357900108,2026-04-23T23:55:14.039Z
2701546,903666,4866.88,2026-04-23T22:00:44.632Z,bid-extra-60357900118,2026-04-23T23:55:14.039Z
2701676,903976,962.48,2026-04-23T22:00:44.632Z,bid-extra-60357900128,2026-04-23T23:55:14.039Z
2701806,904286,1598.0800000000002,2026-04-23T22:00:44.632Z,bid-extra-60357900138,2026-04-23T23:55:14.039Z
2701936,904596,2233.6800000000003,2026-04-23T22:00:44.632Z,bid-extra-60357900148,2026-04-23T23:55:14.039Z
2702066,904906,2869.28,2026-04-23T22:00:44.633Z,bid-extra-60357900158,2026-04-23T23:55:14.039Z
2702196,905216,3504.88,2026-04-23T22:00:44.633Z,bid-extra-60357900168,2026-04-23T23:55:14.039Z
2702326,905526,4140.4800000000005,2026-04-23T22:00:44.633Z,bid-extra-60357900178,2026-04-23T23:55:14.039Z
2702456,905836,4776.08,2026-04-23T22:00:44.633Z,bid-extra-60357900188,2026-04-23T23:55:14.039Z
2702586,906146,5411.68,2026-04-23T22:00:44.633Z,bid-extra-60357900198,2026-04-23T23:55:14.039Z
2702716,906456,6047.28,2026-04-23T22:00:44.633Z,bid-extra-60357900208,2026-04-23T23:55:14.039Z
2702846,906766,6682.88,2026-04-23T22:00:44.633Z,bid-extra-60357900218,2026-04-23T23:55:14.039Z
2702976,907076,7318.4800000000005,2026-04-23T22:00:44.633Z,bid-extra-60357900228,2026-04-23T23:55:14.039Z
2703106,907386,7954.08,2026-04-23T22:00:44.633Z,bid-extra-60357900238,2026-04-23T23:55:14.039Z
2703236,907696,4049.6800000000003,2026-04-23T22:00:44.633Z,bid-extra-60357900248,2026-04-23T23:55:14.039Z
2703366,908006,4685.28,2026-04-23T22:00:44.634Z,bid-extra-60357900258,2026-04-23T23:55:14.039Z
2703496,908316,5320.88,2026-04-23T22:00:44.634Z,bid-extra-60357900268,2026-04-23T23:55:14.039Z
2703626,908626,5956.4800000000005,2026-04-23T22:00:44.634Z,bid-extra-60357900278,2026-04-23T23:55:14.039Z
2703756,908936,6592.08,2026-04-23T22:00:44.634Z,bid-extra-60357900288,2026-04-23T23:55:14.039Z
2703886,909246,7227.68,2026-04-23T22:00:44.634Z,bid-extra-60357900298,2026-04-23T23:55:14.039Z
2704016,909556,7863.280000000001,2026-04-23T22:00:44.634Z,bid-extra-60357900308,2026-04-23T23:55:14.039Z
2704146,909866,8498.880000000001,2026-04-23T22:00:44.634Z,bid-extra-60357900318,2026-04-23T23:55:14.039Z
2704276,910176,9134.48,2026-04-23T22:00:44.634Z,bid-extra-60357900328,2026-04-23T23:55:14.039Z
2704406,910486,9770.08,2026-04-23T22:00:44.634Z,bid-extra-60357900338,2026-04-23T23:55:14.039Z
2704536,910796,10405.68,2026-04-23T22:00:44.634Z,bid-extra-60357900348,2026-04-23T23:55:14.039Z
2704666,911106,11041.28,2026-04-23T22:00:44.635Z,bid-extra-60357900358,2026-04-23T23:55:14.039Z
2704796,911416,7136.88,2026-04-23T22:00:44.635Z,bid-extra-60357900368,2026-04-23T23:55:14.039Z
2704926,911726,7772.4800000000005,2026-04-23T22:00:44.635Z,bid-extra-60357900378,2026-04-23T23:55:14.039Z
2705056,912036,8408.08,2026-04-23T22:00:44.635Z,bid-extra-60357900388,2026-04-23T23:55:14.039Z
2705186,912346,9043.68,2026-04-23T22:00:44.635Z,bid-extra-60357900398,2026-04-23T23:55:14.039Z
2705316,912656,9679.28,2026-04-23T22:00:44.635Z,bid-extra-60357900408,2026-04-23T23:55:14.039Z
2705446,912966,10314.880000000001,2026-04-23T22:00:44.635Z,bid-extra-60357900418,2026-04-23T23:55:14.039Z
2705576,913276,10950.48,2026-04-23T22:00:44.635Z,bid-extra-60357900428,2026-04-23T23:55:14.039Z
2705706,913586,11586.08,2026-04-23T22:00:44.635Z,bid-extra-60357900438,2026-04-23T23:55:14.039Z
2705836,913896,3232.48,2026-04-23T22:00:44.635Z,bid-extra-60357900448,2026-04-23T23:55:14.039Z
2705966,914206,3868.08,2026-04-23T22:00:44.636Z,bid-extra-60357900458,2026-04-23T23:55:14.039Z
2706096,914516,4503.68,2026-04-23T22:00:44.636Z,bid-extra-60357900468,2026-04-23T23:55:14.039Z
2706226,914826,5139.28,2026-04-23T22:00:44.636Z,bid-extra-60357900478,2026-04-23T23:55:14.039Z
2706356,915136,1234.88,2026-04-23T22:00:44.636Z,bid-extra-60357900488,2026-04-23T23:55:14.039Z
2706486,915446,1870.48,2026-04-23T22:00:44.636Z,bid-extra-60357900498,2026-04-23T23:55:14.039Z
2706616,915756,2506.08,2026-04-23T22:00:44.636Z,bid-extra-60357900508,2026-04-23T23:55:14.039Z
2706746,916066,3141.6800000000003,2026-04-23T22:00:44.636Z,bid-extra-60357900518,2026-04-23T23:55:14.039Z
2706876,916376,3777.28,2026-04-23T22:00:44.636Z,bid-extra-60357900528,2026-04-23T23:55:14.039Z
2707006,916686,4412.88,2026-04-23T22:00:44.636Z,bid-extra-60357900538,2026-04-23T23:55:14.039Z
2707136,916996,5048.4800000000005,2026-04-23T22:00:44.636Z,bid-extra-60357900548,2026-04-23T23:55:14.039Z
2707266,917306,5684.08,2026-04-23T22:00:44.637Z,bid-extra-60357900558,2026-04-23T23:55:14.039Z
2707396,917616,6319.68,2026-04-23T22:00:44.637Z,bid-extra-60357900568,2026-04-23T23:55:14.039Z
