auction,bidder,price,dateTime,extra,processed_time
7700116,900256,2052.08,2026-04-23T22:01:34.631Z,bid-extra-60362900008,2026-04-23T23:55:14.039Z
7700246,900566,2687.6800000000003,2026-04-23T22:01:34.631Z,bid-extra-60362900018,2026-04-23T23:55:14.039Z
7700376,900876,3323.28,2026-04-23T22:01:34.631Z,bid-extra-60362900028,2026-04-23T23:55:14.039Z
7700506,901186,3958.88,2026-04-23T22:01:34.631Z,bid-extra-60362900038,2026-04-23T23:55:14.039Z
7700636,901496,4594.4800000000005,2026-04-23T22:01:34.631Z,bid-extra-60362900048,2026-04-23T23:55:14.039Z
7700766,901806,5230.08,2026-04-23T22:01:34.632Z,bid-extra-60362900058,2026-04-23T23:55:14.039Z
7700896,902116,5865.68,2026-04-23T22:01:34.632Z,bid-extra-60362900068,2026-04-23T23:55:14.039Z
7701026,902426,6501.280000000001,2026-04-23T22:01:34.632Z,bid-extra-60362900078,2026-04-23T23:55:14.039Z
7701156,902736,7136.88,2026-04-23T22:01:34.632Z,bid-extra-60362900088,2026-04-23T23:55:14.039Z
7701286,903046,7772.4800000000005,2026-04-23T22:01:34.632Z,bid-extra-60362900098,2026-04-23T23:55:14.039Z
7701416,903356,8408.08,2026-04-23T22:01:34.632Z,bid-extra-60362900108,2026-04-23T23:55:14.039Z
7701546,903666,9043.68,2026-04-23T22:01:34.632Z,bid-extra-60362900118,2026-04-23T23:55:14.039Z
7701676,903976,5139.28,2026-04-23T22:01:34.632Z,bid-extra-60362900128,2026-04-23T23:55:14.039Z
7701806,904286,5774.88,2026-04-23T22:01:34.632Z,bid-extra-60362900138,2026-04-23T23:55:14.039Z
7701936,904596,6410.4800000000005,2026-04-23T22:01:34.632Z,bid-extra-60362900148,2026-04-23T23:55:14.039Z
7702066,904906,7046.08,2026-04-23T22:01:34.633Z,bid-extra-60362900158,2026-04-23T23:55:14.039Z
7702196,905216,7681.68,2026-04-23T22:01:34.633Z,bid-extra-60362900168,2026-04-23T23:55:14.039Z
7702326,905526,8317.28,2026-04-23T22:01:34.633Z,bid-extra-60362900178,2026-04-23T23:55:14.039Z
7702456,905836,8952.880000000001,2026-04-23T22:01:34.633Z,bid-extra-60362900188,2026-04-23T23:55:14.039Z
7702586,906146,9588.48,2026-04-23T22:01:34.633Z,bid-extra-60362900198,2026-04-23T23:55:14.039Z
7702716,906456,10224.08,2026-04-23T22:01:34.633Z,bid-extra-60362900208,2026-04-23T23:55:14.039Z
7702846,906766,10859.68,2026-04-23T22:01:34.633Z,bid-extra-60362900218,2026-04-23T23:55:14.039Z
7702976,907076,11495.28,2026-04-23T22:01:34.633Z,bid-extra-60362900228,2026-04-23T23:55:14.039Z
7703106,907386,12130.880000000001,2026-04-23T22:01:34.633Z,bid-extra-60362900238,2026-04-23T23:55:14.039Z
