auction,bidder,price,dateTime,extra,processed_time
5700116,900256,508.48,2026-04-23T22:00:54.631Z,bid-extra-60358900008,2026-04-23T23:55:14.039Z
5700246,900566,1144.08,2026-04-23T22:00:54.631Z,bid-extra-60358900018,2026-04-23T23:55:14.039Z
5700376,900876,1779.68,2026-04-23T22:00:54.631Z,bid-extra-60358900028,2026-04-23T23:55:14.039Z
5700506,901186,2415.28,2026-04-23T22:00:54.631Z,bid-extra-60358900038,2026-04-23T23:55:14.039Z
5700636,901496,3050.88,2026-04-23T22:00:54.631Z,bid-extra-60358900048,2026-04-23T23:55:14.039Z
5700766,901806,3686.48,2026-04-23T22:00:54.632Z,bid-extra-60358900058,2026-04-23T23:55:14.039Z
5700896,902116,4322.08,2026-04-23T22:00:54.632Z,bid-extra-60358900068,2026-04-23T23:55:14.039Z
5701026,902426,4957.68,2026-04-23T22:00:54.632Z,bid-extra-60358900078,2026-04-23T23:55:14.039Z
5701156,902736,5593.28,2026-04-23T22:00:54.632Z,bid-extra-60358900088,2026-04-23T23:55:14.039Z
5701286,903046,6228.88,2026-04-23T22:00:54.632Z,bid-extra-60358900098,2026-04-23T23:55:14.039Z
5701416,903356,6864.4800000000005,2026-04-23T22:00:54.632Z,bid-extra-60358900108,2026-04-23T23:55:14.039Z
5701546,903666,7500.08,2026-04-23T22:00:54.632Z,bid-extra-60358900118,2026-04-23T23:55:14.039Z
5701676,903976,3595.6800000000003,2026-04-23T22:00:54.632Z,bid-extra-60358900128,2026-04-23T23:55:14.039Z
5701806,904286,4231.28,2026-04-23T22:00:54.632Z,bid-extra-60358900138,2026-04-23T23:55:14.039Z
5701936,904596,4866.88,2026-04-23T22:00:54.632Z,bid-extra-60358900148,2026-04-23T23:55:14.039Z
5702066,904906,5502.4800000000005,2026-04-23T22:00:54.633Z,bid-extra-60358900158,2026-04-23T23:55:14.039Z
5702196,905216,6138.08,2026-04-23T22:00:54.633Z,bid-extra-60358900168,2026-04-23T23:55:14.039Z
5702326,905526,6773.68,2026-04-23T22:00:54.633Z,bid-extra-60358900178,2026-04-23T23:55:14.039Z
5702456,905836,7409.280000000001,2026-04-23T22:00:54.633Z,bid-extra-60358900188,2026-04-23T23:55:14.039Z
5702586,906146,8044.88,2026-04-23T22:00:54.633Z,bid-extra-60358900198,2026-04-23T23:55:14.039Z
5702716,906456,8680.48,2026-04-23T22:00:54.633Z,bid-extra-60358900208,2026-04-23T23:55:14.039Z
5702846,906766,9316.08,2026-04-23T22:00:54.633Z,bid-extra-60358900218,2026-04-23T23:55:14.039Z
5702976,907076,9951.68,2026-04-23T22:00:54.633Z,bid-extra-60358900228,2026-04-23T23:55:14.039Z
5703106,907386,10587.28,2026-04-23T22:00:54.633Z,bid-extra-60358900238,2026-04-23T23:55:14.039Z
5703236,907696,6682.88,2026-04-23T22:00:54.633Z,bid-extra-60358900248,2026-04-23T23:55:14.039Z
5703366,908006,7318.4800000000005,2026-04-23T22:00:54.634Z,bid-extra-60358900258,2026-04-23T23:55:14.039Z
5703496,908316,7954.08,2026-04-23T22:00:54.634Z,bid-extra-60358900268,2026-04-23T23:55:14.039Z
5703626,908626,8589.68,2026-04-23T22:00:54.634Z,bid-extra-60358900278,2026-04-23T23:55:14.039Z
