auction,bidder,price,dateTime,extra,processed_time
1700116,900256,5139.28,2026-04-23T22:02:54.631Z,bid-extra-60370900008,2026-04-23T23:55:14.039Z
1700246,900566,5774.88,2026-04-23T22:02:54.631Z,bid-extra-60370900018,2026-04-23T23:55:14.039Z
1700376,900876,6410.4800000000005,2026-04-23T22:02:54.631Z,bid-extra-60370900028,2026-04-23T23:55:14.039Z
1700506,901186,7046.08,2026-04-23T22:02:54.631Z,bid-extra-60370900038,2026-04-23T23:55:14.039Z
1700636,901496,7681.68,2026-04-23T22:02:54.631Z,bid-extra-60370900048,2026-04-23T23:55:14.039Z
1700766,901806,8317.28,2026-04-23T22:02:54.632Z,bid-extra-60370900058,2026-04-23T23:55:14.039Z
1700896,902116,8952.880000000001,2026-04-23T22:02:54.632Z,bid-extra-60370900068,2026-04-23T23:55:14.039Z
1701026,902426,9588.48,2026-04-23T22:02:54.632Z,bid-extra-60370900078,2026-04-23T23:55:14.039Z
1701156,902736,10224.08,2026-04-23T22:02:54.632Z,bid-extra-60370900088,2026-04-23T23:55:14.039Z
1701286,903046,10859.68,2026-04-23T22:02:54.632Z,bid-extra-60370900098,2026-04-23T23:55:14.039Z
1701416,903356,11495.28,2026-04-23T22:02:54.632Z,bid-extra-60370900108,2026-04-23T23:55:14.039Z
1701546,903666,12130.880000000001,2026-04-23T22:02:54.632Z,bid-extra-60370900118,2026-04-23T23:55:14.039Z
1701676,903976,8226.48,2026-04-23T22:02:54.632Z,bid-extra-60370900128,2026-04-23T23:55:14.039Z
1701806,904286,8862.08,2026-04-23T22:02:54.632Z,bid-extra-60370900138,2026-04-23T23:55:14.039Z
1701936,904596,9497.68,2026-04-23T22:02:54.632Z,bid-extra-60370900148,2026-04-23T23:55:14.039Z
1702066,904906,10133.28,2026-04-23T22:02:54.633Z,bid-extra-60370900158,2026-04-23T23:55:14.039Z
1702196,905216,10768.880000000001,2026-04-23T22:02:54.633Z,bid-extra-60370900168,2026-04-23T23:55:14.039Z
1702326,905526,2415.28,2026-04-23T22:02:54.633Z,bid-extra-60370900178,2026-04-23T23:55:14.039Z
1702456,905836,3050.88,2026-04-23T22:02:54.633Z,bid-extra-60370900188,2026-04-23T23:55:14.039Z
1702586,906146,3686.48,2026-04-23T22:02:54.633Z,bid-extra-60370900198,2026-04-23T23:55:14.039Z
1702716,906456,4322.08,2026-04-23T22:02:54.633Z,bid-extra-60370900208,2026-04-23T23:55:14.039Z
1702846,906766,4957.68,2026-04-23T22:02:54.633Z,bid-extra-60370900218,2026-04-23T23:55:14.039Z
1702976,907076,5593.28,2026-04-23T22:02:54.633Z,bid-extra-60370900228,2026-04-23T23:55:14.039Z
1703106,907386,6228.88,2026-04-23T22:02:54.633Z,bid-extra-60370900238,2026-04-23T23:55:14.039Z
1703236,907696,2324.48,2026-04-23T22:02:54.633Z,bid-extra-60370900248,2026-04-23T23:55:14.039Z
1703366,908006,2960.08,2026-04-23T22:02:54.634Z,bid-extra-60370900258,2026-04-23T23:55:14.039Z
1703496,908316,3595.6800000000003,2026-04-23T22:02:54.634Z,bid-extra-60370900268,2026-04-23T23:55:14.039Z
1703626,908626,4231.28,2026-04-23T22:02:54.634Z,bid-extra-60370900278,2026-04-23T23:55:14.039Z
1703756,908936,4866.88,2026-04-23T22:02:54.634Z,bid-extra-60370900288,2026-04-23T23:55:14.039Z
1703886,909246,5502.4800000000005,2026-04-23T22:02:54.634Z,bid-extra-60370900298,2026-04-23T23:55:14.039Z
1704016,909556,6138.08,2026-04-23T22:02:54.634Z,bid-extra-60370900308,2026-04-23T23:55:14.039Z
1704146,909866,6773.68,2026-04-23T22:02:54.634Z,bid-extra-60370900318,2026-04-23T23:55:14.039Z
1704276,910176,7409.280000000001,2026-04-23T22:02:54.634Z,bid-extra-60370900328,2026-04-23T23:55:14.039Z
1704406,910486,8044.88,2026-04-23T22:02:54.634Z,bid-extra-60370900338,2026-04-23T23:55:14.039Z
1704536,910796,8680.48,2026-04-23T22:02:54.634Z,bid-extra-60370900348,2026-04-23T23:55:14.039Z
1704666,911106,9316.08,2026-04-23T22:02:54.635Z,bid-extra-60370900358,2026-04-23T23:55:14.039Z
1704796,911416,5411.68,2026-04-23T22:02:54.635Z,bid-extra-60370900368,2026-04-23T23:55:14.039Z
1704926,911726,6047.28,2026-04-23T22:02:54.635Z,bid-extra-60370900378,2026-04-23T23:55:14.039Z
1705056,912036,6682.88,2026-04-23T22:02:54.635Z,bid-extra-60370900388,2026-04-23T23:55:14.039Z
1705186,912346,7318.4800000000005,2026-04-23T22:02:54.635Z,bid-extra-60370900398,2026-04-23T23:55:14.039Z
1705316,912656,7954.08,2026-04-23T22:02:54.635Z,bid-extra-60370900408,2026-04-23T23:55:14.039Z
1705446,912966,8589.68,2026-04-23T22:02:54.635Z,bid-extra-60370900418,2026-04-23T23:55:14.039Z
1705576,913276,9225.28,2026-04-23T22:02:54.635Z,bid-extra-60370900428,2026-04-23T23:55:14.039Z
