auction,bidder,price,dateTime,extra,processed_time
3700116,900256,8589.68,2026-04-23T21:58:34.631Z,bid-extra-60344900008,2026-04-23T23:55:14.039Z
3700246,900566,9225.28,2026-04-23T21:58:34.631Z,bid-extra-60344900018,2026-04-23T23:55:14.039Z
3700376,900876,9860.880000000001,2026-04-23T21:58:34.631Z,bid-extra-60344900028,2026-04-23T23:55:14.039Z
3700506,901186,1507.28,2026-04-23T21:58:34.631Z,bid-extra-60344900038,2026-04-23T23:55:14.039Z
3700636,901496,2142.88,2026-04-23T21:58:34.631Z,bid-extra-60344900048,2026-04-23T23:55:14.039Z
3700766,901806,2778.48,2026-04-23T21:58:34.632Z,bid-extra-60344900058,2026-04-23T23:55:14.039Z
3700896,902116,3414.08,2026-04-23T21:58:34.632Z,bid-extra-60344900068,2026-04-23T23:55:14.039Z
3701026,902426,4049.6800000000003,2026-04-23T21:58:34.632Z,bid-extra-60344900078,2026-04-23T23:55:14.039Z
3701156,902736,4685.28,2026-04-23T21:58:34.632Z,bid-extra-60344900088,2026-04-23T23:55:14.039Z
3701286,903046,5320.88,2026-04-23T21:58:34.632Z,bid-extra-60344900098,2026-04-23T23:55:14.039Z
3701416,903356,5956.4800000000005,2026-04-23T21:58:34.632Z,bid-extra-60344900108,2026-04-23T23:55:14.039Z
3701546,903666,6592.08,2026-04-23T21:58:34.632Z,bid-extra-60344900118,2026-04-23T23:55:14.039Z
3701676,903976,2687.6800000000003,2026-04-23T21:58:34.632Z,bid-extra-60344900128,2026-04-23T23:55:14.039Z
3701806,904286,3323.28,2026-04-23T21:58:34.632Z,bid-extra-60344900138,2026-04-23T23:55:14.039Z
3701936,904596,3958.88,2026-04-23T21:58:34.632Z,bid-extra-60344900148,2026-04-23T23:55:14.039Z
3702066,904906,4594.4800000000005,2026-04-23T21:58:34.633Z,bid-extra-60344900158,2026-04-23T23:55:14.039Z
3702196,905216,5230.08,2026-04-23T21:58:34.633Z,bid-extra-60344900168,2026-04-23T23:55:14.039Z
3702326,905526,5865.68,2026-04-23T21:58:34.633Z,bid-extra-60344900178,2026-04-23T23:55:14.039Z
3702456,905836,6501.280000000001,2026-04-23T21:58:34.633Z,bid-extra-60344900188,2026-04-23T23:55:14.039Z
