auction,bidder,price,dateTime,extra,processed_time
1700116,900256,5774.88,2026-04-23T22:01:14.631Z,bid-extra-60360900008,2026-04-23T23:55:14.039Z
1700246,900566,6410.4800000000005,2026-04-23T22:01:14.631Z,bid-extra-60360900018,2026-04-23T23:55:14.039Z
1700376,900876,7046.08,2026-04-23T22:01:14.631Z,bid-extra-60360900028,2026-04-23T23:55:14.039Z
1700506,901186,7681.68,2026-04-23T22:01:14.631Z,bid-extra-60360900038,2026-04-23T23:55:14.039Z
1700636,901496,8317.28,2026-04-23T22:01:14.631Z,bid-extra-60360900048,2026-04-23T23:55:14.039Z
1700766,901806,8952.880000000001,2026-04-23T22:01:14.632Z,bid-extra-60360900058,2026-04-23T23:55:14.039Z
1700896,902116,9588.48,2026-04-23T22:01:14.632Z,bid-extra-60360900068,2026-04-23T23:55:14.039Z
1701026,902426,10224.08,2026-04-23T22:01:14.632Z,bid-extra-60360900078,2026-04-23T23:55:14.039Z
1701156,902736,10859.68,2026-04-23T22:01:14.632Z,bid-extra-60360900088,2026-04-23T23:55:14.039Z
1701286,903046,11495.28,2026-04-23T22:01:14.632Z,bid-extra-60360900098,2026-04-23T23:55:14.039Z
1701416,903356,12130.880000000001,2026-04-23T22:01:14.632Z,bid-extra-60360900108,2026-04-23T23:55:14.039Z
1701546,903666,12766.48,2026-04-23T22:01:14.632Z,bid-extra-60360900118,2026-04-23T23:55:14.039Z
1701676,903976,8862.08,2026-04-23T22:01:14.632Z,bid-extra-60360900128,2026-04-23T23:55:14.039Z
1701806,904286,9497.68,2026-04-23T22:01:14.632Z,bid-extra-60360900138,2026-04-23T23:55:14.039Z
1701936,904596,1144.08,2026-04-23T22:01:14.632Z,bid-extra-60360900148,2026-04-23T23:55:14.039Z
1702066,904906,1779.68,2026-04-23T22:01:14.633Z,bid-extra-60360900158,2026-04-23T23:55:14.039Z
1702196,905216,2415.28,2026-04-23T22:01:14.633Z,bid-extra-60360900168,2026-04-23T23:55:14.039Z
1702326,905526,3050.88,2026-04-23T22:01:14.633Z,bid-extra-60360900178,2026-04-23T23:55:14.039Z
