auction,bidder,price,dateTime,extra,processed_time
9700116,900256,3595.6800000000003,2026-04-23T22:02:14.631Z,bid-extra-60366900008,2026-04-23T23:55:14.039Z
9700246,900566,4231.28,2026-04-23T22:02:14.631Z,bid-extra-60366900018,2026-04-23T23:55:14.039Z
9700376,900876,4866.88,2026-04-23T22:02:14.631Z,bid-extra-60366900028,2026-04-23T23:55:14.039Z
9700506,901186,5502.4800000000005,2026-04-23T22:02:14.631Z,bid-extra-60366900038,2026-04-23T23:55:14.039Z
9700636,901496,6138.08,2026-04-23T22:02:14.631Z,bid-extra-60366900048,2026-04-23T23:55:14.039Z
9700766,901806,6773.68,2026-04-23T22:02:14.632Z,bid-extra-60366900058,2026-04-23T23:55:14.039Z
9700896,902116,7409.280000000001,2026-04-23T22:02:14.632Z,bid-extra-60366900068,2026-04-23T23:55:14.039Z
9701026,902426,8044.88,2026-04-23T22:02:14.632Z,bid-extra-60366900078,2026-04-23T23:55:14.039Z
9701156,902736,8680.48,2026-04-23T22:02:14.632Z,bid-extra-60366900088,2026-04-23T23:55:14.039Z
9701286,903046,9316.08,2026-04-23T22:02:14.632Z,bid-extra-60366900098,2026-04-23T23:55:14.039Z
9701416,903356,9951.68,2026-04-23T22:02:14.632Z,bid-extra-60366900108,2026-04-23T23:55:14.039Z
9701546,903666,10587.28,2026-04-23T22:02:14.632Z,bid-extra-60366900118,2026-04-23T23:55:14.039Z
9701676,903976,6682.88,2026-04-23T22:02:14.632Z,bid-extra-60366900128,2026-04-23T23:55:14.039Z
9701806,904286,7318.4800000000005,2026-04-23T22:02:14.632Z,bid-extra-60366900138,2026-04-23T23:55:14.039Z
9701936,904596,7954.08,2026-04-23T22:02:14.632Z,bid-extra-60366900148,2026-04-23T23:55:14.039Z
9702066,904906,8589.68,2026-04-23T22:02:14.633Z,bid-extra-60366900158,2026-04-23T23:55:14.039Z
9702196,905216,9225.28,2026-04-23T22:02:14.633Z,bid-extra-60366900168,2026-04-23T23:55:14.039Z
9702326,905526,9860.880000000001,2026-04-23T22:02:14.633Z,bid-extra-60366900178,2026-04-23T23:55:14.039Z
9702456,905836,10496.48,2026-04-23T22:02:14.633Z,bid-extra-60366900188,2026-04-23T23:55:14.039Z
9702586,906146,11132.08,2026-04-23T22:02:14.633Z,bid-extra-60366900198,2026-04-23T23:55:14.039Z
9702716,906456,11767.68,2026-04-23T22:02:14.633Z,bid-extra-60366900208,2026-04-23T23:55:14.039Z
9702846,906766,12403.28,2026-04-23T22:02:14.633Z,bid-extra-60366900218,2026-04-23T23:55:14.039Z
9702976,907076,4049.6800000000003,2026-04-23T22:02:14.633Z,bid-extra-60366900228,2026-04-23T23:55:14.039Z
9703106,907386,4685.28,2026-04-23T22:02:14.633Z,bid-extra-60366900238,2026-04-23T23:55:14.039Z
9703236,907696,780.88,2026-04-23T22:02:14.633Z,bid-extra-60366900248,2026-04-23T23:55:14.039Z
9703366,908006,1416.48,2026-04-23T22:02:14.634Z,bid-extra-60366900258,2026-04-23T23:55:14.039Z
9703496,908316,2052.08,2026-04-23T22:02:14.634Z,bid-extra-60366900268,2026-04-23T23:55:14.039Z
9703626,908626,2687.6800000000003,2026-04-23T22:02:14.634Z,bid-extra-60366900278,2026-04-23T23:55:14.039Z
9703756,908936,3323.28,2026-04-23T22:02:14.634Z,bid-extra-60366900288,2026-04-23T23:55:14.039Z
9703886,909246,3958.88,2026-04-23T22:02:14.634Z,bid-extra-60366900298,2026-04-23T23:55:14.039Z
9704016,909556,4594.4800000000005,2026-04-23T22:02:14.634Z,bid-extra-60366900308,2026-04-23T23:55:14.039Z
9704146,909866,5230.08,2026-04-23T22:02:14.634Z,bid-extra-60366900318,2026-04-23T23:55:14.039Z
9704276,910176,5865.68,2026-04-23T22:02:14.634Z,bid-extra-60366900328,2026-04-23T23:55:14.039Z
9704406,910486,6501.280000000001,2026-04-23T22:02:14.634Z,bid-extra-60366900338,2026-04-23T23:55:14.039Z
9704536,910796,7136.88,2026-04-23T22:02:14.634Z,bid-extra-60366900348,2026-04-23T23:55:14.039Z
9704666,911106,7772.4800000000005,2026-04-23T22:02:14.635Z,bid-extra-60366900358,2026-04-23T23:55:14.039Z
9704796,911416,3868.08,2026-04-23T22:02:14.635Z,bid-extra-60366900368,2026-04-23T23:55:14.039Z
9704926,911726,4503.68,2026-04-23T22:02:14.635Z,bid-extra-60366900378,2026-04-23T23:55:14.039Z
9705056,912036,5139.28,2026-04-23T22:02:14.635Z,bid-extra-60366900388,2026-04-23T23:55:14.039Z
9705186,912346,5774.88,2026-04-23T22:02:14.635Z,bid-extra-60366900398,2026-04-23T23:55:14.039Z
9705316,912656,6410.4800000000005,2026-04-23T22:02:14.635Z,bid-extra-60366900408,2026-04-23T23:55:14.039Z
9705446,912966,7046.08,2026-04-23T22:02:14.635Z,bid-extra-60366900418,2026-04-23T23:55:14.039Z
9705576,913276,7681.68,2026-04-23T22:02:14.635Z,bid-extra-60366900428,2026-04-23T23:55:14.039Z
9705706,913586,8317.28,2026-04-23T22:02:14.635Z,bid-extra-60366900438,2026-04-23T23:55:14.039Z
9705836,913896,8952.880000000001,2026-04-23T22:02:14.635Z,bid-extra-60366900448,2026-04-23T23:55:14.039Z
9705966,914206,9588.48,2026-04-23T22:02:14.636Z,bid-extra-60366900458,2026-04-23T23:55:14.039Z
9706096,914516,10224.08,2026-04-23T22:02:14.636Z,bid-extra-60366900468,2026-04-23T23:55:14.039Z
9706226,914826,10859.68,2026-04-23T22:02:14.636Z,bid-extra-60366900478,2026-04-23T23:55:14.039Z
9706356,915136,6955.280000000001,2026-04-23T22:02:14.636Z,bid-extra-60366900488,2026-04-23T23:55:14.039Z
9706486,915446,7590.88,2026-04-23T22:02:14.636Z,bid-extra-60366900498,2026-04-23T23:55:14.039Z
9706616,915756,8226.48,2026-04-23T22:02:14.636Z,bid-extra-60366900508,2026-04-23T23:55:14.039Z
9706746,916066,8862.08,2026-04-23T22:02:14.636Z,bid-extra-60366900518,2026-04-23T23:55:14.039Z
9706876,916376,9497.68,2026-04-23T22:02:14.636Z,bid-extra-60366900528,2026-04-23T23:55:14.039Z
9707006,916686,10133.28,2026-04-23T22:02:14.636Z,bid-extra-60366900538,2026-04-23T23:55:14.039Z
9707136,916996,10768.880000000001,2026-04-23T22:02:14.636Z,bid-extra-60366900548,2026-04-23T23:55:14.039Z
9707266,917306,11404.48,2026-04-23T22:02:14.637Z,bid-extra-60366900558,2026-04-23T23:55:14.039Z
9707396,917616,12040.08,2026-04-23T22:02:14.637Z,bid-extra-60366900568,2026-04-23T23:55:14.039Z
9707526,917926,3686.48,2026-04-23T22:02:14.637Z,bid-extra-60366900578,2026-04-23T23:55:14.039Z
9707656,918236,4322.08,2026-04-23T22:02:14.637Z,bid-extra-60366900588,2026-04-23T23:55:14.039Z
9707786,918546,4957.68,2026-04-23T22:02:14.637Z,bid-extra-60366900598,2026-04-23T23:55:14.039Z
9707916,918856,5593.28,2026-04-23T22:02:14.637Z,bid-extra-60366900608,2026-04-23T23:55:14.039Z
9708046,919166,1688.88,2026-04-23T22:02:14.637Z,bid-extra-60366900618,2026-04-23T23:55:14.039Z
9708176,919476,2324.48,2026-04-23T22:02:14.637Z,bid-extra-60366900628,2026-04-23T23:55:14.039Z
9708306,919786,2960.08,2026-04-23T22:02:14.637Z,bid-extra-60366900638,2026-04-23T23:55:14.039Z
