auction,bidder,price,dateTime,extra,processed_time
1700116,900256,6410.4800000000005,2026-04-23T21:59:34.631Z,bid-extra-60350900008,2026-04-23T23:55:14.039Z
1700246,900566,7046.08,2026-04-23T21:59:34.631Z,bid-extra-60350900018,2026-04-23T23:55:14.039Z
1700376,900876,7681.68,2026-04-23T21:59:34.631Z,bid-extra-60350900028,2026-04-23T23:55:14.039Z
1700506,901186,8317.28,2026-04-23T21:59:34.631Z,bid-extra-60350900038,2026-04-23T23:55:14.039Z
1700636,901496,8952.880000000001,2026-04-23T21:59:34.631Z,bid-extra-60350900048,2026-04-23T23:55:14.039Z
1700766,901806,9588.48,2026-04-23T21:59:34.632Z,bid-extra-60350900058,2026-04-23T23:55:14.039Z
1700896,902116,10224.08,2026-04-23T21:59:34.632Z,bid-extra-60350900068,2026-04-23T23:55:14.039Z
1701026,902426,10859.68,2026-04-23T21:59:34.632Z,bid-extra-60350900078,2026-04-23T23:55:14.039Z
1701156,902736,11495.28,2026-04-23T21:59:34.632Z,bid-extra-60350900088,2026-04-23T23:55:14.039Z
1701286,903046,12130.880000000001,2026-04-23T21:59:34.632Z,bid-extra-60350900098,2026-04-23T23:55:14.039Z
1701416,903356,12766.48,2026-04-23T21:59:34.632Z,bid-extra-60350900108,2026-04-23T23:55:14.039Z
1701546,903666,13402.08,2026-04-23T21:59:34.632Z,bid-extra-60350900118,2026-04-23T23:55:14.039Z
1701676,903976,508.48,2026-04-23T21:59:34.632Z,bid-extra-60350900128,2026-04-23T23:55:14.039Z
1701806,904286,1144.08,2026-04-23T21:59:34.632Z,bid-extra-60350900138,2026-04-23T23:55:14.039Z
1701936,904596,1779.68,2026-04-23T21:59:34.632Z,bid-extra-60350900148,2026-04-23T23:55:14.039Z
1702066,904906,2415.28,2026-04-23T21:59:34.633Z,bid-extra-60350900158,2026-04-23T23:55:14.039Z
1702196,905216,3050.88,2026-04-23T21:59:34.633Z,bid-extra-60350900168,2026-04-23T23:55:14.039Z
1702326,905526,3686.48,2026-04-23T21:59:34.633Z,bid-extra-60350900178,2026-04-23T23:55:14.039Z
1702456,905836,4322.08,2026-04-23T21:59:34.633Z,bid-extra-60350900188,2026-04-23T23:55:14.039Z
1702586,906146,4957.68,2026-04-23T21:59:34.633Z,bid-extra-60350900198,2026-04-23T23:55:14.039Z
1702716,906456,5593.28,2026-04-23T21:59:34.633Z,bid-extra-60350900208,2026-04-23T23:55:14.039Z
1702846,906766,6228.88,2026-04-23T21:59:34.633Z,bid-extra-60350900218,2026-04-23T23:55:14.039Z
1702976,907076,6864.4800000000005,2026-04-23T21:59:34.633Z,bid-extra-60350900228,2026-04-23T23:55:14.039Z
1703106,907386,7500.08,2026-04-23T21:59:34.633Z,bid-extra-60350900238,2026-04-23T23:55:14.039Z
1703236,907696,3595.6800000000003,2026-04-23T21:59:34.633Z,bid-extra-60350900248,2026-04-23T23:55:14.039Z
1703366,908006,4231.28,2026-04-23T21:59:34.634Z,bid-extra-60350900258,2026-04-23T23:55:14.039Z
