auction,bidder,price,dateTime,extra,processed_time
7700116,900256,2687.6800000000003,2026-04-23T21:59:54.631Z,bid-extra-60352900008,2026-04-23T23:55:14.039Z
7700246,900566,3323.28,2026-04-23T21:59:54.631Z,bid-extra-60352900018,2026-04-23T23:55:14.039Z
7700376,900876,3958.88,2026-04-23T21:59:54.631Z,bid-extra-60352900028,2026-04-23T23:55:14.039Z
7700506,901186,4594.4800000000005,2026-04-23T21:59:54.631Z,bid-extra-60352900038,2026-04-23T23:55:14.039Z
7700636,901496,5230.08,2026-04-23T21:59:54.631Z,bid-extra-60352900048,2026-04-23T23:55:14.039Z
7700766,901806,5865.68,2026-04-23T21:59:54.632Z,bid-extra-60352900058,2026-04-23T23:55:14.039Z
7700896,902116,6501.280000000001,2026-04-23T21:59:54.632Z,bid-extra-60352900068,2026-04-23T23:55:14.039Z
7701026,902426,7136.88,2026-04-23T21:59:54.632Z,bid-extra-60352900078,2026-04-23T23:55:14.039Z
7701156,902736,7772.4800000000005,2026-04-23T21:59:54.632Z,bid-extra-60352900088,2026-04-23T23:55:14.039Z
7701286,903046,8408.08,2026-04-23T21:59:54.632Z,bid-extra-60352900098,2026-04-23T23:55:14.039Z
7701416,903356,9043.68,2026-04-23T21:59:54.632Z,bid-extra-60352900108,2026-04-23T23:55:14.039Z
7701546,903666,9679.28,2026-04-23T21:59:54.632Z,bid-extra-60352900118,2026-04-23T23:55:14.039Z
7701676,903976,5774.88,2026-04-23T21:59:54.632Z,bid-extra-60352900128,2026-04-23T23:55:14.039Z
7701806,904286,6410.4800000000005,2026-04-23T21:59:54.632Z,bid-extra-60352900138,2026-04-23T23:55:14.039Z
7701936,904596,7046.08,2026-04-23T21:59:54.632Z,bid-extra-60352900148,2026-04-23T23:55:14.039Z
7702066,904906,7681.68,2026-04-23T21:59:54.633Z,bid-extra-60352900158,2026-04-23T23:55:14.039Z
7702196,905216,8317.28,2026-04-23T21:59:54.633Z,bid-extra-60352900168,2026-04-23T23:55:14.039Z
7702326,905526,8952.880000000001,2026-04-23T21:59:54.633Z,bid-extra-60352900178,2026-04-23T23:55:14.039Z
7702456,905836,9588.48,2026-04-23T21:59:54.633Z,bid-extra-60352900188,2026-04-23T23:55:14.039Z
7702586,906146,10224.08,2026-04-23T21:59:54.633Z,bid-extra-60352900198,2026-04-23T23:55:14.039Z
7702716,906456,10859.68,2026-04-23T21:59:54.633Z,bid-extra-60352900208,2026-04-23T23:55:14.039Z
7702846,906766,11495.28,2026-04-23T21:59:54.633Z,bid-extra-60352900218,2026-04-23T23:55:14.039Z
7702976,907076,12130.880000000001,2026-04-23T21:59:54.633Z,bid-extra-60352900228,2026-04-23T23:55:14.039Z
7703106,907386,12766.48,2026-04-23T21:59:54.633Z,bid-extra-60352900238,2026-04-23T23:55:14.039Z
7703236,907696,8862.08,2026-04-23T21:59:54.633Z,bid-extra-60352900248,2026-04-23T23:55:14.039Z
7703366,908006,9497.68,2026-04-23T21:59:54.634Z,bid-extra-60352900258,2026-04-23T23:55:14.039Z
7703496,908316,1144.08,2026-04-23T21:59:54.634Z,bid-extra-60352900268,2026-04-23T23:55:14.039Z
7703626,908626,1779.68,2026-04-23T21:59:54.634Z,bid-extra-60352900278,2026-04-23T23:55:14.039Z
7703756,908936,2415.28,2026-04-23T21:59:54.634Z,bid-extra-60352900288,2026-04-23T23:55:14.039Z
7703886,909246,3050.88,2026-04-23T21:59:54.634Z,bid-extra-60352900298,2026-04-23T23:55:14.039Z
7704016,909556,3686.48,2026-04-23T21:59:54.634Z,bid-extra-60352900308,2026-04-23T23:55:14.039Z
7704146,909866,4322.08,2026-04-23T21:59:54.634Z,bid-extra-60352900318,2026-04-23T23:55:14.039Z
7704276,910176,4957.68,2026-04-23T21:59:54.634Z,bid-extra-60352900328,2026-04-23T23:55:14.039Z
7704406,910486,5593.28,2026-04-23T21:59:54.634Z,bid-extra-60352900338,2026-04-23T23:55:14.039Z
7704536,910796,6228.88,2026-04-23T21:59:54.634Z,bid-extra-60352900348,2026-04-23T23:55:14.039Z
7704666,911106,6864.4800000000005,2026-04-23T21:59:54.635Z,bid-extra-60352900358,2026-04-23T23:55:14.039Z
7704796,911416,2960.08,2026-04-23T21:59:54.635Z,bid-extra-60352900368,2026-04-23T23:55:14.039Z
7704926,911726,3595.6800000000003,2026-04-23T21:59:54.635Z,bid-extra-60352900378,2026-04-23T23:55:14.039Z
7705056,912036,4231.28,2026-04-23T21:59:54.635Z,bid-extra-60352900388,2026-04-23T23:55:14.039Z
7705186,912346,4866.88,2026-04-23T21:59:54.635Z,bid-extra-60352900398,2026-04-23T23:55:14.039Z
7705316,912656,5502.4800000000005,2026-04-23T21:59:54.635Z,bid-extra-60352900408,2026-04-23T23:55:14.039Z
7705446,912966,6138.08,2026-04-23T21:59:54.635Z,bid-extra-60352900418,2026-04-23T23:55:14.039Z
7705576,913276,6773.68,2026-04-23T21:59:54.635Z,bid-extra-60352900428,2026-04-23T23:55:14.039Z
7705706,913586,7409.280000000001,2026-04-23T21:59:54.635Z,bid-extra-60352900438,2026-04-23T23:55:14.039Z
7705836,913896,8044.88,2026-04-23T21:59:54.635Z,bid-extra-60352900448,2026-04-23T23:55:14.039Z
7705966,914206,8680.48,2026-04-23T21:59:54.636Z,bid-extra-60352900458,2026-04-23T23:55:14.039Z
