auction,bidder,price,dateTime,extra,processed_time
3700116,900256,7318.4800000000005,2026-04-23T22:01:54.631Z,bid-extra-60364900008,2026-04-23T23:55:14.039Z
3700246,900566,7954.08,2026-04-23T22:01:54.631Z,bid-extra-60364900018,2026-04-23T23:55:14.039Z
3700376,900876,8589.68,2026-04-23T22:01:54.631Z,bid-extra-60364900028,2026-04-23T23:55:14.039Z
3700506,901186,9225.28,2026-04-23T22:01:54.631Z,bid-extra-60364900038,2026-04-23T23:55:14.039Z
3700636,901496,9860.880000000001,2026-04-23T22:01:54.631Z,bid-extra-60364900048,2026-04-23T23:55:14.039Z
3700766,901806,10496.48,2026-04-23T22:01:54.632Z,bid-extra-60364900058,2026-04-23T23:55:14.039Z
3700896,902116,11132.08,2026-04-23T22:01:54.632Z,bid-extra-60364900068,2026-04-23T23:55:14.039Z
3701026,902426,11767.68,2026-04-23T22:01:54.632Z,bid-extra-60364900078,2026-04-23T23:55:14.039Z
3701156,902736,3414.08,2026-04-23T22:01:54.632Z,bid-extra-60364900088,2026-04-23T23:55:14.039Z
3701286,903046,4049.6800000000003,2026-04-23T22:01:54.632Z,bid-extra-60364900098,2026-04-23T23:55:14.039Z
3701416,903356,4685.28,2026-04-23T22:01:54.632Z,bid-extra-60364900108,2026-04-23T23:55:14.039Z
3701546,903666,5320.88,2026-04-23T22:01:54.632Z,bid-extra-60364900118,2026-04-23T23:55:14.039Z
3701676,903976,1416.48,2026-04-23T22:01:54.632Z,bid-extra-60364900128,2026-04-23T23:55:14.039Z
3701806,904286,2052.08,2026-04-23T22:01:54.632Z,bid-extra-60364900138,2026-04-23T23:55:14.039Z
3701936,904596,2687.6800000000003,2026-04-23T22:01:54.632Z,bid-extra-60364900148,2026-04-23T23:55:14.039Z
3702066,904906,3323.28,2026-04-23T22:01:54.633Z,bid-extra-60364900158,2026-04-23T23:55:14.039Z
3702196,905216,3958.88,2026-04-23T22:01:54.633Z,bid-extra-60364900168,2026-04-23T23:55:14.039Z
3702326,905526,4594.4800000000005,2026-04-23T22:01:54.633Z,bid-extra-60364900178,2026-04-23T23:55:14.039Z
3702456,905836,5230.08,2026-04-23T22:01:54.633Z,bid-extra-60364900188,2026-04-23T23:55:14.039Z
3702586,906146,5865.68,2026-04-23T22:01:54.633Z,bid-extra-60364900198,2026-04-23T23:55:14.039Z
3702716,906456,6501.280000000001,2026-04-23T22:01:54.633Z,bid-extra-60364900208,2026-04-23T23:55:14.039Z
3702846,906766,7136.88,2026-04-23T22:01:54.633Z,bid-extra-60364900218,2026-04-23T23:55:14.039Z
3702976,907076,7772.4800000000005,2026-04-23T22:01:54.633Z,bid-extra-60364900228,2026-04-23T23:55:14.039Z
3703106,907386,8408.08,2026-04-23T22:01:54.633Z,bid-extra-60364900238,2026-04-23T23:55:14.039Z
3703236,907696,4503.68,2026-04-23T22:01:54.633Z,bid-extra-60364900248,2026-04-23T23:55:14.039Z
3703366,908006,5139.28,2026-04-23T22:01:54.634Z,bid-extra-60364900258,2026-04-23T23:55:14.039Z
3703496,908316,5774.88,2026-04-23T22:01:54.634Z,bid-extra-60364900268,2026-04-23T23:55:14.039Z
3703626,908626,6410.4800000000005,2026-04-23T22:01:54.634Z,bid-extra-60364900278,2026-04-23T23:55:14.039Z
