auction,bidder,price,dateTime,extra,processed_time
8700116,900256,2506.08,2026-04-23T22:02:44.631Z,bid-extra-60369900008,2026-04-23T23:55:14.039Z
8700246,900566,3141.6800000000003,2026-04-23T22:02:44.631Z,bid-extra-60369900018,2026-04-23T23:55:14.039Z
8700376,900876,3777.28,2026-04-23T22:02:44.631Z,bid-extra-60369900028,2026-04-23T23:55:14.039Z
8700506,901186,4412.88,2026-04-23T22:02:44.631Z,bid-extra-60369900038,2026-04-23T23:55:14.039Z
8700636,901496,5048.4800000000005,2026-04-23T22:02:44.631Z,bid-extra-60369900048,2026-04-23T23:55:14.039Z
8700766,901806,5684.08,2026-04-23T22:02:44.632Z,bid-extra-60369900058,2026-04-23T23:55:14.039Z
8700896,902116,6319.68,2026-04-23T22:02:44.632Z,bid-extra-60369900068,2026-04-23T23:55:14.039Z
8701026,902426,6955.280000000001,2026-04-23T22:02:44.632Z,bid-extra-60369900078,2026-04-23T23:55:14.039Z
8701156,902736,7590.88,2026-04-23T22:02:44.632Z,bid-extra-60369900088,2026-04-23T23:55:14.039Z
8701286,903046,8226.48,2026-04-23T22:02:44.632Z,bid-extra-60369900098,2026-04-23T23:55:14.039Z
8701416,903356,8862.08,2026-04-23T22:02:44.632Z,bid-extra-60369900108,2026-04-23T23:55:14.039Z
8701546,903666,9497.68,2026-04-23T22:02:44.632Z,bid-extra-60369900118,2026-04-23T23:55:14.039Z
8701676,903976,5593.28,2026-04-23T22:02:44.632Z,bid-extra-60369900128,2026-04-23T23:55:14.039Z
8701806,904286,6228.88,2026-04-23T22:02:44.632Z,bid-extra-60369900138,2026-04-23T23:55:14.039Z
8701936,904596,6864.4800000000005,2026-04-23T22:02:44.632Z,bid-extra-60369900148,2026-04-23T23:55:14.039Z
8702066,904906,7500.08,2026-04-23T22:02:44.633Z,bid-extra-60369900158,2026-04-23T23:55:14.039Z
8702196,905216,8135.68,2026-04-23T22:02:44.633Z,bid-extra-60369900168,2026-04-23T23:55:14.039Z
8702326,905526,8771.28,2026-04-23T22:02:44.633Z,bid-extra-60369900178,2026-04-23T23:55:14.039Z
8702456,905836,9406.880000000001,2026-04-23T22:02:44.633Z,bid-extra-60369900188,2026-04-23T23:55:14.039Z
8702586,906146,10042.48,2026-04-23T22:02:44.633Z,bid-extra-60369900198,2026-04-23T23:55:14.039Z
8702716,906456,10678.08,2026-04-23T22:02:44.633Z,bid-extra-60369900208,2026-04-23T23:55:14.039Z
8702846,906766,11313.68,2026-04-23T22:02:44.633Z,bid-extra-60369900218,2026-04-23T23:55:14.039Z
8702976,907076,11949.28,2026-04-23T22:02:44.633Z,bid-extra-60369900228,2026-04-23T23:55:14.039Z
8703106,907386,12584.880000000001,2026-04-23T22:02:44.633Z,bid-extra-60369900238,2026-04-23T23:55:14.039Z
8703236,907696,8680.48,2026-04-23T22:02:44.633Z,bid-extra-60369900248,2026-04-23T23:55:14.039Z
8703366,908006,9316.08,2026-04-23T22:02:44.634Z,bid-extra-60369900258,2026-04-23T23:55:14.039Z
8703496,908316,9951.68,2026-04-23T22:02:44.634Z,bid-extra-60369900268,2026-04-23T23:55:14.039Z
8703626,908626,1598.0800000000002,2026-04-23T22:02:44.634Z,bid-extra-60369900278,2026-04-23T23:55:14.039Z
8703756,908936,2233.6800000000003,2026-04-23T22:02:44.634Z,bid-extra-60369900288,2026-04-23T23:55:14.039Z
8703886,909246,2869.28,2026-04-23T22:02:44.634Z,bid-extra-60369900298,2026-04-23T23:55:14.039Z
8704016,909556,3504.88,2026-04-23T22:02:44.634Z,bid-extra-60369900308,2026-04-23T23:55:14.039Z
8704146,909866,4140.4800000000005,2026-04-23T22:02:44.634Z,bid-extra-60369900318,2026-04-23T23:55:14.039Z
8704276,910176,4776.08,2026-04-23T22:02:44.634Z,bid-extra-60369900328,2026-04-23T23:55:14.039Z
8704406,910486,5411.68,2026-04-23T22:02:44.634Z,bid-extra-60369900338,2026-04-23T23:55:14.039Z
8704536,910796,6047.28,2026-04-23T22:02:44.634Z,bid-extra-60369900348,2026-04-23T23:55:14.039Z
8704666,911106,6682.88,2026-04-23T22:02:44.635Z,bid-extra-60369900358,2026-04-23T23:55:14.039Z
8704796,911416,2778.48,2026-04-23T22:02:44.635Z,bid-extra-60369900368,2026-04-23T23:55:14.039Z
8704926,911726,3414.08,2026-04-23T22:02:44.635Z,bid-extra-60369900378,2026-04-23T23:55:14.039Z
8705056,912036,4049.6800000000003,2026-04-23T22:02:44.635Z,bid-extra-60369900388,2026-04-23T23:55:14.039Z
8705186,912346,4685.28,2026-04-23T22:02:44.635Z,bid-extra-60369900398,2026-04-23T23:55:14.039Z
8705316,912656,5320.88,2026-04-23T22:02:44.635Z,bid-extra-60369900408,2026-04-23T23:55:14.039Z
8705446,912966,5956.4800000000005,2026-04-23T22:02:44.635Z,bid-extra-60369900418,2026-04-23T23:55:14.039Z
8705576,913276,6592.08,2026-04-23T22:02:44.635Z,bid-extra-60369900428,2026-04-23T23:55:14.039Z
8705706,913586,7227.68,2026-04-23T22:02:44.635Z,bid-extra-60369900438,2026-04-23T23:55:14.039Z
8705836,913896,7863.280000000001,2026-04-23T22:02:44.635Z,bid-extra-60369900448,2026-04-23T23:55:14.039Z
8705966,914206,8498.880000000001,2026-04-23T22:02:44.636Z,bid-extra-60369900458,2026-04-23T23:55:14.039Z
8706096,914516,9134.48,2026-04-23T22:02:44.636Z,bid-extra-60369900468,2026-04-23T23:55:14.039Z
8706226,914826,9770.08,2026-04-23T22:02:44.636Z,bid-extra-60369900478,2026-04-23T23:55:14.039Z
8706356,915136,5865.68,2026-04-23T22:02:44.636Z,bid-extra-60369900488,2026-04-23T23:55:14.039Z
8706486,915446,6501.280000000001,2026-04-23T22:02:44.636Z,bid-extra-60369900498,2026-04-23T23:55:14.039Z
8706616,915756,7136.88,2026-04-23T22:02:44.636Z,bid-extra-60369900508,2026-04-23T23:55:14.039Z
8706746,916066,7772.4800000000005,2026-04-23T22:02:44.636Z,bid-extra-60369900518,2026-04-23T23:55:14.039Z
8706876,916376,8408.08,2026-04-23T22:02:44.636Z,bid-extra-60369900528,2026-04-23T23:55:14.039Z
8707006,916686,9043.68,2026-04-23T22:02:44.636Z,bid-extra-60369900538,2026-04-23T23:55:14.039Z
8707136,916996,9679.28,2026-04-23T22:02:44.636Z,bid-extra-60369900548,2026-04-23T23:55:14.039Z
8707266,917306,10314.880000000001,2026-04-23T22:02:44.637Z,bid-extra-60369900558,2026-04-23T23:55:14.039Z
8707396,917616,10950.48,2026-04-23T22:02:44.637Z,bid-extra-60369900568,2026-04-23T23:55:14.039Z
8707526,917926,11586.08,2026-04-23T22:02:44.637Z,bid-extra-60369900578,2026-04-23T23:55:14.039Z
8707656,918236,12221.68,2026-04-23T22:02:44.637Z,bid-extra-60369900588,2026-04-23T23:55:14.039Z
8707786,918546,12857.28,2026-04-23T22:02:44.637Z,bid-extra-60369900598,2026-04-23T23:55:14.039Z
8707916,918856,13492.880000000001,2026-04-23T22:02:44.637Z,bid-extra-60369900608,2026-04-23T23:55:14.039Z
8708046,919166,599.28,2026-04-23T22:02:44.637Z,bid-extra-60369900618,2026-04-23T23:55:14.039Z
8708176,919476,1234.88,2026-04-23T22:02:44.637Z,bid-extra-60369900628,2026-04-23T23:55:14.039Z
8708306,919786,1870.48,2026-04-23T22:02:44.637Z,bid-extra-60369900638,2026-04-23T23:55:14.039Z
8708436,920096,2506.08,2026-04-23T22:02:44.637Z,bid-extra-60369900648,2026-04-23T23:55:14.039Z
8708566,920406,3141.6800000000003,2026-04-23T22:02:44.638Z,bid-extra-60369900658,2026-04-23T23:55:14.039Z
8708696,920716,3777.28,2026-04-23T22:02:44.638Z,bid-extra-60369900668,2026-04-23T23:55:14.039Z
8708826,921026,4412.88,2026-04-23T22:02:44.638Z,bid-extra-60369900678,2026-04-23T23:55:14.039Z
8708956,921336,5048.4800000000005,2026-04-23T22:02:44.638Z,bid-extra-60369900688,2026-04-23T23:55:14.039Z
8709086,921646,5684.08,2026-04-23T22:02:44.638Z,bid-extra-60369900698,2026-04-23T23:55:14.039Z
8709216,921956,6319.68,2026-04-23T22:02:44.638Z,bid-extra-60369900708,2026-04-23T23:55:14.039Z
8709346,922266,6955.280000000001,2026-04-23T22:02:44.638Z,bid-extra-60369900718,2026-04-23T23:55:14.039Z
8709476,922576,7590.88,2026-04-23T22:02:44.638Z,bid-extra-60369900728,2026-04-23T23:55:14.039Z
8709606,922886,3686.48,2026-04-23T22:02:44.638Z,bid-extra-60369900738,2026-04-23T23:55:14.039Z
8709736,923196,4322.08,2026-04-23T22:02:44.638Z,bid-extra-60369900748,2026-04-23T23:55:14.039Z
8709866,923506,4957.68,2026-04-23T22:02:44.639Z,bid-extra-60369900758,2026-04-23T23:55:14.039Z
8709996,923816,5593.28,2026-04-23T22:02:44.639Z,bid-extra-60369900768,2026-04-23T23:55:14.039Z
8710126,924126,6228.88,2026-04-23T22:02:44.639Z,bid-extra-60369900778,2026-04-23T23:55:14.039Z
8710256,924436,6864.4800000000005,2026-04-23T22:02:44.639Z,bid-extra-60369900788,2026-04-23T23:55:14.039Z
8710386,924746,7500.08,2026-04-23T22:02:44.639Z,bid-extra-60369900798,2026-04-23T23:55:14.039Z
8710516,925056,8135.68,2026-04-23T22:02:44.639Z,bid-extra-60369900808,2026-04-23T23:55:14.039Z
8710646,925366,8771.28,2026-04-23T22:02:44.639Z,bid-extra-60369900818,2026-04-23T23:55:14.039Z
8710776,925676,9406.880000000001,2026-04-23T22:02:44.639Z,bid-extra-60369900828,2026-04-23T23:55:14.039Z
8710906,925986,10042.48,2026-04-23T22:02:44.639Z,bid-extra-60369900838,2026-04-23T23:55:14.039Z
8711036,926296,10678.08,2026-04-23T22:02:44.639Z,bid-extra-60369900848,2026-04-23T23:55:14.039Z
8711166,926606,6773.68,2026-04-23T22:02:44.640Z,bid-extra-60369900858,2026-04-23T23:55:14.039Z
8711296,926916,7409.280000000001,2026-04-23T22:02:44.640Z,bid-extra-60369900868,2026-04-23T23:55:14.039Z
8711426,927226,8044.88,2026-04-23T22:02:44.640Z,bid-extra-60369900878,2026-04-23T23:55:14.039Z
8711556,927536,8680.48,2026-04-23T22:02:44.640Z,bid-extra-60369900888,2026-04-23T23:55:14.039Z
8711686,927846,9316.08,2026-04-23T22:02:44.640Z,bid-extra-60369900898,2026-04-23T23:55:14.039Z
8711816,928156,9951.68,2026-04-23T22:02:44.640Z,bid-extra-60369900908,2026-04-23T23:55:14.039Z
8711946,928466,10587.28,2026-04-23T22:02:44.640Z,bid-extra-60369900918,2026-04-23T23:55:14.039Z
8712076,928776,11222.880000000001,2026-04-23T22:02:44.640Z,bid-extra-60369900928,2026-04-23T23:55:14.039Z
8712206,929086,11858.48,2026-04-23T22:02:44.640Z,bid-extra-60369900938,2026-04-23T23:55:14.039Z
8712336,929396,12494.08,2026-04-23T22:02:44.640Z,bid-extra-60369900948,2026-04-23T23:55:14.039Z
8712466,929706,4140.4800000000005,2026-04-23T22:02:44.641Z,bid-extra-60369900958,2026-04-23T23:55:14.039Z
8712596,930016,4776.08,2026-04-23T22:02:44.641Z,bid-extra-60369900968,2026-04-23T23:55:14.039Z
8712726,930326,871.6800000000001,2026-04-23T22:02:44.641Z,bid-extra-60369900978,2026-04-23T23:55:14.039Z
8712856,930636,1507.28,2026-04-23T22:02:44.641Z,bid-extra-60369900988,2026-04-23T23:55:14.039Z
8712986,930946,2142.88,2026-04-23T22:02:44.641Z,bid-extra-60369900998,2026-04-23T23:55:14.039Z
8713116,931256,2778.48,2026-04-23T22:02:44.641Z,bid-extra-60369901008,2026-04-23T23:55:14.039Z
8713246,931566,3414.08,2026-04-23T22:02:44.641Z,bid-extra-60369901018,2026-04-23T23:55:14.039Z
8713376,931876,4049.6800000000003,2026-04-23T22:02:44.641Z,bid-extra-60369901028,2026-04-23T23:55:14.039Z
8713506,932186,4685.28,2026-04-23T22:02:44.641Z,bid-extra-60369901038,2026-04-23T23:55:14.039Z
8713636,932496,5320.88,2026-04-23T22:02:44.641Z,bid-extra-60369901048,2026-04-23T23:55:14.039Z
8713766,932806,5956.4800000000005,2026-04-23T22:02:44.642Z,bid-extra-60369901058,2026-04-23T23:55:14.039Z
