auction,bidder,price,dateTime,extra,processed_time
8700116,900256,3141.6800000000003,2026-04-23T22:01:04.631Z,bid-extra-60359900008,2026-04-23T23:55:14.039Z
8700246,900566,3777.28,2026-04-23T22:01:04.631Z,bid-extra-60359900018,2026-04-23T23:55:14.039Z
8700376,900876,4412.88,2026-04-23T22:01:04.631Z,bid-extra-60359900028,2026-04-23T23:55:14.039Z
8700506,901186,5048.4800000000005,2026-04-23T22:01:04.631Z,bid-extra-60359900038,2026-04-23T23:55:14.039Z
8700636,901496,5684.08,2026-04-23T22:01:04.631Z,bid-extra-60359900048,2026-04-23T23:55:14.039Z
8700766,901806,6319.68,2026-04-23T22:01:04.632Z,bid-extra-60359900058,2026-04-23T23:55:14.039Z
8700896,902116,6955.280000000001,2026-04-23T22:01:04.632Z,bid-extra-60359900068,2026-04-23T23:55:14.039Z
8701026,902426,7590.88,2026-04-23T22:01:04.632Z,bid-extra-60359900078,2026-04-23T23:55:14.039Z
8701156,902736,8226.48,2026-04-23T22:01:04.632Z,bid-extra-60359900088,2026-04-23T23:55:14.039Z
8701286,903046,8862.08,2026-04-23T22:01:04.632Z,bid-extra-60359900098,2026-04-23T23:55:14.039Z
8701416,903356,9497.68,2026-04-23T22:01:04.632Z,bid-extra-60359900108,2026-04-23T23:55:14.039Z
8701546,903666,10133.28,2026-04-23T22:01:04.632Z,bid-extra-60359900118,2026-04-23T23:55:14.039Z
8701676,903976,6228.88,2026-04-23T22:01:04.632Z,bid-extra-60359900128,2026-04-23T23:55:14.039Z
8701806,904286,6864.4800000000005,2026-04-23T22:01:04.632Z,bid-extra-60359900138,2026-04-23T23:55:14.039Z
8701936,904596,7500.08,2026-04-23T22:01:04.632Z,bid-extra-60359900148,2026-04-23T23:55:14.039Z
8702066,904906,8135.68,2026-04-23T22:01:04.633Z,bid-extra-60359900158,2026-04-23T23:55:14.039Z
8702196,905216,8771.28,2026-04-23T22:01:04.633Z,bid-extra-60359900168,2026-04-23T23:55:14.039Z
8702326,905526,9406.880000000001,2026-04-23T22:01:04.633Z,bid-extra-60359900178,2026-04-23T23:55:14.039Z
8702456,905836,10042.48,2026-04-23T22:01:04.633Z,bid-extra-60359900188,2026-04-23T23:55:14.039Z
8702586,906146,10678.08,2026-04-23T22:01:04.633Z,bid-extra-60359900198,2026-04-23T23:55:14.039Z
8702716,906456,11313.68,2026-04-23T22:01:04.633Z,bid-extra-60359900208,2026-04-23T23:55:14.039Z
8702846,906766,11949.28,2026-04-23T22:01:04.633Z,bid-extra-60359900218,2026-04-23T23:55:14.039Z
8702976,907076,12584.880000000001,2026-04-23T22:01:04.633Z,bid-extra-60359900228,2026-04-23T23:55:14.039Z
8703106,907386,13220.48,2026-04-23T22:01:04.633Z,bid-extra-60359900238,2026-04-23T23:55:14.039Z
8703236,907696,326.88,2026-04-23T22:01:04.633Z,bid-extra-60359900248,2026-04-23T23:55:14.039Z
8703366,908006,962.48,2026-04-23T22:01:04.634Z,bid-extra-60359900258,2026-04-23T23:55:14.039Z
8703496,908316,1598.0800000000002,2026-04-23T22:01:04.634Z,bid-extra-60359900268,2026-04-23T23:55:14.039Z
8703626,908626,2233.6800000000003,2026-04-23T22:01:04.634Z,bid-extra-60359900278,2026-04-23T23:55:14.039Z
8703756,908936,2869.28,2026-04-23T22:01:04.634Z,bid-extra-60359900288,2026-04-23T23:55:14.039Z
8703886,909246,3504.88,2026-04-23T22:01:04.634Z,bid-extra-60359900298,2026-04-23T23:55:14.039Z
8704016,909556,4140.4800000000005,2026-04-23T22:01:04.634Z,bid-extra-60359900308,2026-04-23T23:55:14.039Z
8704146,909866,4776.08,2026-04-23T22:01:04.634Z,bid-extra-60359900318,2026-04-23T23:55:14.039Z
8704276,910176,5411.68,2026-04-23T22:01:04.634Z,bid-extra-60359900328,2026-04-23T23:55:14.039Z
