auction,bidder,price,dateTime,extra,processed_time
8700116,900256,3777.28,2026-04-23T21:59:24.631Z,bid-extra-60349900008,2026-04-23T23:55:14.039Z
8700246,900566,4412.88,2026-04-23T21:59:24.631Z,bid-extra-60349900018,2026-04-23T23:55:14.039Z
8700376,900876,5048.4800000000005,2026-04-23T21:59:24.631Z,bid-extra-60349900028,2026-04-23T23:55:14.039Z
8700506,901186,5684.08,2026-04-23T21:59:24.631Z,bid-extra-60349900038,2026-04-23T23:55:14.039Z
8700636,901496,6319.68,2026-04-23T21:59:24.631Z,bid-extra-60349900048,2026-04-23T23:55:14.039Z
8700766,901806,6955.280000000001,2026-04-23T21:59:24.632Z,bid-extra-60349900058,2026-04-23T23:55:14.039Z
8700896,902116,7590.88,2026-04-23T21:59:24.632Z,bid-extra-60349900068,2026-04-23T23:55:14.039Z
8701026,902426,8226.48,2026-04-23T21:59:24.632Z,bid-extra-60349900078,2026-04-23T23:55:14.039Z
8701156,902736,8862.08,2026-04-23T21:59:24.632Z,bid-extra-60349900088,2026-04-23T23:55:14.039Z
8701286,903046,9497.68,2026-04-23T21:59:24.632Z,bid-extra-60349900098,2026-04-23T23:55:14.039Z
8701416,903356,10133.28,2026-04-23T21:59:24.632Z,bid-extra-60349900108,2026-04-23T23:55:14.039Z
8701546,903666,10768.880000000001,2026-04-23T21:59:24.632Z,bid-extra-60349900118,2026-04-23T23:55:14.039Z
8701676,903976,6864.4800000000005,2026-04-23T21:59:24.632Z,bid-extra-60349900128,2026-04-23T23:55:14.039Z
8701806,904286,7500.08,2026-04-23T21:59:24.632Z,bid-extra-60349900138,2026-04-23T23:55:14.039Z
8701936,904596,8135.68,2026-04-23T21:59:24.632Z,bid-extra-60349900148,2026-04-23T23:55:14.039Z
8702066,904906,8771.28,2026-04-23T21:59:24.633Z,bid-extra-60349900158,2026-04-23T23:55:14.039Z
8702196,905216,9406.880000000001,2026-04-23T21:59:24.633Z,bid-extra-60349900168,2026-04-23T23:55:14.039Z
8702326,905526,10042.48,2026-04-23T21:59:24.633Z,bid-extra-60349900178,2026-04-23T23:55:14.039Z
8702456,905836,10678.08,2026-04-23T21:59:24.633Z,bid-extra-60349900188,2026-04-23T23:55:14.039Z
8702586,906146,11313.68,2026-04-23T21:59:24.633Z,bid-extra-60349900198,2026-04-23T23:55:14.039Z
8702716,906456,11949.28,2026-04-23T21:59:24.633Z,bid-extra-60349900208,2026-04-23T23:55:14.039Z
