auction,bidder,price,dateTime,extra,processed_time
4700116,900256,8408.08,2026-04-23T22:01:24.631Z,bid-extra-60361900008,2026-04-23T23:55:14.039Z
4700246,900566,9043.68,2026-04-23T22:01:24.631Z,bid-extra-60361900018,2026-04-23T23:55:14.039Z
4700376,900876,9679.28,2026-04-23T22:01:24.631Z,bid-extra-60361900028,2026-04-23T23:55:14.039Z
4700506,901186,10314.880000000001,2026-04-23T22:01:24.631Z,bid-extra-60361900038,2026-04-23T23:55:14.039Z
4700636,901496,1961.28,2026-04-23T22:01:24.631Z,bid-extra-60361900048,2026-04-23T23:55:14.039Z
4700766,901806,2596.88,2026-04-23T22:01:24.632Z,bid-extra-60361900058,2026-04-23T23:55:14.039Z
4700896,902116,3232.48,2026-04-23T22:01:24.632Z,bid-extra-60361900068,2026-04-23T23:55:14.039Z
4701026,902426,3868.08,2026-04-23T22:01:24.632Z,bid-extra-60361900078,2026-04-23T23:55:14.039Z
4701156,902736,4503.68,2026-04-23T22:01:24.632Z,bid-extra-60361900088,2026-04-23T23:55:14.039Z
4701286,903046,5139.28,2026-04-23T22:01:24.632Z,bid-extra-60361900098,2026-04-23T23:55:14.039Z
4701416,903356,5774.88,2026-04-23T22:01:24.632Z,bid-extra-60361900108,2026-04-23T23:55:14.039Z
4701546,903666,6410.4800000000005,2026-04-23T22:01:24.632Z,bid-extra-60361900118,2026-04-23T23:55:14.039Z
4701676,903976,2506.08,2026-04-23T22:01:24.632Z,bid-extra-60361900128,2026-04-23T23:55:14.039Z
4701806,904286,3141.6800000000003,2026-04-23T22:01:24.632Z,bid-extra-60361900138,2026-04-23T23:55:14.039Z
4701936,904596,3777.28,2026-04-23T22:01:24.632Z,bid-extra-60361900148,2026-04-23T23:55:14.039Z
4702066,904906,4412.88,2026-04-23T22:01:24.633Z,bid-extra-60361900158,2026-04-23T23:55:14.039Z
4702196,905216,5048.4800000000005,2026-04-23T22:01:24.633Z,bid-extra-60361900168,2026-04-23T23:55:14.039Z
4702326,905526,5684.08,2026-04-23T22:01:24.633Z,bid-extra-60361900178,2026-04-23T23:55:14.039Z
4702456,905836,6319.68,2026-04-23T22:01:24.633Z,bid-extra-60361900188,2026-04-23T23:55:14.039Z
4702586,906146,6955.280000000001,2026-04-23T22:01:24.633Z,bid-extra-60361900198,2026-04-23T23:55:14.039Z
4702716,906456,7590.88,2026-04-23T22:01:24.633Z,bid-extra-60361900208,2026-04-23T23:55:14.039Z
4702846,906766,8226.48,2026-04-23T22:01:24.633Z,bid-extra-60361900218,2026-04-23T23:55:14.039Z
