auction,bidder,price,dateTime,extra,processed_time
7700116,900256,3323.28,2026-04-23T21:58:14.631Z,bid-extra-60342900008,2026-04-23T23:55:14.039Z
7700246,900566,3958.88,2026-04-23T21:58:14.631Z,bid-extra-60342900018,2026-04-23T23:55:14.039Z
7700376,900876,4594.4800000000005,2026-04-23T21:58:14.631Z,bid-extra-60342900028,2026-04-23T23:55:14.039Z
7700506,901186,5230.08,2026-04-23T21:58:14.631Z,bid-extra-60342900038,2026-04-23T23:55:14.039Z
7700636,901496,5865.68,2026-04-23T21:58:14.631Z,bid-extra-60342900048,2026-04-23T23:55:14.039Z
7700766,901806,6501.280000000001,2026-04-23T21:58:14.632Z,bid-extra-60342900058,2026-04-23T23:55:14.039Z
7700896,902116,7136.88,2026-04-23T21:58:14.632Z,bid-extra-60342900068,2026-04-23T23:55:14.039Z
7701026,902426,7772.4800000000005,2026-04-23T21:58:14.632Z,bid-extra-60342900078,2026-04-23T23:55:14.039Z
7701156,902736,8408.08,2026-04-23T21:58:14.632Z,bid-extra-60342900088,2026-04-23T23:55:14.039Z
7701286,903046,9043.68,2026-04-23T21:58:14.632Z,bid-extra-60342900098,2026-04-23T23:55:14.039Z
7701416,903356,9679.28,2026-04-23T21:58:14.632Z,bid-extra-60342900108,2026-04-23T23:55:14.039Z
7701546,903666,10314.880000000001,2026-04-23T21:58:14.632Z,bid-extra-60342900118,2026-04-23T23:55:14.039Z
7701676,903976,6410.4800000000005,2026-04-23T21:58:14.632Z,bid-extra-60342900128,2026-04-23T23:55:14.039Z
7701806,904286,7046.08,2026-04-23T21:58:14.632Z,bid-extra-60342900138,2026-04-23T23:55:14.039Z
7701936,904596,7681.68,2026-04-23T21:58:14.632Z,bid-extra-60342900148,2026-04-23T23:55:14.039Z
7702066,904906,8317.28,2026-04-23T21:58:14.633Z,bid-extra-60342900158,2026-04-23T23:55:14.039Z
7702196,905216,8952.880000000001,2026-04-23T21:58:14.633Z,bid-extra-60342900168,2026-04-23T23:55:14.039Z
7702326,905526,9588.48,2026-04-23T21:58:14.633Z,bid-extra-60342900178,2026-04-23T23:55:14.039Z
7702456,905836,10224.08,2026-04-23T21:58:14.633Z,bid-extra-60342900188,2026-04-23T23:55:14.039Z
7702586,906146,10859.68,2026-04-23T21:58:14.633Z,bid-extra-60342900198,2026-04-23T23:55:14.039Z
7702716,906456,11495.28,2026-04-23T21:58:14.633Z,bid-extra-60342900208,2026-04-23T23:55:14.039Z
7702846,906766,12130.880000000001,2026-04-23T21:58:14.633Z,bid-extra-60342900218,2026-04-23T23:55:14.039Z
7702976,907076,12766.48,2026-04-23T21:58:14.633Z,bid-extra-60342900228,2026-04-23T23:55:14.039Z
7703106,907386,4412.88,2026-04-23T21:58:14.633Z,bid-extra-60342900238,2026-04-23T23:55:14.039Z
7703236,907696,508.48,2026-04-23T21:58:14.633Z,bid-extra-60342900248,2026-04-23T23:55:14.039Z
7703366,908006,1144.08,2026-04-23T21:58:14.634Z,bid-extra-60342900258,2026-04-23T23:55:14.039Z
7703496,908316,1779.68,2026-04-23T21:58:14.634Z,bid-extra-60342900268,2026-04-23T23:55:14.039Z
7703626,908626,2415.28,2026-04-23T21:58:14.634Z,bid-extra-60342900278,2026-04-23T23:55:14.039Z
7703756,908936,3050.88,2026-04-23T21:58:14.634Z,bid-extra-60342900288,2026-04-23T23:55:14.039Z
7703886,909246,3686.48,2026-04-23T21:58:14.634Z,bid-extra-60342900298,2026-04-23T23:55:14.039Z
7704016,909556,4322.08,2026-04-23T21:58:14.634Z,bid-extra-60342900308,2026-04-23T23:55:14.039Z
7704146,909866,4957.68,2026-04-23T21:58:14.634Z,bid-extra-60342900318,2026-04-23T23:55:14.039Z
7704276,910176,5593.28,2026-04-23T21:58:14.634Z,bid-extra-60342900328,2026-04-23T23:55:14.039Z
7704406,910486,6228.88,2026-04-23T21:58:14.634Z,bid-extra-60342900338,2026-04-23T23:55:14.039Z
7704536,910796,6864.4800000000005,2026-04-23T21:58:14.634Z,bid-extra-60342900348,2026-04-23T23:55:14.039Z
7704666,911106,7500.08,2026-04-23T21:58:14.635Z,bid-extra-60342900358,2026-04-23T23:55:14.039Z
7704796,911416,3595.6800000000003,2026-04-23T21:58:14.635Z,bid-extra-60342900368,2026-04-23T23:55:14.039Z
7704926,911726,4231.28,2026-04-23T21:58:14.635Z,bid-extra-60342900378,2026-04-23T23:55:14.039Z
7705056,912036,4866.88,2026-04-23T21:58:14.635Z,bid-extra-60342900388,2026-04-23T23:55:14.039Z
7705186,912346,5502.4800000000005,2026-04-23T21:58:14.635Z,bid-extra-60342900398,2026-04-23T23:55:14.039Z
7705316,912656,6138.08,2026-04-23T21:58:14.635Z,bid-extra-60342900408,2026-04-23T23:55:14.039Z
7705446,912966,6773.68,2026-04-23T21:58:14.635Z,bid-extra-60342900418,2026-04-23T23:55:14.039Z
7705576,913276,7409.280000000001,2026-04-23T21:58:14.635Z,bid-extra-60342900428,2026-04-23T23:55:14.039Z
7705706,913586,8044.88,2026-04-23T21:58:14.635Z,bid-extra-60342900438,2026-04-23T23:55:14.039Z
7705836,913896,8680.48,2026-04-23T21:58:14.635Z,bid-extra-60342900448,2026-04-23T23:55:14.039Z
