auction,bidder,price,dateTime,extra,processed_time
6700116,900256,962.48,2026-04-23T22:02:04.631Z,bid-extra-60365900008,2026-04-23T23:55:14.039Z
6700246,900566,1598.0800000000002,2026-04-23T22:02:04.631Z,bid-extra-60365900018,2026-04-23T23:55:14.039Z
6700376,900876,2233.6800000000003,2026-04-23T22:02:04.631Z,bid-extra-60365900028,2026-04-23T23:55:14.039Z
6700506,901186,2869.28,2026-04-23T22:02:04.631Z,bid-extra-60365900038,2026-04-23T23:55:14.039Z
6700636,901496,3504.88,2026-04-23T22:02:04.631Z,bid-extra-60365900048,2026-04-23T23:55:14.039Z
6700766,901806,4140.4800000000005,2026-04-23T22:02:04.632Z,bid-extra-60365900058,2026-04-23T23:55:14.039Z
6700896,902116,4776.08,2026-04-23T22:02:04.632Z,bid-extra-60365900068,2026-04-23T23:55:14.039Z
6701026,902426,5411.68,2026-04-23T22:02:04.632Z,bid-extra-60365900078,2026-04-23T23:55:14.039Z
6701156,902736,6047.28,2026-04-23T22:02:04.632Z,bid-extra-60365900088,2026-04-23T23:55:14.039Z
6701286,903046,6682.88,2026-04-23T22:02:04.632Z,bid-extra-60365900098,2026-04-23T23:55:14.039Z
6701416,903356,7318.4800000000005,2026-04-23T22:02:04.632Z,bid-extra-60365900108,2026-04-23T23:55:14.039Z
6701546,903666,7954.08,2026-04-23T22:02:04.632Z,bid-extra-60365900118,2026-04-23T23:55:14.039Z
6701676,903976,4049.6800000000003,2026-04-23T22:02:04.632Z,bid-extra-60365900128,2026-04-23T23:55:14.039Z
6701806,904286,4685.28,2026-04-23T22:02:04.632Z,bid-extra-60365900138,2026-04-23T23:55:14.039Z
6701936,904596,5320.88,2026-04-23T22:02:04.632Z,bid-extra-60365900148,2026-04-23T23:55:14.039Z
6702066,904906,5956.4800000000005,2026-04-23T22:02:04.633Z,bid-extra-60365900158,2026-04-23T23:55:14.039Z
6702196,905216,6592.08,2026-04-23T22:02:04.633Z,bid-extra-60365900168,2026-04-23T23:55:14.039Z
6702326,905526,7227.68,2026-04-23T22:02:04.633Z,bid-extra-60365900178,2026-04-23T23:55:14.039Z
6702456,905836,7863.280000000001,2026-04-23T22:02:04.633Z,bid-extra-60365900188,2026-04-23T23:55:14.039Z
6702586,906146,8498.880000000001,2026-04-23T22:02:04.633Z,bid-extra-60365900198,2026-04-23T23:55:14.039Z
6702716,906456,9134.48,2026-04-23T22:02:04.633Z,bid-extra-60365900208,2026-04-23T23:55:14.039Z
6702846,906766,9770.08,2026-04-23T22:02:04.633Z,bid-extra-60365900218,2026-04-23T23:55:14.039Z
6702976,907076,10405.68,2026-04-23T22:02:04.633Z,bid-extra-60365900228,2026-04-23T23:55:14.039Z
