auction,bidder,price,dateTime,extra,processed_time
5700116,900256,8862.08,2026-04-23T22:02:34.631Z,bid-extra-60368900008,2026-04-23T23:55:14.039Z
5700246,900566,9497.68,2026-04-23T22:02:34.631Z,bid-extra-60368900018,2026-04-23T23:55:14.039Z
5700376,900876,1144.08,2026-04-23T22:02:34.631Z,bid-extra-60368900028,2026-04-23T23:55:14.039Z
5700506,901186,1779.68,2026-04-23T22:02:34.631Z,bid-extra-60368900038,2026-04-23T23:55:14.039Z
5700636,901496,2415.28,2026-04-23T22:02:34.631Z,bid-extra-60368900048,2026-04-23T23:55:14.039Z
5700766,901806,3050.88,2026-04-23T22:02:34.632Z,bid-extra-60368900058,2026-04-23T23:55:14.039Z
5700896,902116,3686.48,2026-04-23T22:02:34.632Z,bid-extra-60368900068,2026-04-23T23:55:14.039Z
5701026,902426,4322.08,2026-04-23T22:02:34.632Z,bid-extra-60368900078,2026-04-23T23:55:14.039Z
5701156,902736,4957.68,2026-04-23T22:02:34.632Z,bid-extra-60368900088,2026-04-23T23:55:14.039Z
5701286,903046,5593.28,2026-04-23T22:02:34.632Z,bid-extra-60368900098,2026-04-23T23:55:14.039Z
5701416,903356,6228.88,2026-04-23T22:02:34.632Z,bid-extra-60368900108,2026-04-23T23:55:14.039Z
5701546,903666,6864.4800000000005,2026-04-23T22:02:34.632Z,bid-extra-60368900118,2026-04-23T23:55:14.039Z
5701676,903976,2960.08,2026-04-23T22:02:34.632Z,bid-extra-60368900128,2026-04-23T23:55:14.039Z
5701806,904286,3595.6800000000003,2026-04-23T22:02:34.632Z,bid-extra-60368900138,2026-04-23T23:55:14.039Z
5701936,904596,4231.28,2026-04-23T22:02:34.632Z,bid-extra-60368900148,2026-04-23T23:55:14.039Z
5702066,904906,4866.88,2026-04-23T22:02:34.633Z,bid-extra-60368900158,2026-04-23T23:55:14.039Z
5702196,905216,5502.4800000000005,2026-04-23T22:02:34.633Z,bid-extra-60368900168,2026-04-23T23:55:14.039Z
5702326,905526,6138.08,2026-04-23T22:02:34.633Z,bid-extra-60368900178,2026-04-23T23:55:14.039Z
5702456,905836,6773.68,2026-04-23T22:02:34.633Z,bid-extra-60368900188,2026-04-23T23:55:14.039Z
5702586,906146,7409.280000000001,2026-04-23T22:02:34.633Z,bid-extra-60368900198,2026-04-23T23:55:14.039Z
5702716,906456,8044.88,2026-04-23T22:02:34.633Z,bid-extra-60368900208,2026-04-23T23:55:14.039Z
5702846,906766,8680.48,2026-04-23T22:02:34.633Z,bid-extra-60368900218,2026-04-23T23:55:14.039Z
5702976,907076,9316.08,2026-04-23T22:02:34.633Z,bid-extra-60368900228,2026-04-23T23:55:14.039Z
5703106,907386,9951.68,2026-04-23T22:02:34.633Z,bid-extra-60368900238,2026-04-23T23:55:14.039Z
5703236,907696,6047.28,2026-04-23T22:02:34.633Z,bid-extra-60368900248,2026-04-23T23:55:14.039Z
5703366,908006,6682.88,2026-04-23T22:02:34.634Z,bid-extra-60368900258,2026-04-23T23:55:14.039Z
5703496,908316,7318.4800000000005,2026-04-23T22:02:34.634Z,bid-extra-60368900268,2026-04-23T23:55:14.039Z
5703626,908626,7954.08,2026-04-23T22:02:34.634Z,bid-extra-60368900278,2026-04-23T23:55:14.039Z
5703756,908936,8589.68,2026-04-23T22:02:34.634Z,bid-extra-60368900288,2026-04-23T23:55:14.039Z
5703886,909246,9225.28,2026-04-23T22:02:34.634Z,bid-extra-60368900298,2026-04-23T23:55:14.039Z
5704016,909556,9860.880000000001,2026-04-23T22:02:34.634Z,bid-extra-60368900308,2026-04-23T23:55:14.039Z
5704146,909866,10496.48,2026-04-23T22:02:34.634Z,bid-extra-60368900318,2026-04-23T23:55:14.039Z
5704276,910176,11132.08,2026-04-23T22:02:34.634Z,bid-extra-60368900328,2026-04-23T23:55:14.039Z
5704406,910486,11767.68,2026-04-23T22:02:34.634Z,bid-extra-60368900338,2026-04-23T23:55:14.039Z
5704536,910796,12403.28,2026-04-23T22:02:34.634Z,bid-extra-60368900348,2026-04-23T23:55:14.039Z
5704666,911106,13038.880000000001,2026-04-23T22:02:34.635Z,bid-extra-60368900358,2026-04-23T23:55:14.039Z
5704796,911416,9134.48,2026-04-23T22:02:34.635Z,bid-extra-60368900368,2026-04-23T23:55:14.039Z
5704926,911726,780.88,2026-04-23T22:02:34.635Z,bid-extra-60368900378,2026-04-23T23:55:14.039Z
5705056,912036,1416.48,2026-04-23T22:02:34.635Z,bid-extra-60368900388,2026-04-23T23:55:14.039Z
5705186,912346,2052.08,2026-04-23T22:02:34.635Z,bid-extra-60368900398,2026-04-23T23:55:14.039Z
5705316,912656,2687.6800000000003,2026-04-23T22:02:34.635Z,bid-extra-60368900408,2026-04-23T23:55:14.039Z
5705446,912966,3323.28,2026-04-23T22:02:34.635Z,bid-extra-60368900418,2026-04-23T23:55:14.039Z
5705576,913276,3958.88,2026-04-23T22:02:34.635Z,bid-extra-60368900428,2026-04-23T23:55:14.039Z
5705706,913586,4594.4800000000005,2026-04-23T22:02:34.635Z,bid-extra-60368900438,2026-04-23T23:55:14.039Z
5705836,913896,5230.08,2026-04-23T22:02:34.635Z,bid-extra-60368900448,2026-04-23T23:55:14.039Z
5705966,914206,5865.68,2026-04-23T22:02:34.636Z,bid-extra-60368900458,2026-04-23T23:55:14.039Z
5706096,914516,6501.280000000001,2026-04-23T22:02:34.636Z,bid-extra-60368900468,2026-04-23T23:55:14.039Z
5706226,914826,7136.88,2026-04-23T22:02:34.636Z,bid-extra-60368900478,2026-04-23T23:55:14.039Z
5706356,915136,3232.48,2026-04-23T22:02:34.636Z,bid-extra-60368900488,2026-04-23T23:55:14.039Z
5706486,915446,3868.08,2026-04-23T22:02:34.636Z,bid-extra-60368900498,2026-04-23T23:55:14.039Z
5706616,915756,4503.68,2026-04-23T22:02:34.636Z,bid-extra-60368900508,2026-04-23T23:55:14.039Z
5706746,916066,5139.28,2026-04-23T22:02:34.636Z,bid-extra-60368900518,2026-04-23T23:55:14.039Z
5706876,916376,5774.88,2026-04-23T22:02:34.636Z,bid-extra-60368900528,2026-04-23T23:55:14.039Z
5707006,916686,6410.4800000000005,2026-04-23T22:02:34.636Z,bid-extra-60368900538,2026-04-23T23:55:14.039Z
5707136,916996,7046.08,2026-04-23T22:02:34.636Z,bid-extra-60368900548,2026-04-23T23:55:14.039Z
5707266,917306,7681.68,2026-04-23T22:02:34.637Z,bid-extra-60368900558,2026-04-23T23:55:14.039Z
5707396,917616,8317.28,2026-04-23T22:02:34.637Z,bid-extra-60368900568,2026-04-23T23:55:14.039Z
5707526,917926,8952.880000000001,2026-04-23T22:02:34.637Z,bid-extra-60368900578,2026-04-23T23:55:14.039Z
5707656,918236,9588.48,2026-04-23T22:02:34.637Z,bid-extra-60368900588,2026-04-23T23:55:14.039Z
5707786,918546,10224.08,2026-04-23T22:02:34.637Z,bid-extra-60368900598,2026-04-23T23:55:14.039Z
5707916,918856,10859.68,2026-04-23T22:02:34.637Z,bid-extra-60368900608,2026-04-23T23:55:14.039Z
