auction,bidder,price,dateTime,extra,processed_time
6700116,900256,2233.6800000000003,2026-04-23T21:58:44.631Z,bid-extra-60345900008,2026-04-23T23:55:14.039Z
6700246,900566,2869.28,2026-04-23T21:58:44.631Z,bid-extra-60345900018,2026-04-23T23:55:14.039Z
6700376,900876,3504.88,2026-04-23T21:58:44.631Z,bid-extra-60345900028,2026-04-23T23:55:14.039Z
6700506,901186,4140.4800000000005,2026-04-23T21:58:44.631Z,bid-extra-60345900038,2026-04-23T23:55:14.039Z
6700636,901496,4776.08,2026-04-23T21:58:44.631Z,bid-extra-60345900048,2026-04-23T23:55:14.039Z
6700766,901806,5411.68,2026-04-23T21:58:44.632Z,bid-extra-60345900058,2026-04-23T23:55:14.039Z
6700896,902116,6047.28,2026-04-23T21:58:44.632Z,bid-extra-60345900068,2026-04-23T23:55:14.039Z
6701026,902426,6682.88,2026-04-23T21:58:44.632Z,bid-extra-60345900078,2026-04-23T23:55:14.039Z
6701156,902736,7318.4800000000005,2026-04-23T21:58:44.632Z,bid-extra-60345900088,2026-04-23T23:55:14.039Z
6701286,903046,7954.08,2026-04-23T21:58:44.632Z,bid-extra-60345900098,2026-04-23T23:55:14.039Z
6701416,903356,8589.68,2026-04-23T21:58:44.632Z,bid-extra-60345900108,2026-04-23T23:55:14.039Z
6701546,903666,9225.28,2026-04-23T21:58:44.632Z,bid-extra-60345900118,2026-04-23T23:55:14.039Z
6701676,903976,5320.88,2026-04-23T21:58:44.632Z,bid-extra-60345900128,2026-04-23T23:55:14.039Z
6701806,904286,5956.4800000000005,2026-04-23T21:58:44.632Z,bid-extra-60345900138,2026-04-23T23:55:14.039Z
6701936,904596,6592.08,2026-04-23T21:58:44.632Z,bid-extra-60345900148,2026-04-23T23:55:14.039Z
6702066,904906,7227.68,2026-04-23T21:58:44.633Z,bid-extra-60345900158,2026-04-23T23:55:14.039Z
6702196,905216,7863.280000000001,2026-04-23T21:58:44.633Z,bid-extra-60345900168,2026-04-23T23:55:14.039Z
6702326,905526,8498.880000000001,2026-04-23T21:58:44.633Z,bid-extra-60345900178,2026-04-23T23:55:14.039Z
6702456,905836,9134.48,2026-04-23T21:58:44.633Z,bid-extra-60345900188,2026-04-23T23:55:14.039Z
6702586,906146,9770.08,2026-04-23T21:58:44.633Z,bid-extra-60345900198,2026-04-23T23:55:14.039Z
6702716,906456,10405.68,2026-04-23T21:58:44.633Z,bid-extra-60345900208,2026-04-23T23:55:14.039Z
6702846,906766,11041.28,2026-04-23T21:58:44.633Z,bid-extra-60345900218,2026-04-23T23:55:14.039Z
6702976,907076,11676.880000000001,2026-04-23T21:58:44.633Z,bid-extra-60345900228,2026-04-23T23:55:14.039Z
6703106,907386,12312.48,2026-04-23T21:58:44.633Z,bid-extra-60345900238,2026-04-23T23:55:14.039Z
6703236,907696,8408.08,2026-04-23T21:58:44.633Z,bid-extra-60345900248,2026-04-23T23:55:14.039Z
6703366,908006,9043.68,2026-04-23T21:58:44.634Z,bid-extra-60345900258,2026-04-23T23:55:14.039Z
6703496,908316,9679.28,2026-04-23T21:58:44.634Z,bid-extra-60345900268,2026-04-23T23:55:14.039Z
6703626,908626,10314.880000000001,2026-04-23T21:58:44.634Z,bid-extra-60345900278,2026-04-23T23:55:14.039Z
6703756,908936,1961.28,2026-04-23T21:58:44.634Z,bid-extra-60345900288,2026-04-23T23:55:14.039Z
6703886,909246,2596.88,2026-04-23T21:58:44.634Z,bid-extra-60345900298,2026-04-23T23:55:14.039Z
6704016,909556,3232.48,2026-04-23T21:58:44.634Z,bid-extra-60345900308,2026-04-23T23:55:14.039Z
6704146,909866,3868.08,2026-04-23T21:58:44.634Z,bid-extra-60345900318,2026-04-23T23:55:14.039Z
6704276,910176,4503.68,2026-04-23T21:58:44.634Z,bid-extra-60345900328,2026-04-23T23:55:14.039Z
6704406,910486,5139.28,2026-04-23T21:58:44.634Z,bid-extra-60345900338,2026-04-23T23:55:14.039Z
6704536,910796,5774.88,2026-04-23T21:58:44.634Z,bid-extra-60345900348,2026-04-23T23:55:14.039Z
6704666,911106,6410.4800000000005,2026-04-23T21:58:44.635Z,bid-extra-60345900358,2026-04-23T23:55:14.039Z
6704796,911416,2506.08,2026-04-23T21:58:44.635Z,bid-extra-60345900368,2026-04-23T23:55:14.039Z
6704926,911726,3141.6800000000003,2026-04-23T21:58:44.635Z,bid-extra-60345900378,2026-04-23T23:55:14.039Z
6705056,912036,3777.28,2026-04-23T21:58:44.635Z,bid-extra-60345900388,2026-04-23T23:55:14.039Z
6705186,912346,4412.88,2026-04-23T21:58:44.635Z,bid-extra-60345900398,2026-04-23T23:55:14.039Z
6705316,912656,5048.4800000000005,2026-04-23T21:58:44.635Z,bid-extra-60345900408,2026-04-23T23:55:14.039Z
6705446,912966,5684.08,2026-04-23T21:58:44.635Z,bid-extra-60345900418,2026-04-23T23:55:14.039Z
6705576,913276,6319.68,2026-04-23T21:58:44.635Z,bid-extra-60345900428,2026-04-23T23:55:14.039Z
6705706,913586,6955.280000000001,2026-04-23T21:58:44.635Z,bid-extra-60345900438,2026-04-23T23:55:14.039Z
6705836,913896,7590.88,2026-04-23T21:58:44.635Z,bid-extra-60345900448,2026-04-23T23:55:14.039Z
6705966,914206,8226.48,2026-04-23T21:58:44.636Z,bid-extra-60345900458,2026-04-23T23:55:14.039Z
6706096,914516,8862.08,2026-04-23T21:58:44.636Z,bid-extra-60345900468,2026-04-23T23:55:14.039Z
6706226,914826,9497.68,2026-04-23T21:58:44.636Z,bid-extra-60345900478,2026-04-23T23:55:14.039Z
6706356,915136,5593.28,2026-04-23T21:58:44.636Z,bid-extra-60345900488,2026-04-23T23:55:14.039Z
6706486,915446,6228.88,2026-04-23T21:58:44.636Z,bid-extra-60345900498,2026-04-23T23:55:14.039Z
6706616,915756,6864.4800000000005,2026-04-23T21:58:44.636Z,bid-extra-60345900508,2026-04-23T23:55:14.039Z
6706746,916066,7500.08,2026-04-23T21:58:44.636Z,bid-extra-60345900518,2026-04-23T23:55:14.039Z
6706876,916376,8135.68,2026-04-23T21:58:44.636Z,bid-extra-60345900528,2026-04-23T23:55:14.039Z
6707006,916686,8771.28,2026-04-23T21:58:44.636Z,bid-extra-60345900538,2026-04-23T23:55:14.039Z
6707136,916996,9406.880000000001,2026-04-23T21:58:44.636Z,bid-extra-60345900548,2026-04-23T23:55:14.039Z
6707266,917306,10042.48,2026-04-23T21:58:44.637Z,bid-extra-60345900558,2026-04-23T23:55:14.039Z
6707396,917616,10678.08,2026-04-23T21:58:44.637Z,bid-extra-60345900568,2026-04-23T23:55:14.039Z
6707526,917926,11313.68,2026-04-23T21:58:44.637Z,bid-extra-60345900578,2026-04-23T23:55:14.039Z
6707656,918236,11949.28,2026-04-23T21:58:44.637Z,bid-extra-60345900588,2026-04-23T23:55:14.039Z
6707786,918546,12584.880000000001,2026-04-23T21:58:44.637Z,bid-extra-60345900598,2026-04-23T23:55:14.039Z
6707916,918856,13220.48,2026-04-23T21:58:44.637Z,bid-extra-60345900608,2026-04-23T23:55:14.039Z
6708046,919166,9316.08,2026-04-23T21:58:44.637Z,bid-extra-60345900618,2026-04-23T23:55:14.039Z
6708176,919476,962.48,2026-04-23T21:58:44.637Z,bid-extra-60345900628,2026-04-23T23:55:14.039Z
6708306,919786,1598.0800000000002,2026-04-23T21:58:44.637Z,bid-extra-60345900638,2026-04-23T23:55:14.039Z
6708436,920096,2233.6800000000003,2026-04-23T21:58:44.637Z,bid-extra-60345900648,2026-04-23T23:55:14.039Z
6708566,920406,2869.28,2026-04-23T21:58:44.638Z,bid-extra-60345900658,2026-04-23T23:55:14.039Z
6708696,920716,3504.88,2026-04-23T21:58:44.638Z,bid-extra-60345900668,2026-04-23T23:55:14.039Z
6708826,921026,4140.4800000000005,2026-04-23T21:58:44.638Z,bid-extra-60345900678,2026-04-23T23:55:14.039Z
6708956,921336,4776.08,2026-04-23T21:58:44.638Z,bid-extra-60345900688,2026-04-23T23:55:14.039Z
6709086,921646,5411.68,2026-04-23T21:58:44.638Z,bid-extra-60345900698,2026-04-23T23:55:14.039Z
6709216,921956,6047.28,2026-04-23T21:58:44.638Z,bid-extra-60345900708,2026-04-23T23:55:14.039Z
6709346,922266,6682.88,2026-04-23T21:58:44.638Z,bid-extra-60345900718,2026-04-23T23:55:14.039Z
6709476,922576,7318.4800000000005,2026-04-23T21:58:44.638Z,bid-extra-60345900728,2026-04-23T23:55:14.039Z
6709606,922886,3414.08,2026-04-23T21:58:44.638Z,bid-extra-60345900738,2026-04-23T23:55:14.039Z
6709736,923196,4049.6800000000003,2026-04-23T21:58:44.638Z,bid-extra-60345900748,2026-04-23T23:55:14.039Z
6709866,923506,4685.28,2026-04-23T21:58:44.639Z,bid-extra-60345900758,2026-04-23T23:55:14.039Z
6709996,923816,5320.88,2026-04-23T21:58:44.639Z,bid-extra-60345900768,2026-04-23T23:55:14.039Z
6710126,924126,5956.4800000000005,2026-04-23T21:58:44.639Z,bid-extra-60345900778,2026-04-23T23:55:14.039Z
