auction,bidder,price,dateTime,extra,processed_time
700116,900256,5320.88,2026-04-23T22:00:04.631Z,bid-extra-60353900008,2026-04-23T23:55:14.039Z
700246,900566,5956.4800000000005,2026-04-23T22:00:04.631Z,bid-extra-60353900018,2026-04-23T23:55:14.039Z
700376,900876,6592.08,2026-04-23T22:00:04.631Z,bid-extra-60353900028,2026-04-23T23:55:14.039Z
700506,901186,7227.68,2026-04-23T22:00:04.631Z,bid-extra-60353900038,2026-04-23T23:55:14.039Z
700636,901496,7863.280000000001,2026-04-23T22:00:04.631Z,bid-extra-60353900048,2026-04-23T23:55:14.039Z
700766,901806,8498.880000000001,2026-04-23T22:00:04.632Z,bid-extra-60353900058,2026-04-23T23:55:14.039Z
700896,902116,9134.48,2026-04-23T22:00:04.632Z,bid-extra-60353900068,2026-04-23T23:55:14.039Z
701026,902426,9770.08,2026-04-23T22:00:04.632Z,bid-extra-60353900078,2026-04-23T23:55:14.039Z
701156,902736,10405.68,2026-04-23T22:00:04.632Z,bid-extra-60353900088,2026-04-23T23:55:14.039Z
701286,903046,11041.28,2026-04-23T22:00:04.632Z,bid-extra-60353900098,2026-04-23T23:55:14.039Z
701416,903356,11676.880000000001,2026-04-23T22:00:04.632Z,bid-extra-60353900108,2026-04-23T23:55:14.039Z
701546,903666,12312.48,2026-04-23T22:00:04.632Z,bid-extra-60353900118,2026-04-23T23:55:14.039Z
701676,903976,8408.08,2026-04-23T22:00:04.632Z,bid-extra-60353900128,2026-04-23T23:55:14.039Z
701806,904286,9043.68,2026-04-23T22:00:04.632Z,bid-extra-60353900138,2026-04-23T23:55:14.039Z
701936,904596,9679.28,2026-04-23T22:00:04.632Z,bid-extra-60353900148,2026-04-23T23:55:14.039Z
702066,904906,10314.880000000001,2026-04-23T22:00:04.633Z,bid-extra-60353900158,2026-04-23T23:55:14.039Z
702196,905216,1961.28,2026-04-23T22:00:04.633Z,bid-extra-60353900168,2026-04-23T23:55:14.039Z
702326,905526,2596.88,2026-04-23T22:00:04.633Z,bid-extra-60353900178,2026-04-23T23:55:14.039Z
702456,905836,3232.48,2026-04-23T22:00:04.633Z,bid-extra-60353900188,2026-04-23T23:55:14.039Z
702586,906146,3868.08,2026-04-23T22:00:04.633Z,bid-extra-60353900198,2026-04-23T23:55:14.039Z
702716,906456,4503.68,2026-04-23T22:00:04.633Z,bid-extra-60353900208,2026-04-23T23:55:14.039Z
702846,906766,5139.28,2026-04-23T22:00:04.633Z,bid-extra-60353900218,2026-04-23T23:55:14.039Z
702976,907076,5774.88,2026-04-23T22:00:04.633Z,bid-extra-60353900228,2026-04-23T23:55:14.039Z
703106,907386,6410.4800000000005,2026-04-23T22:00:04.633Z,bid-extra-60353900238,2026-04-23T23:55:14.039Z
703236,907696,2506.08,2026-04-23T22:00:04.633Z,bid-extra-60353900248,2026-04-23T23:55:14.039Z
703366,908006,3141.6800000000003,2026-04-23T22:00:04.634Z,bid-extra-60353900258,2026-04-23T23:55:14.039Z
703496,908316,3777.28,2026-04-23T22:00:04.634Z,bid-extra-60353900268,2026-04-23T23:55:14.039Z
703626,908626,4412.88,2026-04-23T22:00:04.634Z,bid-extra-60353900278,2026-04-23T23:55:14.039Z
703756,908936,5048.4800000000005,2026-04-23T22:00:04.634Z,bid-extra-60353900288,2026-04-23T23:55:14.039Z
703886,909246,5684.08,2026-04-23T22:00:04.634Z,bid-extra-60353900298,2026-04-23T23:55:14.039Z
704016,909556,6319.68,2026-04-23T22:00:04.634Z,bid-extra-60353900308,2026-04-23T23:55:14.039Z
704146,909866,6955.280000000001,2026-04-23T22:00:04.634Z,bid-extra-60353900318,2026-04-23T23:55:14.039Z
704276,910176,7590.88,2026-04-23T22:00:04.634Z,bid-extra-60353900328,2026-04-23T23:55:14.039Z
704406,910486,8226.48,2026-04-23T22:00:04.634Z,bid-extra-60353900338,2026-04-23T23:55:14.039Z
704536,910796,8862.08,2026-04-23T22:00:04.634Z,bid-extra-60353900348,2026-04-23T23:55:14.039Z
704666,911106,9497.68,2026-04-23T22:00:04.635Z,bid-extra-60353900358,2026-04-23T23:55:14.039Z
704796,911416,5593.28,2026-04-23T22:00:04.635Z,bid-extra-60353900368,2026-04-23T23:55:14.039Z
704926,911726,6228.88,2026-04-23T22:00:04.635Z,bid-extra-60353900378,2026-04-23T23:55:14.039Z
705056,912036,6864.4800000000005,2026-04-23T22:00:04.635Z,bid-extra-60353900388,2026-04-23T23:55:14.039Z
705186,912346,7500.08,2026-04-23T22:00:04.635Z,bid-extra-60353900398,2026-04-23T23:55:14.039Z
705316,912656,8135.68,2026-04-23T22:00:04.635Z,bid-extra-60353900408,2026-04-23T23:55:14.039Z
705446,912966,8771.28,2026-04-23T22:00:04.635Z,bid-extra-60353900418,2026-04-23T23:55:14.039Z
705576,913276,9406.880000000001,2026-04-23T22:00:04.635Z,bid-extra-60353900428,2026-04-23T23:55:14.039Z
705706,913586,10042.48,2026-04-23T22:00:04.635Z,bid-extra-60353900438,2026-04-23T23:55:14.039Z
705836,913896,10678.08,2026-04-23T22:00:04.635Z,bid-extra-60353900448,2026-04-23T23:55:14.039Z
705966,914206,11313.68,2026-04-23T22:00:04.636Z,bid-extra-60353900458,2026-04-23T23:55:14.039Z
706096,914516,11949.28,2026-04-23T22:00:04.636Z,bid-extra-60353900468,2026-04-23T23:55:14.039Z
706226,914826,12584.880000000001,2026-04-23T22:00:04.636Z,bid-extra-60353900478,2026-04-23T23:55:14.039Z
706356,915136,8680.48,2026-04-23T22:00:04.636Z,bid-extra-60353900488,2026-04-23T23:55:14.039Z
706486,915446,9316.08,2026-04-23T22:00:04.636Z,bid-extra-60353900498,2026-04-23T23:55:14.039Z
706616,915756,962.48,2026-04-23T22:00:04.636Z,bid-extra-60353900508,2026-04-23T23:55:14.039Z
706746,916066,1598.0800000000002,2026-04-23T22:00:04.636Z,bid-extra-60353900518,2026-04-23T23:55:14.039Z
706876,916376,2233.6800000000003,2026-04-23T22:00:04.636Z,bid-extra-60353900528,2026-04-23T23:55:14.039Z
707006,916686,2869.28,2026-04-23T22:00:04.636Z,bid-extra-60353900538,2026-04-23T23:55:14.039Z
707136,916996,3504.88,2026-04-23T22:00:04.636Z,bid-extra-60353900548,2026-04-23T23:55:14.039Z
707266,917306,4140.4800000000005,2026-04-23T22:00:04.637Z,bid-extra-60353900558,2026-04-23T23:55:14.039Z
707396,917616,4776.08,2026-04-23T22:00:04.637Z,bid-extra-60353900568,2026-04-23T23:55:14.039Z
707526,917926,5411.68,2026-04-23T22:00:04.637Z,bid-extra-60353900578,2026-04-23T23:55:14.039Z
707656,918236,6047.28,2026-04-23T22:00:04.637Z,bid-extra-60353900588,2026-04-23T23:55:14.039Z
707786,918546,6682.88,2026-04-23T22:00:04.637Z,bid-extra-60353900598,2026-04-23T23:55:14.039Z
707916,918856,7318.4800000000005,2026-04-23T22:00:04.637Z,bid-extra-60353900608,2026-04-23T23:55:14.039Z
708046,919166,3414.08,2026-04-23T22:00:04.637Z,bid-extra-60353900618,2026-04-23T23:55:14.039Z
708176,919476,4049.6800000000003,2026-04-23T22:00:04.637Z,bid-extra-60353900628,2026-04-23T23:55:14.039Z
708306,919786,4685.28,2026-04-23T22:00:04.637Z,bid-extra-60353900638,2026-04-23T23:55:14.039Z
708436,920096,5320.88,2026-04-23T22:00:04.637Z,bid-extra-60353900648,2026-04-23T23:55:14.039Z
708566,920406,5956.4800000000005,2026-04-23T22:00:04.638Z,bid-extra-60353900658,2026-04-23T23:55:14.039Z
708696,920716,6592.08,2026-04-23T22:00:04.638Z,bid-extra-60353900668,2026-04-23T23:55:14.039Z
708826,921026,7227.68,2026-04-23T22:00:04.638Z,bid-extra-60353900678,2026-04-23T23:55:14.039Z
708956,921336,7863.280000000001,2026-04-23T22:00:04.638Z,bid-extra-60353900688,2026-04-23T23:55:14.039Z
709086,921646,8498.880000000001,2026-04-23T22:00:04.638Z,bid-extra-60353900698,2026-04-23T23:55:14.039Z
709216,921956,9134.48,2026-04-23T22:00:04.638Z,bid-extra-60353900708,2026-04-23T23:55:14.039Z
709346,922266,9770.08,2026-04-23T22:00:04.638Z,bid-extra-60353900718,2026-04-23T23:55:14.039Z
709476,922576,10405.68,2026-04-23T22:00:04.638Z,bid-extra-60353900728,2026-04-23T23:55:14.039Z
709606,922886,6501.280000000001,2026-04-23T22:00:04.638Z,bid-extra-60353900738,2026-04-23T23:55:14.039Z
709736,923196,7136.88,2026-04-23T22:00:04.638Z,bid-extra-60353900748,2026-04-23T23:55:14.039Z
709866,923506,7772.4800000000005,2026-04-23T22:00:04.639Z,bid-extra-60353900758,2026-04-23T23:55:14.039Z
709996,923816,8408.08,2026-04-23T22:00:04.639Z,bid-extra-60353900768,2026-04-23T23:55:14.039Z
710126,924126,9043.68,2026-04-23T22:00:04.639Z,bid-extra-60353900778,2026-04-23T23:55:14.039Z
710256,924436,9679.28,2026-04-23T22:00:04.639Z,bid-extra-60353900788,2026-04-23T23:55:14.039Z
710386,924746,10314.880000000001,2026-04-23T22:00:04.639Z,bid-extra-60353900798,2026-04-23T23:55:14.039Z
710516,925056,10950.48,2026-04-23T22:00:04.639Z,bid-extra-60353900808,2026-04-23T23:55:14.039Z
710646,925366,11586.08,2026-04-23T22:00:04.639Z,bid-extra-60353900818,2026-04-23T23:55:14.039Z
710776,925676,12221.68,2026-04-23T22:00:04.639Z,bid-extra-60353900828,2026-04-23T23:55:14.039Z
710906,925986,12857.28,2026-04-23T22:00:04.639Z,bid-extra-60353900838,2026-04-23T23:55:14.039Z
711036,926296,4503.68,2026-04-23T22:00:04.639Z,bid-extra-60353900848,2026-04-23T23:55:14.039Z
711166,926606,599.28,2026-04-23T22:00:04.640Z,bid-extra-60353900858,2026-04-23T23:55:14.039Z
711296,926916,1234.88,2026-04-23T22:00:04.640Z,bid-extra-60353900868,2026-04-23T23:55:14.039Z
711426,927226,1870.48,2026-04-23T22:00:04.640Z,bid-extra-60353900878,2026-04-23T23:55:14.039Z
711556,927536,2506.08,2026-04-23T22:00:04.640Z,bid-extra-60353900888,2026-04-23T23:55:14.039Z
711686,927846,3141.6800000000003,2026-04-23T22:00:04.640Z,bid-extra-60353900898,2026-04-23T23:55:14.039Z
711816,928156,3777.28,2026-04-23T22:00:04.640Z,bid-extra-60353900908,2026-04-23T23:55:14.039Z
711946,928466,4412.88,2026-04-23T22:00:04.640Z,bid-extra-60353900918,2026-04-23T23:55:14.039Z
712076,928776,5048.4800000000005,2026-04-23T22:00:04.640Z,bid-extra-60353900928,2026-04-23T23:55:14.039Z
712206,929086,5684.08,2026-04-23T22:00:04.640Z,bid-extra-60353900938,2026-04-23T23:55:14.039Z
712336,929396,6319.68,2026-04-23T22:00:04.640Z,bid-extra-60353900948,2026-04-23T23:55:14.039Z
712466,929706,6955.280000000001,2026-04-23T22:00:04.641Z,bid-extra-60353900958,2026-04-23T23:55:14.039Z
712596,930016,7590.88,2026-04-23T22:00:04.641Z,bid-extra-60353900968,2026-04-23T23:55:14.039Z
712726,930326,3686.48,2026-04-23T22:00:04.641Z,bid-extra-60353900978,2026-04-23T23:55:14.039Z
712856,930636,4322.08,2026-04-23T22:00:04.641Z,bid-extra-60353900988,2026-04-23T23:55:14.039Z
712986,930946,4957.68,2026-04-23T22:00:04.641Z,bid-extra-60353900998,2026-04-23T23:55:14.039Z
713116,931256,5593.28,2026-04-23T22:00:04.641Z,bid-extra-60353901008,2026-04-23T23:55:14.039Z
713246,931566,6228.88,2026-04-23T22:00:04.641Z,bid-extra-60353901018,2026-04-23T23:55:14.039Z
713376,931876,6864.4800000000005,2026-04-23T22:00:04.641Z,bid-extra-60353901028,2026-04-23T23:55:14.039Z
713506,932186,7500.08,2026-04-23T22:00:04.641Z,bid-extra-60353901038,2026-04-23T23:55:14.039Z
713636,932496,8135.68,2026-04-23T22:00:04.641Z,bid-extra-60353901048,2026-04-23T23:55:14.039Z
713766,932806,8771.28,2026-04-23T22:00:04.642Z,bid-extra-60353901058,2026-04-23T23:55:14.039Z
713896,933116,9406.880000000001,2026-04-23T22:00:04.642Z,bid-extra-60353901068,2026-04-23T23:55:14.039Z
714026,933426,10042.48,2026-04-23T22:00:04.642Z,bid-extra-60353901078,2026-04-23T23:55:14.039Z
