auction,bidder,price,dateTime,extra,processed_time
700116,900256,5956.4800000000005,2026-04-23T21:58:24.631Z,bid-extra-60343900008,2026-04-23T23:55:14.039Z
700246,900566,6592.08,2026-04-23T21:58:24.631Z,bid-extra-60343900018,2026-04-23T23:55:14.039Z
700376,900876,7227.68,2026-04-23T21:58:24.631Z,bid-extra-60343900028,2026-04-23T23:55:14.039Z
700506,901186,7863.280000000001,2026-04-23T21:58:24.631Z,bid-extra-60343900038,2026-04-23T23:55:14.039Z
700636,901496,8498.880000000001,2026-04-23T21:58:24.631Z,bid-extra-60343900048,2026-04-23T23:55:14.039Z
700766,901806,9134.48,2026-04-23T21:58:24.632Z,bid-extra-60343900058,2026-04-23T23:55:14.039Z
700896,902116,9770.08,2026-04-23T21:58:24.632Z,bid-extra-60343900068,2026-04-23T23:55:14.039Z
701026,902426,10405.68,2026-04-23T21:58:24.632Z,bid-extra-60343900078,2026-04-23T23:55:14.039Z
701156,902736,11041.28,2026-04-23T21:58:24.632Z,bid-extra-60343900088,2026-04-23T23:55:14.039Z
701286,903046,11676.880000000001,2026-04-23T21:58:24.632Z,bid-extra-60343900098,2026-04-23T23:55:14.039Z
701416,903356,12312.48,2026-04-23T21:58:24.632Z,bid-extra-60343900108,2026-04-23T23:55:14.039Z
701546,903666,12948.08,2026-04-23T21:58:24.632Z,bid-extra-60343900118,2026-04-23T23:55:14.039Z
701676,903976,9043.68,2026-04-23T21:58:24.632Z,bid-extra-60343900128,2026-04-23T23:55:14.039Z
701806,904286,690.08,2026-04-23T21:58:24.632Z,bid-extra-60343900138,2026-04-23T23:55:14.039Z
701936,904596,1325.68,2026-04-23T21:58:24.632Z,bid-extra-60343900148,2026-04-23T23:55:14.039Z
702066,904906,1961.28,2026-04-23T21:58:24.633Z,bid-extra-60343900158,2026-04-23T23:55:14.039Z
702196,905216,2596.88,2026-04-23T21:58:24.633Z,bid-extra-60343900168,2026-04-23T23:55:14.039Z
702326,905526,3232.48,2026-04-23T21:58:24.633Z,bid-extra-60343900178,2026-04-23T23:55:14.039Z
702456,905836,3868.08,2026-04-23T21:58:24.633Z,bid-extra-60343900188,2026-04-23T23:55:14.039Z
702586,906146,4503.68,2026-04-23T21:58:24.633Z,bid-extra-60343900198,2026-04-23T23:55:14.039Z
702716,906456,5139.28,2026-04-23T21:58:24.633Z,bid-extra-60343900208,2026-04-23T23:55:14.039Z
702846,906766,5774.88,2026-04-23T21:58:24.633Z,bid-extra-60343900218,2026-04-23T23:55:14.039Z
702976,907076,6410.4800000000005,2026-04-23T21:58:24.633Z,bid-extra-60343900228,2026-04-23T23:55:14.039Z
703106,907386,7046.08,2026-04-23T21:58:24.633Z,bid-extra-60343900238,2026-04-23T23:55:14.039Z
703236,907696,3141.6800000000003,2026-04-23T21:58:24.633Z,bid-extra-60343900248,2026-04-23T23:55:14.039Z
703366,908006,3777.28,2026-04-23T21:58:24.634Z,bid-extra-60343900258,2026-04-23T23:55:14.039Z
703496,908316,4412.88,2026-04-23T21:58:24.634Z,bid-extra-60343900268,2026-04-23T23:55:14.039Z
703626,908626,5048.4800000000005,2026-04-23T21:58:24.634Z,bid-extra-60343900278,2026-04-23T23:55:14.039Z
703756,908936,5684.08,2026-04-23T21:58:24.634Z,bid-extra-60343900288,2026-04-23T23:55:14.039Z
