auction,bidder,price,dateTime,extra,processed_time
9700116,900256,4231.28,2026-04-23T22:00:34.631Z,bid-extra-60356900008,2026-04-23T23:55:14.039Z
9700246,900566,4866.88,2026-04-23T22:00:34.631Z,bid-extra-60356900018,2026-04-23T23:55:14.039Z
9700376,900876,5502.4800000000005,2026-04-23T22:00:34.631Z,bid-extra-60356900028,2026-04-23T23:55:14.039Z
9700506,901186,6138.08,2026-04-23T22:00:34.631Z,bid-extra-60356900038,2026-04-23T23:55:14.039Z
9700636,901496,6773.68,2026-04-23T22:00:34.631Z,bid-extra-60356900048,2026-04-23T23:55:14.039Z
9700766,901806,7409.280000000001,2026-04-23T22:00:34.632Z,bid-extra-60356900058,2026-04-23T23:55:14.039Z
9700896,902116,8044.88,2026-04-23T22:00:34.632Z,bid-extra-60356900068,2026-04-23T23:55:14.039Z
9701026,902426,8680.48,2026-04-23T22:00:34.632Z,bid-extra-60356900078,2026-04-23T23:55:14.039Z
9701156,902736,9316.08,2026-04-23T22:00:34.632Z,bid-extra-60356900088,2026-04-23T23:55:14.039Z
9701286,903046,9951.68,2026-04-23T22:00:34.632Z,bid-extra-60356900098,2026-04-23T23:55:14.039Z
9701416,903356,10587.28,2026-04-23T22:00:34.632Z,bid-extra-60356900108,2026-04-23T23:55:14.039Z
9701546,903666,11222.880000000001,2026-04-23T22:00:34.632Z,bid-extra-60356900118,2026-04-23T23:55:14.039Z
9701676,903976,7318.4800000000005,2026-04-23T22:00:34.632Z,bid-extra-60356900128,2026-04-23T23:55:14.039Z
9701806,904286,7954.08,2026-04-23T22:00:34.632Z,bid-extra-60356900138,2026-04-23T23:55:14.039Z
9701936,904596,8589.68,2026-04-23T22:00:34.632Z,bid-extra-60356900148,2026-04-23T23:55:14.039Z
9702066,904906,9225.28,2026-04-23T22:00:34.633Z,bid-extra-60356900158,2026-04-23T23:55:14.039Z
9702196,905216,9860.880000000001,2026-04-23T22:00:34.633Z,bid-extra-60356900168,2026-04-23T23:55:14.039Z
9702326,905526,10496.48,2026-04-23T22:00:34.633Z,bid-extra-60356900178,2026-04-23T23:55:14.039Z
9702456,905836,11132.08,2026-04-23T22:00:34.633Z,bid-extra-60356900188,2026-04-23T23:55:14.039Z
9702586,906146,11767.68,2026-04-23T22:00:34.633Z,bid-extra-60356900198,2026-04-23T23:55:14.039Z
9702716,906456,3414.08,2026-04-23T22:00:34.633Z,bid-extra-60356900208,2026-04-23T23:55:14.039Z
9702846,906766,4049.6800000000003,2026-04-23T22:00:34.633Z,bid-extra-60356900218,2026-04-23T23:55:14.039Z
9702976,907076,4685.28,2026-04-23T22:00:34.633Z,bid-extra-60356900228,2026-04-23T23:55:14.039Z
9703106,907386,5320.88,2026-04-23T22:00:34.633Z,bid-extra-60356900238,2026-04-23T23:55:14.039Z
9703236,907696,1416.48,2026-04-23T22:00:34.633Z,bid-extra-60356900248,2026-04-23T23:55:14.039Z
