auction,bidder,price,dateTime,extra,processed_time
5700116,900256,1144.08,2026-04-23T21:59:14.631Z,bid-extra-60348900008,2026-04-23T23:55:14.039Z
5700246,900566,1779.68,2026-04-23T21:59:14.631Z,bid-extra-60348900018,2026-04-23T23:55:14.039Z
5700376,900876,2415.28,2026-04-23T21:59:14.631Z,bid-extra-60348900028,2026-04-23T23:55:14.039Z
5700506,901186,3050.88,2026-04-23T21:59:14.631Z,bid-extra-60348900038,2026-04-23T23:55:14.039Z
5700636,901496,3686.48,2026-04-23T21:59:14.631Z,bid-extra-60348900048,2026-04-23T23:55:14.039Z
5700766,901806,4322.08,2026-04-23T21:59:14.632Z,bid-extra-60348900058,2026-04-23T23:55:14.039Z
5700896,902116,4957.68,2026-04-23T21:59:14.632Z,bid-extra-60348900068,2026-04-23T23:55:14.039Z
5701026,902426,5593.28,2026-04-23T21:59:14.632Z,bid-extra-60348900078,2026-04-23T23:55:14.039Z
5701156,902736,6228.88,2026-04-23T21:59:14.632Z,bid-extra-60348900088,2026-04-23T23:55:14.039Z
5701286,903046,6864.4800000000005,2026-04-23T21:59:14.632Z,bid-extra-60348900098,2026-04-23T23:55:14.039Z
5701416,903356,7500.08,2026-04-23T21:59:14.632Z,bid-extra-60348900108,2026-04-23T23:55:14.039Z
5701546,903666,8135.68,2026-04-23T21:59:14.632Z,bid-extra-60348900118,2026-04-23T23:55:14.039Z
5701676,903976,4231.28,2026-04-23T21:59:14.632Z,bid-extra-60348900128,2026-04-23T23:55:14.039Z
5701806,904286,4866.88,2026-04-23T21:59:14.632Z,bid-extra-60348900138,2026-04-23T23:55:14.039Z
5701936,904596,5502.4800000000005,2026-04-23T21:59:14.632Z,bid-extra-60348900148,2026-04-23T23:55:14.039Z
5702066,904906,6138.08,2026-04-23T21:59:14.633Z,bid-extra-60348900158,2026-04-23T23:55:14.039Z
5702196,905216,6773.68,2026-04-23T21:59:14.633Z,bid-extra-60348900168,2026-04-23T23:55:14.039Z
5702326,905526,7409.280000000001,2026-04-23T21:59:14.633Z,bid-extra-60348900178,2026-04-23T23:55:14.039Z
5702456,905836,8044.88,2026-04-23T21:59:14.633Z,bid-extra-60348900188,2026-04-23T23:55:14.039Z
5702586,906146,8680.48,2026-04-23T21:59:14.633Z,bid-extra-60348900198,2026-04-23T23:55:14.039Z
5702716,906456,9316.08,2026-04-23T21:59:14.633Z,bid-extra-60348900208,2026-04-23T23:55:14.039Z
5702846,906766,9951.68,2026-04-23T21:59:14.633Z,bid-extra-60348900218,2026-04-23T23:55:14.039Z
5702976,907076,10587.28,2026-04-23T21:59:14.633Z,bid-extra-60348900228,2026-04-23T23:55:14.039Z
5703106,907386,11222.880000000001,2026-04-23T21:59:14.633Z,bid-extra-60348900238,2026-04-23T23:55:14.039Z
5703236,907696,7318.4800000000005,2026-04-23T21:59:14.633Z,bid-extra-60348900248,2026-04-23T23:55:14.039Z
5703366,908006,7954.08,2026-04-23T21:59:14.634Z,bid-extra-60348900258,2026-04-23T23:55:14.039Z
5703496,908316,8589.68,2026-04-23T21:59:14.634Z,bid-extra-60348900268,2026-04-23T23:55:14.039Z
5703626,908626,9225.28,2026-04-23T21:59:14.634Z,bid-extra-60348900278,2026-04-23T23:55:14.039Z
5703756,908936,9860.880000000001,2026-04-23T21:59:14.634Z,bid-extra-60348900288,2026-04-23T23:55:14.039Z
5703886,909246,10496.48,2026-04-23T21:59:14.634Z,bid-extra-60348900298,2026-04-23T23:55:14.039Z
5704016,909556,11132.08,2026-04-23T21:59:14.634Z,bid-extra-60348900308,2026-04-23T23:55:14.039Z
5704146,909866,11767.68,2026-04-23T21:59:14.634Z,bid-extra-60348900318,2026-04-23T23:55:14.039Z
