auction,bidder,price,dateTime,extra,processed_time
8700129,900287,3205.2400000000002,2026-04-23T22:01:04.631Z,bid-extra-60359900009,2026-04-23T23:55:14.039Z
8700259,900597,3840.84,2026-04-23T22:01:04.631Z,bid-extra-60359900019,2026-04-23T23:55:14.039Z
8700389,900907,4476.4400000000005,2026-04-23T22:01:04.631Z,bid-extra-60359900029,2026-04-23T23:55:14.039Z
8700519,901217,5112.04,2026-04-23T22:01:04.631Z,bid-extra-60359900039,2026-04-23T23:55:14.039Z
8700649,901527,5747.64,2026-04-23T22:01:04.631Z,bid-extra-60359900049,2026-04-23T23:55:14.039Z
8700779,901837,6383.24,2026-04-23T22:01:04.632Z,bid-extra-60359900059,2026-04-23T23:55:14.039Z
8700909,902147,7018.84,2026-04-23T22:01:04.632Z,bid-extra-60359900069,2026-04-23T23:55:14.039Z
8701039,902457,7654.4400000000005,2026-04-23T22:01:04.632Z,bid-extra-60359900079,2026-04-23T23:55:14.039Z
8701169,902767,8290.04,2026-04-23T22:01:04.632Z,bid-extra-60359900089,2026-04-23T23:55:14.039Z
8701299,903077,8925.64,2026-04-23T22:01:04.632Z,bid-extra-60359900099,2026-04-23T23:55:14.039Z
8701429,903387,9561.24,2026-04-23T22:01:04.632Z,bid-extra-60359900109,2026-04-23T23:55:14.039Z
8701559,903697,10196.84,2026-04-23T22:01:04.632Z,bid-extra-60359900119,2026-04-23T23:55:14.039Z
8701689,904007,6292.4400000000005,2026-04-23T22:01:04.632Z,bid-extra-60359900129,2026-04-23T23:55:14.039Z
8701819,904317,6928.04,2026-04-23T22:01:04.632Z,bid-extra-60359900139,2026-04-23T23:55:14.039Z
8701949,904627,7563.64,2026-04-23T22:01:04.632Z,bid-extra-60359900149,2026-04-23T23:55:14.039Z
8702079,904937,8199.24,2026-04-23T22:01:04.633Z,bid-extra-60359900159,2026-04-23T23:55:14.039Z
8702209,905247,8834.84,2026-04-23T22:01:04.633Z,bid-extra-60359900169,2026-04-23T23:55:14.039Z
8702339,905557,9470.44,2026-04-23T22:01:04.633Z,bid-extra-60359900179,2026-04-23T23:55:14.039Z
8702469,905867,10106.04,2026-04-23T22:01:04.633Z,bid-extra-60359900189,2026-04-23T23:55:14.039Z
8702599,906177,10741.640000000001,2026-04-23T22:01:04.633Z,bid-extra-60359900199,2026-04-23T23:55:14.039Z
8702729,906487,11377.24,2026-04-23T22:01:04.633Z,bid-extra-60359900209,2026-04-23T23:55:14.039Z
8702859,906797,12012.84,2026-04-23T22:01:04.633Z,bid-extra-60359900219,2026-04-23T23:55:14.039Z
8702989,907107,12648.44,2026-04-23T22:01:04.633Z,bid-extra-60359900229,2026-04-23T23:55:14.039Z
8703119,907417,13284.04,2026-04-23T22:01:04.633Z,bid-extra-60359900239,2026-04-23T23:55:14.039Z
8703249,907727,390.44,2026-04-23T22:01:04.633Z,bid-extra-60359900249,2026-04-23T23:55:14.039Z
8703379,908037,1026.04,2026-04-23T22:01:04.634Z,bid-extra-60359900259,2026-04-23T23:55:14.039Z
8703509,908347,1661.64,2026-04-23T22:01:04.634Z,bid-extra-60359900269,2026-04-23T23:55:14.039Z
8703639,908657,2297.2400000000002,2026-04-23T22:01:04.634Z,bid-extra-60359900279,2026-04-23T23:55:14.039Z
8703769,908967,2932.84,2026-04-23T22:01:04.634Z,bid-extra-60359900289,2026-04-23T23:55:14.039Z
8703899,909277,3568.44,2026-04-23T22:01:04.634Z,bid-extra-60359900299,2026-04-23T23:55:14.039Z
8704029,909587,4204.04,2026-04-23T22:01:04.634Z,bid-extra-60359900309,2026-04-23T23:55:14.039Z
8704159,909897,4839.64,2026-04-23T22:01:04.634Z,bid-extra-60359900319,2026-04-23T23:55:14.039Z
8704289,910207,5475.24,2026-04-23T22:01:04.634Z,bid-extra-60359900329,2026-04-23T23:55:14.039Z
8704419,910517,6110.84,2026-04-23T22:01:04.634Z,bid-extra-60359900339,2026-04-23T23:55:14.039Z
8704549,910827,6746.4400000000005,2026-04-23T22:01:04.634Z,bid-extra-60359900349,2026-04-23T23:55:14.039Z
8704679,911137,7382.04,2026-04-23T22:01:04.635Z,bid-extra-60359900359,2026-04-23T23:55:14.039Z
8704809,911447,3477.6400000000003,2026-04-23T22:01:04.635Z,bid-extra-60359900369,2026-04-23T23:55:14.039Z
8704939,911757,4113.24,2026-04-23T22:01:04.635Z,bid-extra-60359900379,2026-04-23T23:55:14.039Z
8705069,912067,4748.84,2026-04-23T22:01:04.635Z,bid-extra-60359900389,2026-04-23T23:55:14.039Z
