auction,bidder,price,dateTime,extra,processed_time
3700129,900287,8017.64,2026-04-23T22:00:14.631Z,bid-extra-60354900009,2026-04-23T23:55:14.039Z
3700259,900597,8653.24,2026-04-23T22:00:14.631Z,bid-extra-60354900019,2026-04-23T23:55:14.039Z
3700389,900907,9288.84,2026-04-23T22:00:14.631Z,bid-extra-60354900029,2026-04-23T23:55:14.039Z
3700519,901217,9924.44,2026-04-23T22:00:14.631Z,bid-extra-60354900039,2026-04-23T23:55:14.039Z
3700649,901527,10560.04,2026-04-23T22:00:14.631Z,bid-extra-60354900049,2026-04-23T23:55:14.039Z
3700779,901837,11195.640000000001,2026-04-23T22:00:14.632Z,bid-extra-60354900059,2026-04-23T23:55:14.039Z
3700909,902147,2842.04,2026-04-23T22:00:14.632Z,bid-extra-60354900069,2026-04-23T23:55:14.039Z
3701039,902457,3477.6400000000003,2026-04-23T22:00:14.632Z,bid-extra-60354900079,2026-04-23T23:55:14.039Z
3701169,902767,4113.24,2026-04-23T22:00:14.632Z,bid-extra-60354900089,2026-04-23T23:55:14.039Z
3701299,903077,4748.84,2026-04-23T22:00:14.632Z,bid-extra-60354900099,2026-04-23T23:55:14.039Z
3701429,903387,5384.4400000000005,2026-04-23T22:00:14.632Z,bid-extra-60354900109,2026-04-23T23:55:14.039Z
3701559,903697,6020.04,2026-04-23T22:00:14.632Z,bid-extra-60354900119,2026-04-23T23:55:14.039Z
3701689,904007,2115.64,2026-04-23T22:00:14.632Z,bid-extra-60354900129,2026-04-23T23:55:14.039Z
3701819,904317,2751.2400000000002,2026-04-23T22:00:14.632Z,bid-extra-60354900139,2026-04-23T23:55:14.039Z
3701949,904627,3386.84,2026-04-23T22:00:14.632Z,bid-extra-60354900149,2026-04-23T23:55:14.039Z
3702079,904937,4022.44,2026-04-23T22:00:14.633Z,bid-extra-60354900159,2026-04-23T23:55:14.039Z
3702209,905247,4658.04,2026-04-23T22:00:14.633Z,bid-extra-60354900169,2026-04-23T23:55:14.039Z
3702339,905557,5293.64,2026-04-23T22:00:14.633Z,bid-extra-60354900179,2026-04-23T23:55:14.039Z
3702469,905867,5929.24,2026-04-23T22:00:14.633Z,bid-extra-60354900189,2026-04-23T23:55:14.039Z
3702599,906177,6564.84,2026-04-23T22:00:14.633Z,bid-extra-60354900199,2026-04-23T23:55:14.039Z
3702729,906487,7200.4400000000005,2026-04-23T22:00:14.633Z,bid-extra-60354900209,2026-04-23T23:55:14.039Z
3702859,906797,7836.04,2026-04-23T22:00:14.633Z,bid-extra-60354900219,2026-04-23T23:55:14.039Z
3702989,907107,8471.64,2026-04-23T22:00:14.633Z,bid-extra-60354900229,2026-04-23T23:55:14.039Z
3703119,907417,9107.24,2026-04-23T22:00:14.633Z,bid-extra-60354900239,2026-04-23T23:55:14.039Z
3703249,907727,5202.84,2026-04-23T22:00:14.633Z,bid-extra-60354900249,2026-04-23T23:55:14.039Z
3703379,908037,5838.4400000000005,2026-04-23T22:00:14.634Z,bid-extra-60354900259,2026-04-23T23:55:14.039Z
3703509,908347,6474.04,2026-04-23T22:00:14.634Z,bid-extra-60354900269,2026-04-23T23:55:14.039Z
3703639,908657,7109.64,2026-04-23T22:00:14.634Z,bid-extra-60354900279,2026-04-23T23:55:14.039Z
3703769,908967,7745.240000000001,2026-04-23T22:00:14.634Z,bid-extra-60354900289,2026-04-23T23:55:14.039Z
3703899,909277,8380.84,2026-04-23T22:00:14.634Z,bid-extra-60354900299,2026-04-23T23:55:14.039Z
3704029,909587,9016.44,2026-04-23T22:00:14.634Z,bid-extra-60354900309,2026-04-23T23:55:14.039Z
3704159,909897,9652.04,2026-04-23T22:00:14.634Z,bid-extra-60354900319,2026-04-23T23:55:14.039Z
3704289,910207,10287.640000000001,2026-04-23T22:00:14.634Z,bid-extra-60354900329,2026-04-23T23:55:14.039Z
3704419,910517,10923.24,2026-04-23T22:00:14.634Z,bid-extra-60354900339,2026-04-23T23:55:14.039Z
3704549,910827,11558.84,2026-04-23T22:00:14.634Z,bid-extra-60354900349,2026-04-23T23:55:14.039Z
3704679,911137,12194.44,2026-04-23T22:00:14.635Z,bid-extra-60354900359,2026-04-23T23:55:14.039Z
3704809,911447,8290.04,2026-04-23T22:00:14.635Z,bid-extra-60354900369,2026-04-23T23:55:14.039Z
3704939,911757,8925.64,2026-04-23T22:00:14.635Z,bid-extra-60354900379,2026-04-23T23:55:14.039Z
3705069,912067,9561.24,2026-04-23T22:00:14.635Z,bid-extra-60354900389,2026-04-23T23:55:14.039Z
3705199,912377,10196.84,2026-04-23T22:00:14.635Z,bid-extra-60354900399,2026-04-23T23:55:14.039Z
3705329,912687,1843.24,2026-04-23T22:00:14.635Z,bid-extra-60354900409,2026-04-23T23:55:14.039Z
3705459,912997,2478.84,2026-04-23T22:00:14.635Z,bid-extra-60354900419,2026-04-23T23:55:14.039Z
3705589,913307,3114.44,2026-04-23T22:00:14.635Z,bid-extra-60354900429,2026-04-23T23:55:14.039Z
3705719,913617,3750.04,2026-04-23T22:00:14.635Z,bid-extra-60354900439,2026-04-23T23:55:14.039Z
3705849,913927,4385.64,2026-04-23T22:00:14.635Z,bid-extra-60354900449,2026-04-23T23:55:14.039Z
3705979,914237,5021.24,2026-04-23T22:00:14.636Z,bid-extra-60354900459,2026-04-23T23:55:14.039Z
3706109,914547,5656.84,2026-04-23T22:00:14.636Z,bid-extra-60354900469,2026-04-23T23:55:14.039Z
3706239,914857,6292.4400000000005,2026-04-23T22:00:14.636Z,bid-extra-60354900479,2026-04-23T23:55:14.039Z
3706369,915167,2388.04,2026-04-23T22:00:14.636Z,bid-extra-60354900489,2026-04-23T23:55:14.039Z
3706499,915477,3023.64,2026-04-23T22:00:14.636Z,bid-extra-60354900499,2026-04-23T23:55:14.039Z
3706629,915787,3659.2400000000002,2026-04-23T22:00:14.636Z,bid-extra-60354900509,2026-04-23T23:55:14.039Z
3706759,916097,4294.84,2026-04-23T22:00:14.636Z,bid-extra-60354900519,2026-04-23T23:55:14.039Z
3706889,916407,4930.4400000000005,2026-04-23T22:00:14.636Z,bid-extra-60354900529,2026-04-23T23:55:14.039Z
3707019,916717,5566.04,2026-04-23T22:00:14.636Z,bid-extra-60354900539,2026-04-23T23:55:14.039Z
3707149,917027,6201.64,2026-04-23T22:00:14.636Z,bid-extra-60354900549,2026-04-23T23:55:14.039Z
3707279,917337,6837.24,2026-04-23T22:00:14.637Z,bid-extra-60354900559,2026-04-23T23:55:14.039Z
3707409,917647,7472.84,2026-04-23T22:00:14.637Z,bid-extra-60354900569,2026-04-23T23:55:14.039Z
3707539,917957,8108.4400000000005,2026-04-23T22:00:14.637Z,bid-extra-60354900579,2026-04-23T23:55:14.039Z
3707669,918267,8744.04,2026-04-23T22:00:14.637Z,bid-extra-60354900589,2026-04-23T23:55:14.039Z
3707799,918577,9379.64,2026-04-23T22:00:14.637Z,bid-extra-60354900599,2026-04-23T23:55:14.039Z
3707929,918887,10015.24,2026-04-23T22:00:14.637Z,bid-extra-60354900609,2026-04-23T23:55:14.039Z
3708059,919197,6110.84,2026-04-23T22:00:14.637Z,bid-extra-60354900619,2026-04-23T23:55:14.039Z
3708189,919507,6746.4400000000005,2026-04-23T22:00:14.637Z,bid-extra-60354900629,2026-04-23T23:55:14.039Z
3708319,919817,7382.04,2026-04-23T22:00:14.637Z,bid-extra-60354900639,2026-04-23T23:55:14.039Z
3708449,920127,8017.64,2026-04-23T22:00:14.637Z,bid-extra-60354900649,2026-04-23T23:55:14.039Z
3708579,920437,8653.24,2026-04-23T22:00:14.638Z,bid-extra-60354900659,2026-04-23T23:55:14.039Z
3708709,920747,9288.84,2026-04-23T22:00:14.638Z,bid-extra-60354900669,2026-04-23T23:55:14.039Z
3708839,921057,9924.44,2026-04-23T22:00:14.638Z,bid-extra-60354900679,2026-04-23T23:55:14.039Z
3708969,921367,10560.04,2026-04-23T22:00:14.638Z,bid-extra-60354900689,2026-04-23T23:55:14.039Z
3709099,921677,11195.640000000001,2026-04-23T22:00:14.638Z,bid-extra-60354900699,2026-04-23T23:55:14.039Z
3709229,921987,11831.24,2026-04-23T22:00:14.638Z,bid-extra-60354900709,2026-04-23T23:55:14.039Z
3709359,922297,12466.84,2026-04-23T22:00:14.638Z,bid-extra-60354900719,2026-04-23T23:55:14.039Z
3709489,922607,13102.44,2026-04-23T22:00:14.638Z,bid-extra-60354900729,2026-04-23T23:55:14.039Z
3709619,922917,9198.04,2026-04-23T22:00:14.638Z,bid-extra-60354900739,2026-04-23T23:55:14.039Z
3709749,923227,844.44,2026-04-23T22:00:14.638Z,bid-extra-60354900749,2026-04-23T23:55:14.039Z
3709879,923537,1480.04,2026-04-23T22:00:14.639Z,bid-extra-60354900759,2026-04-23T23:55:14.039Z
3710009,923847,2115.64,2026-04-23T22:00:14.639Z,bid-extra-60354900769,2026-04-23T23:55:14.039Z
3710139,924157,2751.2400000000002,2026-04-23T22:00:14.639Z,bid-extra-60354900779,2026-04-23T23:55:14.039Z
3710269,924467,3386.84,2026-04-23T22:00:14.639Z,bid-extra-60354900789,2026-04-23T23:55:14.039Z
3710399,924777,4022.44,2026-04-23T22:00:14.639Z,bid-extra-60354900799,2026-04-23T23:55:14.039Z
3710529,925087,4658.04,2026-04-23T22:00:14.639Z,bid-extra-60354900809,2026-04-23T23:55:14.039Z
3710659,925397,5293.64,2026-04-23T22:00:14.639Z,bid-extra-60354900819,2026-04-23T23:55:14.039Z
3710789,925707,5929.24,2026-04-23T22:00:14.639Z,bid-extra-60354900829,2026-04-23T23:55:14.039Z
3710919,926017,6564.84,2026-04-23T22:00:14.639Z,bid-extra-60354900839,2026-04-23T23:55:14.039Z
3711049,926327,7200.4400000000005,2026-04-23T22:00:14.639Z,bid-extra-60354900849,2026-04-23T23:55:14.039Z
3711179,926637,3296.04,2026-04-23T22:00:14.640Z,bid-extra-60354900859,2026-04-23T23:55:14.039Z
3711309,926947,3931.6400000000003,2026-04-23T22:00:14.640Z,bid-extra-60354900869,2026-04-23T23:55:14.039Z
3711439,927257,4567.24,2026-04-23T22:00:14.640Z,bid-extra-60354900879,2026-04-23T23:55:14.039Z
3711569,927567,5202.84,2026-04-23T22:00:14.640Z,bid-extra-60354900889,2026-04-23T23:55:14.039Z
3711699,927877,5838.4400000000005,2026-04-23T22:00:14.640Z,bid-extra-60354900899,2026-04-23T23:55:14.039Z
3711829,928187,6474.04,2026-04-23T22:00:14.640Z,bid-extra-60354900909,2026-04-23T23:55:14.039Z
3711959,928497,7109.64,2026-04-23T22:00:14.640Z,bid-extra-60354900919,2026-04-23T23:55:14.039Z
3712089,928807,7745.240000000001,2026-04-23T22:00:14.640Z,bid-extra-60354900929,2026-04-23T23:55:14.039Z
3712219,929117,8380.84,2026-04-23T22:00:14.640Z,bid-extra-60354900939,2026-04-23T23:55:14.039Z
3712349,929427,9016.44,2026-04-23T22:00:14.640Z,bid-extra-60354900949,2026-04-23T23:55:14.039Z
3712479,929737,9652.04,2026-04-23T22:00:14.641Z,bid-extra-60354900959,2026-04-23T23:55:14.039Z
3712609,930047,10287.640000000001,2026-04-23T22:00:14.641Z,bid-extra-60354900969,2026-04-23T23:55:14.039Z
3712739,930357,6383.24,2026-04-23T22:00:14.641Z,bid-extra-60354900979,2026-04-23T23:55:14.039Z
3712869,930667,7018.84,2026-04-23T22:00:14.641Z,bid-extra-60354900989,2026-04-23T23:55:14.039Z
3712999,930977,7654.4400000000005,2026-04-23T22:00:14.641Z,bid-extra-60354900999,2026-04-23T23:55:14.039Z
3713129,931287,8290.04,2026-04-23T22:00:14.641Z,bid-extra-60354901009,2026-04-23T23:55:14.039Z
3713259,931597,8925.64,2026-04-23T22:00:14.641Z,bid-extra-60354901019,2026-04-23T23:55:14.039Z
3713389,931907,9561.24,2026-04-23T22:00:14.641Z,bid-extra-60354901029,2026-04-23T23:55:14.039Z
3713519,932217,10196.84,2026-04-23T22:00:14.641Z,bid-extra-60354901039,2026-04-23T23:55:14.039Z
3713649,932527,10832.44,2026-04-23T22:00:14.641Z,bid-extra-60354901049,2026-04-23T23:55:14.039Z
3713779,932837,11468.04,2026-04-23T22:00:14.642Z,bid-extra-60354901059,2026-04-23T23:55:14.039Z
3713909,933147,12103.640000000001,2026-04-23T22:00:14.642Z,bid-extra-60354901069,2026-04-23T23:55:14.039Z
3714039,933457,12739.24,2026-04-23T22:00:14.642Z,bid-extra-60354901079,2026-04-23T23:55:14.039Z
3714169,933767,4385.64,2026-04-23T22:00:14.642Z,bid-extra-60354901089,2026-04-23T23:55:14.039Z
3714299,934077,481.24,2026-04-23T22:00:14.642Z,bid-extra-60354901099,2026-04-23T23:55:14.039Z
3714429,934387,1116.8400000000001,2026-04-23T22:00:14.642Z,bid-extra-60354901109,2026-04-23T23:55:14.039Z
3714559,934697,1752.44,2026-04-23T22:00:14.642Z,bid-extra-60354901119,2026-04-23T23:55:14.039Z
3714689,935007,2388.04,2026-04-23T22:00:14.642Z,bid-extra-60354901129,2026-04-23T23:55:14.039Z
3714819,935317,3023.64,2026-04-23T22:00:14.642Z,bid-extra-60354901139,2026-04-23T23:55:14.039Z
3714949,935627,3659.2400000000002,2026-04-23T22:00:14.642Z,bid-extra-60354901149,2026-04-23T23:55:14.039Z
3715079,935937,4294.84,2026-04-23T22:00:14.643Z,bid-extra-60354901159,2026-04-23T23:55:14.039Z
3715209,936247,4930.4400000000005,2026-04-23T22:00:14.643Z,bid-extra-60354901169,2026-04-23T23:55:14.039Z
3715339,936557,5566.04,2026-04-23T22:00:14.643Z,bid-extra-60354901179,2026-04-23T23:55:14.039Z
3715469,936867,6201.64,2026-04-23T22:00:14.643Z,bid-extra-60354901189,2026-04-23T23:55:14.039Z
3715599,937177,6837.24,2026-04-23T22:00:14.643Z,bid-extra-60354901199,2026-04-23T23:55:14.039Z
3715729,937487,7472.84,2026-04-23T22:00:14.643Z,bid-extra-60354901209,2026-04-23T23:55:14.039Z
3715859,937797,8108.4400000000005,2026-04-23T22:00:14.643Z,bid-extra-60354901219,2026-04-23T23:55:14.039Z
3715989,938107,4204.04,2026-04-23T22:00:14.643Z,bid-extra-60354901229,2026-04-23T23:55:14.039Z
3716119,938417,4839.64,2026-04-23T22:00:14.643Z,bid-extra-60354901239,2026-04-23T23:55:14.039Z
3716249,938727,5475.24,2026-04-23T22:00:14.643Z,bid-extra-60354901249,2026-04-23T23:55:14.039Z
3716379,939037,6110.84,2026-04-23T22:00:14.644Z,bid-extra-60354901259,2026-04-23T23:55:14.039Z
3716509,939347,6746.4400000000005,2026-04-23T22:00:14.644Z,bid-extra-60354901269,2026-04-23T23:55:14.039Z
3716639,939657,7382.04,2026-04-23T22:00:14.644Z,bid-extra-60354901279,2026-04-23T23:55:14.039Z
3716769,939967,8017.64,2026-04-23T22:00:14.644Z,bid-extra-60354901289,2026-04-23T23:55:14.039Z
3716899,940277,8653.24,2026-04-23T22:00:14.644Z,bid-extra-60354901299,2026-04-23T23:55:14.039Z
3717029,940587,9288.84,2026-04-23T22:00:14.644Z,bid-extra-60354901309,2026-04-23T23:55:14.039Z
3717159,940897,9924.44,2026-04-23T22:00:14.644Z,bid-extra-60354901319,2026-04-23T23:55:14.039Z
3717289,941207,10560.04,2026-04-23T22:00:14.644Z,bid-extra-60354901329,2026-04-23T23:55:14.039Z
3717419,941517,11195.640000000001,2026-04-23T22:00:14.644Z,bid-extra-60354901339,2026-04-23T23:55:14.039Z
3717549,941827,7291.24,2026-04-23T22:00:14.644Z,bid-extra-60354901349,2026-04-23T23:55:14.039Z
3717679,942137,7926.84,2026-04-23T22:00:14.645Z,bid-extra-60354901359,2026-04-23T23:55:14.039Z
3717809,942447,8562.44,2026-04-23T22:00:14.645Z,bid-extra-60354901369,2026-04-23T23:55:14.039Z
3717939,942757,9198.04,2026-04-23T22:00:14.645Z,bid-extra-60354901379,2026-04-23T23:55:14.039Z
3718069,943067,9833.64,2026-04-23T22:00:14.645Z,bid-extra-60354901389,2026-04-23T23:55:14.039Z
3718199,943377,10469.24,2026-04-23T22:00:14.645Z,bid-extra-60354901399,2026-04-23T23:55:14.039Z
3718329,943687,11104.84,2026-04-23T22:00:14.645Z,bid-extra-60354901409,2026-04-23T23:55:14.039Z
3718459,943997,11740.44,2026-04-23T22:00:14.645Z,bid-extra-60354901419,2026-04-23T23:55:14.039Z
3718589,944307,3386.84,2026-04-23T22:00:14.645Z,bid-extra-60354901429,2026-04-23T23:55:14.039Z
3718719,944617,4022.44,2026-04-23T22:00:14.645Z,bid-extra-60354901439,2026-04-23T23:55:14.039Z
3718849,944927,4658.04,2026-04-23T22:00:14.645Z,bid-extra-60354901449,2026-04-23T23:55:14.039Z
3718979,945237,5293.64,2026-04-23T22:00:14.646Z,bid-extra-60354901459,2026-04-23T23:55:14.039Z
3719109,945547,1389.24,2026-04-23T22:00:14.646Z,bid-extra-60354901469,2026-04-23T23:55:14.039Z
3719239,945857,2024.8400000000001,2026-04-23T22:00:14.646Z,bid-extra-60354901479,2026-04-23T23:55:14.039Z
3719369,946167,2660.44,2026-04-23T22:00:14.646Z,bid-extra-60354901489,2026-04-23T23:55:14.039Z
3719499,946477,3296.04,2026-04-23T22:00:14.646Z,bid-extra-60354901499,2026-04-23T23:55:14.039Z
3719629,946787,3931.6400000000003,2026-04-23T22:00:14.646Z,bid-extra-60354901509,2026-04-23T23:55:14.039Z
3719759,947097,4567.24,2026-04-23T22:00:14.646Z,bid-extra-60354901519,2026-04-23T23:55:14.039Z
3719889,947407,5202.84,2026-04-23T22:00:14.646Z,bid-extra-60354901529,2026-04-23T23:55:14.039Z
3720019,947717,5838.4400000000005,2026-04-23T22:00:14.646Z,bid-extra-60354901539,2026-04-23T23:55:14.039Z
3720149,948027,6474.04,2026-04-23T22:00:14.646Z,bid-extra-60354901549,2026-04-23T23:55:14.039Z
3720279,948337,7109.64,2026-04-23T22:00:14.647Z,bid-extra-60354901559,2026-04-23T23:55:14.039Z
3720409,948647,7745.240000000001,2026-04-23T22:00:14.647Z,bid-extra-60354901569,2026-04-23T23:55:14.039Z
3720539,948957,8380.84,2026-04-23T22:00:14.647Z,bid-extra-60354901579,2026-04-23T23:55:14.039Z
3720669,949267,4476.4400000000005,2026-04-23T22:00:14.647Z,bid-extra-60354901589,2026-04-23T23:55:14.039Z
3720799,949577,5112.04,2026-04-23T22:00:14.647Z,bid-extra-60354901599,2026-04-23T23:55:14.039Z
3720929,949887,5747.64,2026-04-23T22:00:14.647Z,bid-extra-60354901609,2026-04-23T23:55:14.039Z
3721059,950197,6383.24,2026-04-23T22:00:14.647Z,bid-extra-60354901619,2026-04-23T23:55:14.039Z
3721189,950507,7018.84,2026-04-23T22:00:14.647Z,bid-extra-60354901629,2026-04-23T23:55:14.039Z
3721319,950817,7654.4400000000005,2026-04-23T22:00:14.647Z,bid-extra-60354901639,2026-04-23T23:55:14.039Z
3721449,951127,8290.04,2026-04-23T22:00:14.647Z,bid-extra-60354901649,2026-04-23T23:55:14.039Z
3721579,951437,8925.64,2026-04-23T22:00:14.648Z,bid-extra-60354901659,2026-04-23T23:55:14.039Z
3721709,951747,9561.24,2026-04-23T22:00:14.648Z,bid-extra-60354901669,2026-04-23T23:55:14.039Z
3721839,952057,10196.84,2026-04-23T22:00:14.648Z,bid-extra-60354901679,2026-04-23T23:55:14.039Z
3721969,952367,10832.44,2026-04-23T22:00:14.648Z,bid-extra-60354901689,2026-04-23T23:55:14.039Z
3722099,952677,11468.04,2026-04-23T22:00:14.648Z,bid-extra-60354901699,2026-04-23T23:55:14.039Z
3722229,952987,7563.64,2026-04-23T22:00:14.648Z,bid-extra-60354901709,2026-04-23T23:55:14.039Z
3722359,953297,8199.24,2026-04-23T22:00:14.648Z,bid-extra-60354901719,2026-04-23T23:55:14.039Z
3722489,953607,8834.84,2026-04-23T22:00:14.648Z,bid-extra-60354901729,2026-04-23T23:55:14.039Z
3722619,953917,9470.44,2026-04-23T22:00:14.648Z,bid-extra-60354901739,2026-04-23T23:55:14.039Z
3722749,954227,10106.04,2026-04-23T22:00:14.648Z,bid-extra-60354901749,2026-04-23T23:55:14.039Z
3722879,954537,10741.640000000001,2026-04-23T22:00:14.649Z,bid-extra-60354901759,2026-04-23T23:55:14.039Z
3723009,954847,2388.04,2026-04-23T22:00:14.649Z,bid-extra-60354901769,2026-04-23T23:55:14.039Z
3723139,955157,3023.64,2026-04-23T22:00:14.649Z,bid-extra-60354901779,2026-04-23T23:55:14.039Z
3723269,955467,3659.2400000000002,2026-04-23T22:00:14.649Z,bid-extra-60354901789,2026-04-23T23:55:14.039Z
3723399,955777,4294.84,2026-04-23T22:00:14.649Z,bid-extra-60354901799,2026-04-23T23:55:14.039Z
3723529,956087,4930.4400000000005,2026-04-23T22:00:14.649Z,bid-extra-60354901809,2026-04-23T23:55:14.039Z
3723659,956397,5566.04,2026-04-23T22:00:14.649Z,bid-extra-60354901819,2026-04-23T23:55:14.039Z
3723789,956707,6201.64,2026-04-23T22:00:14.649Z,bid-extra-60354901829,2026-04-23T23:55:14.039Z
3723919,957017,2297.2400000000002,2026-04-23T22:00:14.649Z,bid-extra-60354901839,2026-04-23T23:55:14.039Z
3724049,957327,2932.84,2026-04-23T22:00:14.649Z,bid-extra-60354901849,2026-04-23T23:55:14.039Z
3724179,957637,3568.44,2026-04-23T22:00:14.650Z,bid-extra-60354901859,2026-04-23T23:55:14.039Z
3724309,957947,4204.04,2026-04-23T22:00:14.650Z,bid-extra-60354901869,2026-04-23T23:55:14.039Z
3724439,958257,4839.64,2026-04-23T22:00:14.650Z,bid-extra-60354901879,2026-04-23T23:55:14.039Z
3724569,958567,5475.24,2026-04-23T22:00:14.650Z,bid-extra-60354901889,2026-04-23T23:55:14.039Z
3724699,958877,6110.84,2026-04-23T22:00:14.650Z,bid-extra-60354901899,2026-04-23T23:55:14.039Z
3724829,959187,6746.4400000000005,2026-04-23T22:00:14.650Z,bid-extra-60354901909,2026-04-23T23:55:14.039Z
3724959,959497,7382.04,2026-04-23T22:00:14.650Z,bid-extra-60354901919,2026-04-23T23:55:14.039Z
3725089,959807,8017.64,2026-04-23T22:00:14.650Z,bid-extra-60354901929,2026-04-23T23:55:14.039Z
3725219,960117,8653.24,2026-04-23T22:00:14.650Z,bid-extra-60354901939,2026-04-23T23:55:14.039Z
