auction,bidder,price,dateTime,extra,processed_time
5700129,900287,572.04,2026-04-23T22:00:54.631Z,bid-extra-60358900009,2026-04-23T23:55:14.039Z
5700259,900597,1207.64,2026-04-23T22:00:54.631Z,bid-extra-60358900019,2026-04-23T23:55:14.039Z
5700389,900907,1843.24,2026-04-23T22:00:54.631Z,bid-extra-60358900029,2026-04-23T23:55:14.039Z
5700519,901217,2478.84,2026-04-23T22:00:54.631Z,bid-extra-60358900039,2026-04-23T23:55:14.039Z
5700649,901527,3114.44,2026-04-23T22:00:54.631Z,bid-extra-60358900049,2026-04-23T23:55:14.039Z
5700779,901837,3750.04,2026-04-23T22:00:54.632Z,bid-extra-60358900059,2026-04-23T23:55:14.039Z
5700909,902147,4385.64,2026-04-23T22:00:54.632Z,bid-extra-60358900069,2026-04-23T23:55:14.039Z
5701039,902457,5021.24,2026-04-23T22:00:54.632Z,bid-extra-60358900079,2026-04-23T23:55:14.039Z
5701169,902767,5656.84,2026-04-23T22:00:54.632Z,bid-extra-60358900089,2026-04-23T23:55:14.039Z
5701299,903077,6292.4400000000005,2026-04-23T22:00:54.632Z,bid-extra-60358900099,2026-04-23T23:55:14.039Z
5701429,903387,6928.04,2026-04-23T22:00:54.632Z,bid-extra-60358900109,2026-04-23T23:55:14.039Z
5701559,903697,7563.64,2026-04-23T22:00:54.632Z,bid-extra-60358900119,2026-04-23T23:55:14.039Z
5701689,904007,3659.2400000000002,2026-04-23T22:00:54.632Z,bid-extra-60358900129,2026-04-23T23:55:14.039Z
5701819,904317,4294.84,2026-04-23T22:00:54.632Z,bid-extra-60358900139,2026-04-23T23:55:14.039Z
5701949,904627,4930.4400000000005,2026-04-23T22:00:54.632Z,bid-extra-60358900149,2026-04-23T23:55:14.039Z
5702079,904937,5566.04,2026-04-23T22:00:54.633Z,bid-extra-60358900159,2026-04-23T23:55:14.039Z
5702209,905247,6201.64,2026-04-23T22:00:54.633Z,bid-extra-60358900169,2026-04-23T23:55:14.039Z
5702339,905557,6837.24,2026-04-23T22:00:54.633Z,bid-extra-60358900179,2026-04-23T23:55:14.039Z
