auction,bidder,price,dateTime,extra,processed_time
4700129,900287,8471.64,2026-04-23T22:01:24.631Z,bid-extra-60361900009,2026-04-23T23:55:14.039Z
4700259,900597,9107.24,2026-04-23T22:01:24.631Z,bid-extra-60361900019,2026-04-23T23:55:14.039Z
4700389,900907,9742.84,2026-04-23T22:01:24.631Z,bid-extra-60361900029,2026-04-23T23:55:14.039Z
4700519,901217,10378.44,2026-04-23T22:01:24.631Z,bid-extra-60361900039,2026-04-23T23:55:14.039Z
4700649,901527,2024.8400000000001,2026-04-23T22:01:24.631Z,bid-extra-60361900049,2026-04-23T23:55:14.039Z
4700779,901837,2660.44,2026-04-23T22:01:24.632Z,bid-extra-60361900059,2026-04-23T23:55:14.039Z
4700909,902147,3296.04,2026-04-23T22:01:24.632Z,bid-extra-60361900069,2026-04-23T23:55:14.039Z
4701039,902457,3931.6400000000003,2026-04-23T22:01:24.632Z,bid-extra-60361900079,2026-04-23T23:55:14.039Z
4701169,902767,4567.24,2026-04-23T22:01:24.632Z,bid-extra-60361900089,2026-04-23T23:55:14.039Z
4701299,903077,5202.84,2026-04-23T22:01:24.632Z,bid-extra-60361900099,2026-04-23T23:55:14.039Z
4701429,903387,5838.4400000000005,2026-04-23T22:01:24.632Z,bid-extra-60361900109,2026-04-23T23:55:14.039Z
4701559,903697,6474.04,2026-04-23T22:01:24.632Z,bid-extra-60361900119,2026-04-23T23:55:14.039Z
4701689,904007,2569.64,2026-04-23T22:01:24.632Z,bid-extra-60361900129,2026-04-23T23:55:14.039Z
4701819,904317,3205.2400000000002,2026-04-23T22:01:24.632Z,bid-extra-60361900139,2026-04-23T23:55:14.039Z
4701949,904627,3840.84,2026-04-23T22:01:24.632Z,bid-extra-60361900149,2026-04-23T23:55:14.039Z
4702079,904937,4476.4400000000005,2026-04-23T22:01:24.633Z,bid-extra-60361900159,2026-04-23T23:55:14.039Z
4702209,905247,5112.04,2026-04-23T22:01:24.633Z,bid-extra-60361900169,2026-04-23T23:55:14.039Z
4702339,905557,5747.64,2026-04-23T22:01:24.633Z,bid-extra-60361900179,2026-04-23T23:55:14.039Z
4702469,905867,6383.24,2026-04-23T22:01:24.633Z,bid-extra-60361900189,2026-04-23T23:55:14.039Z
4702599,906177,7018.84,2026-04-23T22:01:24.633Z,bid-extra-60361900199,2026-04-23T23:55:14.039Z
4702729,906487,7654.4400000000005,2026-04-23T22:01:24.633Z,bid-extra-60361900209,2026-04-23T23:55:14.039Z
4702859,906797,8290.04,2026-04-23T22:01:24.633Z,bid-extra-60361900219,2026-04-23T23:55:14.039Z
4702989,907107,8925.64,2026-04-23T22:01:24.633Z,bid-extra-60361900229,2026-04-23T23:55:14.039Z
