auction,bidder,price,dateTime,extra,processed_time
3700129,900287,7382.04,2026-04-23T22:01:54.631Z,bid-extra-60364900009,2026-04-23T23:55:14.039Z
3700259,900597,8017.64,2026-04-23T22:01:54.631Z,bid-extra-60364900019,2026-04-23T23:55:14.039Z
3700389,900907,8653.24,2026-04-23T22:01:54.631Z,bid-extra-60364900029,2026-04-23T23:55:14.039Z
3700519,901217,9288.84,2026-04-23T22:01:54.631Z,bid-extra-60364900039,2026-04-23T23:55:14.039Z
3700649,901527,9924.44,2026-04-23T22:01:54.631Z,bid-extra-60364900049,2026-04-23T23:55:14.039Z
3700779,901837,10560.04,2026-04-23T22:01:54.632Z,bid-extra-60364900059,2026-04-23T23:55:14.039Z
3700909,902147,11195.640000000001,2026-04-23T22:01:54.632Z,bid-extra-60364900069,2026-04-23T23:55:14.039Z
3701039,902457,11831.24,2026-04-23T22:01:54.632Z,bid-extra-60364900079,2026-04-23T23:55:14.039Z
3701169,902767,3477.6400000000003,2026-04-23T22:01:54.632Z,bid-extra-60364900089,2026-04-23T23:55:14.039Z
3701299,903077,4113.24,2026-04-23T22:01:54.632Z,bid-extra-60364900099,2026-04-23T23:55:14.039Z
3701429,903387,4748.84,2026-04-23T22:01:54.632Z,bid-extra-60364900109,2026-04-23T23:55:14.039Z
3701559,903697,5384.4400000000005,2026-04-23T22:01:54.632Z,bid-extra-60364900119,2026-04-23T23:55:14.039Z
3701689,904007,1480.04,2026-04-23T22:01:54.632Z,bid-extra-60364900129,2026-04-23T23:55:14.039Z
3701819,904317,2115.64,2026-04-23T22:01:54.632Z,bid-extra-60364900139,2026-04-23T23:55:14.039Z
3701949,904627,2751.2400000000002,2026-04-23T22:01:54.632Z,bid-extra-60364900149,2026-04-23T23:55:14.039Z
3702079,904937,3386.84,2026-04-23T22:01:54.633Z,bid-extra-60364900159,2026-04-23T23:55:14.039Z
3702209,905247,4022.44,2026-04-23T22:01:54.633Z,bid-extra-60364900169,2026-04-23T23:55:14.039Z
3702339,905557,4658.04,2026-04-23T22:01:54.633Z,bid-extra-60364900179,2026-04-23T23:55:14.039Z
3702469,905867,5293.64,2026-04-23T22:01:54.633Z,bid-extra-60364900189,2026-04-23T23:55:14.039Z
3702599,906177,5929.24,2026-04-23T22:01:54.633Z,bid-extra-60364900199,2026-04-23T23:55:14.039Z
3702729,906487,6564.84,2026-04-23T22:01:54.633Z,bid-extra-60364900209,2026-04-23T23:55:14.039Z
3702859,906797,7200.4400000000005,2026-04-23T22:01:54.633Z,bid-extra-60364900219,2026-04-23T23:55:14.039Z
3702989,907107,7836.04,2026-04-23T22:01:54.633Z,bid-extra-60364900229,2026-04-23T23:55:14.039Z
3703119,907417,8471.64,2026-04-23T22:01:54.633Z,bid-extra-60364900239,2026-04-23T23:55:14.039Z
3703249,907727,4567.24,2026-04-23T22:01:54.633Z,bid-extra-60364900249,2026-04-23T23:55:14.039Z
3703379,908037,5202.84,2026-04-23T22:01:54.634Z,bid-extra-60364900259,2026-04-23T23:55:14.039Z
3703509,908347,5838.4400000000005,2026-04-23T22:01:54.634Z,bid-extra-60364900269,2026-04-23T23:55:14.039Z
3703639,908657,6474.04,2026-04-23T22:01:54.634Z,bid-extra-60364900279,2026-04-23T23:55:14.039Z
3703769,908967,7109.64,2026-04-23T22:01:54.634Z,bid-extra-60364900289,2026-04-23T23:55:14.039Z
3703899,909277,7745.240000000001,2026-04-23T22:01:54.634Z,bid-extra-60364900299,2026-04-23T23:55:14.039Z
3704029,909587,8380.84,2026-04-23T22:01:54.634Z,bid-extra-60364900309,2026-04-23T23:55:14.039Z
3704159,909897,9016.44,2026-04-23T22:01:54.634Z,bid-extra-60364900319,2026-04-23T23:55:14.039Z
3704289,910207,9652.04,2026-04-23T22:01:54.634Z,bid-extra-60364900329,2026-04-23T23:55:14.039Z
3704419,910517,10287.640000000001,2026-04-23T22:01:54.634Z,bid-extra-60364900339,2026-04-23T23:55:14.039Z
3704549,910827,10923.24,2026-04-23T22:01:54.634Z,bid-extra-60364900349,2026-04-23T23:55:14.039Z
3704679,911137,11558.84,2026-04-23T22:01:54.635Z,bid-extra-60364900359,2026-04-23T23:55:14.039Z
3704809,911447,7654.4400000000005,2026-04-23T22:01:54.635Z,bid-extra-60364900369,2026-04-23T23:55:14.039Z
3704939,911757,8290.04,2026-04-23T22:01:54.635Z,bid-extra-60364900379,2026-04-23T23:55:14.039Z
3705069,912067,8925.64,2026-04-23T22:01:54.635Z,bid-extra-60364900389,2026-04-23T23:55:14.039Z
3705199,912377,9561.24,2026-04-23T22:01:54.635Z,bid-extra-60364900399,2026-04-23T23:55:14.039Z
3705329,912687,10196.84,2026-04-23T22:01:54.635Z,bid-extra-60364900409,2026-04-23T23:55:14.039Z
3705459,912997,10832.44,2026-04-23T22:01:54.635Z,bid-extra-60364900419,2026-04-23T23:55:14.039Z
3705589,913307,2478.84,2026-04-23T22:01:54.635Z,bid-extra-60364900429,2026-04-23T23:55:14.039Z
3705719,913617,3114.44,2026-04-23T22:01:54.635Z,bid-extra-60364900439,2026-04-23T23:55:14.039Z
3705849,913927,3750.04,2026-04-23T22:01:54.635Z,bid-extra-60364900449,2026-04-23T23:55:14.039Z
3705979,914237,4385.64,2026-04-23T22:01:54.636Z,bid-extra-60364900459,2026-04-23T23:55:14.039Z
3706109,914547,5021.24,2026-04-23T22:01:54.636Z,bid-extra-60364900469,2026-04-23T23:55:14.039Z
3706239,914857,5656.84,2026-04-23T22:01:54.636Z,bid-extra-60364900479,2026-04-23T23:55:14.039Z
3706369,915167,1752.44,2026-04-23T22:01:54.636Z,bid-extra-60364900489,2026-04-23T23:55:14.039Z
3706499,915477,2388.04,2026-04-23T22:01:54.636Z,bid-extra-60364900499,2026-04-23T23:55:14.039Z
3706629,915787,3023.64,2026-04-23T22:01:54.636Z,bid-extra-60364900509,2026-04-23T23:55:14.039Z
