auction,bidder,price,dateTime,extra,processed_time
700129,900287,5384.4400000000005,2026-04-23T22:00:04.631Z,bid-extra-60353900009,2026-04-23T23:55:14.039Z
700259,900597,6020.04,2026-04-23T22:00:04.631Z,bid-extra-60353900019,2026-04-23T23:55:14.039Z
700389,900907,6655.64,2026-04-23T22:00:04.631Z,bid-extra-60353900029,2026-04-23T23:55:14.039Z
700519,901217,7291.24,2026-04-23T22:00:04.631Z,bid-extra-60353900039,2026-04-23T23:55:14.039Z
700649,901527,7926.84,2026-04-23T22:00:04.631Z,bid-extra-60353900049,2026-04-23T23:55:14.039Z
700779,901837,8562.44,2026-04-23T22:00:04.632Z,bid-extra-60353900059,2026-04-23T23:55:14.039Z
700909,902147,9198.04,2026-04-23T22:00:04.632Z,bid-extra-60353900069,2026-04-23T23:55:14.039Z
701039,902457,9833.64,2026-04-23T22:00:04.632Z,bid-extra-60353900079,2026-04-23T23:55:14.039Z
701169,902767,10469.24,2026-04-23T22:00:04.632Z,bid-extra-60353900089,2026-04-23T23:55:14.039Z
701299,903077,11104.84,2026-04-23T22:00:04.632Z,bid-extra-60353900099,2026-04-23T23:55:14.039Z
701429,903387,11740.44,2026-04-23T22:00:04.632Z,bid-extra-60353900109,2026-04-23T23:55:14.039Z
701559,903697,12376.04,2026-04-23T22:00:04.632Z,bid-extra-60353900119,2026-04-23T23:55:14.039Z
701689,904007,8471.64,2026-04-23T22:00:04.632Z,bid-extra-60353900129,2026-04-23T23:55:14.039Z
701819,904317,9107.24,2026-04-23T22:00:04.632Z,bid-extra-60353900139,2026-04-23T23:55:14.039Z
701949,904627,9742.84,2026-04-23T22:00:04.632Z,bid-extra-60353900149,2026-04-23T23:55:14.039Z
702079,904937,10378.44,2026-04-23T22:00:04.633Z,bid-extra-60353900159,2026-04-23T23:55:14.039Z
702209,905247,2024.8400000000001,2026-04-23T22:00:04.633Z,bid-extra-60353900169,2026-04-23T23:55:14.039Z
702339,905557,2660.44,2026-04-23T22:00:04.633Z,bid-extra-60353900179,2026-04-23T23:55:14.039Z
702469,905867,3296.04,2026-04-23T22:00:04.633Z,bid-extra-60353900189,2026-04-23T23:55:14.039Z
702599,906177,3931.6400000000003,2026-04-23T22:00:04.633Z,bid-extra-60353900199,2026-04-23T23:55:14.039Z
702729,906487,4567.24,2026-04-23T22:00:04.633Z,bid-extra-60353900209,2026-04-23T23:55:14.039Z
702859,906797,5202.84,2026-04-23T22:00:04.633Z,bid-extra-60353900219,2026-04-23T23:55:14.039Z
702989,907107,5838.4400000000005,2026-04-23T22:00:04.633Z,bid-extra-60353900229,2026-04-23T23:55:14.039Z
703119,907417,6474.04,2026-04-23T22:00:04.633Z,bid-extra-60353900239,2026-04-23T23:55:14.039Z
703249,907727,2569.64,2026-04-23T22:00:04.633Z,bid-extra-60353900249,2026-04-23T23:55:14.039Z
703379,908037,3205.2400000000002,2026-04-23T22:00:04.634Z,bid-extra-60353900259,2026-04-23T23:55:14.039Z
703509,908347,3840.84,2026-04-23T22:00:04.634Z,bid-extra-60353900269,2026-04-23T23:55:14.039Z
703639,908657,4476.4400000000005,2026-04-23T22:00:04.634Z,bid-extra-60353900279,2026-04-23T23:55:14.039Z
703769,908967,5112.04,2026-04-23T22:00:04.634Z,bid-extra-60353900289,2026-04-23T23:55:14.039Z
703899,909277,5747.64,2026-04-23T22:00:04.634Z,bid-extra-60353900299,2026-04-23T23:55:14.039Z
704029,909587,6383.24,2026-04-23T22:00:04.634Z,bid-extra-60353900309,2026-04-23T23:55:14.039Z
704159,909897,7018.84,2026-04-23T22:00:04.634Z,bid-extra-60353900319,2026-04-23T23:55:14.039Z
704289,910207,7654.4400000000005,2026-04-23T22:00:04.634Z,bid-extra-60353900329,2026-04-23T23:55:14.039Z
704419,910517,8290.04,2026-04-23T22:00:04.634Z,bid-extra-60353900339,2026-04-23T23:55:14.039Z
704549,910827,8925.64,2026-04-23T22:00:04.634Z,bid-extra-60353900349,2026-04-23T23:55:14.039Z
704679,911137,9561.24,2026-04-23T22:00:04.635Z,bid-extra-60353900359,2026-04-23T23:55:14.039Z
704809,911447,5656.84,2026-04-23T22:00:04.635Z,bid-extra-60353900369,2026-04-23T23:55:14.039Z
704939,911757,6292.4400000000005,2026-04-23T22:00:04.635Z,bid-extra-60353900379,2026-04-23T23:55:14.039Z
705069,912067,6928.04,2026-04-23T22:00:04.635Z,bid-extra-60353900389,2026-04-23T23:55:14.039Z
705199,912377,7563.64,2026-04-23T22:00:04.635Z,bid-extra-60353900399,2026-04-23T23:55:14.039Z
705329,912687,8199.24,2026-04-23T22:00:04.635Z,bid-extra-60353900409,2026-04-23T23:55:14.039Z
705459,912997,8834.84,2026-04-23T22:00:04.635Z,bid-extra-60353900419,2026-04-23T23:55:14.039Z
