auction,bidder,price,dateTime,extra,processed_time
6700129,900287,2297.2400000000002,2026-04-23T21:58:44.631Z,bid-extra-60345900009,2026-04-23T23:55:14.039Z
6700259,900597,2932.84,2026-04-23T21:58:44.631Z,bid-extra-60345900019,2026-04-23T23:55:14.039Z
6700389,900907,3568.44,2026-04-23T21:58:44.631Z,bid-extra-60345900029,2026-04-23T23:55:14.039Z
6700519,901217,4204.04,2026-04-23T21:58:44.631Z,bid-extra-60345900039,2026-04-23T23:55:14.039Z
6700649,901527,4839.64,2026-04-23T21:58:44.631Z,bid-extra-60345900049,2026-04-23T23:55:14.039Z
6700779,901837,5475.24,2026-04-23T21:58:44.632Z,bid-extra-60345900059,2026-04-23T23:55:14.039Z
6700909,902147,6110.84,2026-04-23T21:58:44.632Z,bid-extra-60345900069,2026-04-23T23:55:14.039Z
6701039,902457,6746.4400000000005,2026-04-23T21:58:44.632Z,bid-extra-60345900079,2026-04-23T23:55:14.039Z
6701169,902767,7382.04,2026-04-23T21:58:44.632Z,bid-extra-60345900089,2026-04-23T23:55:14.039Z
6701299,903077,8017.64,2026-04-23T21:58:44.632Z,bid-extra-60345900099,2026-04-23T23:55:14.039Z
6701429,903387,8653.24,2026-04-23T21:58:44.632Z,bid-extra-60345900109,2026-04-23T23:55:14.039Z
6701559,903697,9288.84,2026-04-23T21:58:44.632Z,bid-extra-60345900119,2026-04-23T23:55:14.039Z
6701689,904007,5384.4400000000005,2026-04-23T21:58:44.632Z,bid-extra-60345900129,2026-04-23T23:55:14.039Z
6701819,904317,6020.04,2026-04-23T21:58:44.632Z,bid-extra-60345900139,2026-04-23T23:55:14.039Z
6701949,904627,6655.64,2026-04-23T21:58:44.632Z,bid-extra-60345900149,2026-04-23T23:55:14.039Z
6702079,904937,7291.24,2026-04-23T21:58:44.633Z,bid-extra-60345900159,2026-04-23T23:55:14.039Z
6702209,905247,7926.84,2026-04-23T21:58:44.633Z,bid-extra-60345900169,2026-04-23T23:55:14.039Z
6702339,905557,8562.44,2026-04-23T21:58:44.633Z,bid-extra-60345900179,2026-04-23T23:55:14.039Z
6702469,905867,9198.04,2026-04-23T21:58:44.633Z,bid-extra-60345900189,2026-04-23T23:55:14.039Z
6702599,906177,9833.64,2026-04-23T21:58:44.633Z,bid-extra-60345900199,2026-04-23T23:55:14.039Z
6702729,906487,10469.24,2026-04-23T21:58:44.633Z,bid-extra-60345900209,2026-04-23T23:55:14.039Z
6702859,906797,11104.84,2026-04-23T21:58:44.633Z,bid-extra-60345900219,2026-04-23T23:55:14.039Z
6702989,907107,11740.44,2026-04-23T21:58:44.633Z,bid-extra-60345900229,2026-04-23T23:55:14.039Z
6703119,907417,12376.04,2026-04-23T21:58:44.633Z,bid-extra-60345900239,2026-04-23T23:55:14.039Z
6703249,907727,8471.64,2026-04-23T21:58:44.633Z,bid-extra-60345900249,2026-04-23T23:55:14.039Z
6703379,908037,9107.24,2026-04-23T21:58:44.634Z,bid-extra-60345900259,2026-04-23T23:55:14.039Z
6703509,908347,9742.84,2026-04-23T21:58:44.634Z,bid-extra-60345900269,2026-04-23T23:55:14.039Z
6703639,908657,10378.44,2026-04-23T21:58:44.634Z,bid-extra-60345900279,2026-04-23T23:55:14.039Z
6703769,908967,2024.8400000000001,2026-04-23T21:58:44.634Z,bid-extra-60345900289,2026-04-23T23:55:14.039Z
6703899,909277,2660.44,2026-04-23T21:58:44.634Z,bid-extra-60345900299,2026-04-23T23:55:14.039Z
6704029,909587,3296.04,2026-04-23T21:58:44.634Z,bid-extra-60345900309,2026-04-23T23:55:14.039Z
6704159,909897,3931.6400000000003,2026-04-23T21:58:44.634Z,bid-extra-60345900319,2026-04-23T23:55:14.039Z
6704289,910207,4567.24,2026-04-23T21:58:44.634Z,bid-extra-60345900329,2026-04-23T23:55:14.039Z
6704419,910517,5202.84,2026-04-23T21:58:44.634Z,bid-extra-60345900339,2026-04-23T23:55:14.039Z
6704549,910827,5838.4400000000005,2026-04-23T21:58:44.634Z,bid-extra-60345900349,2026-04-23T23:55:14.039Z
6704679,911137,6474.04,2026-04-23T21:58:44.635Z,bid-extra-60345900359,2026-04-23T23:55:14.039Z
6704809,911447,2569.64,2026-04-23T21:58:44.635Z,bid-extra-60345900369,2026-04-23T23:55:14.039Z
6704939,911757,3205.2400000000002,2026-04-23T21:58:44.635Z,bid-extra-60345900379,2026-04-23T23:55:14.039Z
6705069,912067,3840.84,2026-04-23T21:58:44.635Z,bid-extra-60345900389,2026-04-23T23:55:14.039Z
6705199,912377,4476.4400000000005,2026-04-23T21:58:44.635Z,bid-extra-60345900399,2026-04-23T23:55:14.039Z
6705329,912687,5112.04,2026-04-23T21:58:44.635Z,bid-extra-60345900409,2026-04-23T23:55:14.039Z
6705459,912997,5747.64,2026-04-23T21:58:44.635Z,bid-extra-60345900419,2026-04-23T23:55:14.039Z
6705589,913307,6383.24,2026-04-23T21:58:44.635Z,bid-extra-60345900429,2026-04-23T23:55:14.039Z
6705719,913617,7018.84,2026-04-23T21:58:44.635Z,bid-extra-60345900439,2026-04-23T23:55:14.039Z
6705849,913927,7654.4400000000005,2026-04-23T21:58:44.635Z,bid-extra-60345900449,2026-04-23T23:55:14.039Z
6705979,914237,8290.04,2026-04-23T21:58:44.636Z,bid-extra-60345900459,2026-04-23T23:55:14.039Z
6706109,914547,8925.64,2026-04-23T21:58:44.636Z,bid-extra-60345900469,2026-04-23T23:55:14.039Z
