auction,bidder,price,dateTime,extra,processed_time
1700129,900287,6474.04,2026-04-23T21:59:34.631Z,bid-extra-60350900009,2026-04-23T23:55:14.039Z
1700259,900597,7109.64,2026-04-23T21:59:34.631Z,bid-extra-60350900019,2026-04-23T23:55:14.039Z
1700389,900907,7745.240000000001,2026-04-23T21:59:34.631Z,bid-extra-60350900029,2026-04-23T23:55:14.039Z
1700519,901217,8380.84,2026-04-23T21:59:34.631Z,bid-extra-60350900039,2026-04-23T23:55:14.039Z
1700649,901527,9016.44,2026-04-23T21:59:34.631Z,bid-extra-60350900049,2026-04-23T23:55:14.039Z
1700779,901837,9652.04,2026-04-23T21:59:34.632Z,bid-extra-60350900059,2026-04-23T23:55:14.039Z
1700909,902147,10287.640000000001,2026-04-23T21:59:34.632Z,bid-extra-60350900069,2026-04-23T23:55:14.039Z
1701039,902457,10923.24,2026-04-23T21:59:34.632Z,bid-extra-60350900079,2026-04-23T23:55:14.039Z
1701169,902767,11558.84,2026-04-23T21:59:34.632Z,bid-extra-60350900089,2026-04-23T23:55:14.039Z
1701299,903077,12194.44,2026-04-23T21:59:34.632Z,bid-extra-60350900099,2026-04-23T23:55:14.039Z
1701429,903387,12830.04,2026-04-23T21:59:34.632Z,bid-extra-60350900109,2026-04-23T23:55:14.039Z
1701559,903697,13465.640000000001,2026-04-23T21:59:34.632Z,bid-extra-60350900119,2026-04-23T23:55:14.039Z
1701689,904007,572.04,2026-04-23T21:59:34.632Z,bid-extra-60350900129,2026-04-23T23:55:14.039Z
1701819,904317,1207.64,2026-04-23T21:59:34.632Z,bid-extra-60350900139,2026-04-23T23:55:14.039Z
1701949,904627,1843.24,2026-04-23T21:59:34.632Z,bid-extra-60350900149,2026-04-23T23:55:14.039Z
1702079,904937,2478.84,2026-04-23T21:59:34.633Z,bid-extra-60350900159,2026-04-23T23:55:14.039Z
1702209,905247,3114.44,2026-04-23T21:59:34.633Z,bid-extra-60350900169,2026-04-23T23:55:14.039Z
1702339,905557,3750.04,2026-04-23T21:59:34.633Z,bid-extra-60350900179,2026-04-23T23:55:14.039Z
1702469,905867,4385.64,2026-04-23T21:59:34.633Z,bid-extra-60350900189,2026-04-23T23:55:14.039Z
1702599,906177,5021.24,2026-04-23T21:59:34.633Z,bid-extra-60350900199,2026-04-23T23:55:14.039Z
1702729,906487,5656.84,2026-04-23T21:59:34.633Z,bid-extra-60350900209,2026-04-23T23:55:14.039Z
1702859,906797,6292.4400000000005,2026-04-23T21:59:34.633Z,bid-extra-60350900219,2026-04-23T23:55:14.039Z
1702989,907107,6928.04,2026-04-23T21:59:34.633Z,bid-extra-60350900229,2026-04-23T23:55:14.039Z
1703119,907417,7563.64,2026-04-23T21:59:34.633Z,bid-extra-60350900239,2026-04-23T23:55:14.039Z
1703249,907727,3659.2400000000002,2026-04-23T21:59:34.633Z,bid-extra-60350900249,2026-04-23T23:55:14.039Z
1703379,908037,4294.84,2026-04-23T21:59:34.634Z,bid-extra-60350900259,2026-04-23T23:55:14.039Z
1703509,908347,4930.4400000000005,2026-04-23T21:59:34.634Z,bid-extra-60350900269,2026-04-23T23:55:14.039Z
1703639,908657,5566.04,2026-04-23T21:59:34.634Z,bid-extra-60350900279,2026-04-23T23:55:14.039Z
1703769,908967,6201.64,2026-04-23T21:59:34.634Z,bid-extra-60350900289,2026-04-23T23:55:14.039Z
1703899,909277,6837.24,2026-04-23T21:59:34.634Z,bid-extra-60350900299,2026-04-23T23:55:14.039Z
1704029,909587,7472.84,2026-04-23T21:59:34.634Z,bid-extra-60350900309,2026-04-23T23:55:14.039Z
1704159,909897,8108.4400000000005,2026-04-23T21:59:34.634Z,bid-extra-60350900319,2026-04-23T23:55:14.039Z
1704289,910207,8744.04,2026-04-23T21:59:34.634Z,bid-extra-60350900329,2026-04-23T23:55:14.039Z
1704419,910517,9379.64,2026-04-23T21:59:34.634Z,bid-extra-60350900339,2026-04-23T23:55:14.039Z
1704549,910827,10015.24,2026-04-23T21:59:34.634Z,bid-extra-60350900349,2026-04-23T23:55:14.039Z
1704679,911137,10650.84,2026-04-23T21:59:34.635Z,bid-extra-60350900359,2026-04-23T23:55:14.039Z
1704809,911447,6746.4400000000005,2026-04-23T21:59:34.635Z,bid-extra-60350900369,2026-04-23T23:55:14.039Z
1704939,911757,7382.04,2026-04-23T21:59:34.635Z,bid-extra-60350900379,2026-04-23T23:55:14.039Z
1705069,912067,8017.64,2026-04-23T21:59:34.635Z,bid-extra-60350900389,2026-04-23T23:55:14.039Z
1705199,912377,8653.24,2026-04-23T21:59:34.635Z,bid-extra-60350900399,2026-04-23T23:55:14.039Z
1705329,912687,9288.84,2026-04-23T21:59:34.635Z,bid-extra-60350900409,2026-04-23T23:55:14.039Z
1705459,912997,9924.44,2026-04-23T21:59:34.635Z,bid-extra-60350900419,2026-04-23T23:55:14.039Z
1705589,913307,10560.04,2026-04-23T21:59:34.635Z,bid-extra-60350900429,2026-04-23T23:55:14.039Z
1705719,913617,11195.640000000001,2026-04-23T21:59:34.635Z,bid-extra-60350900439,2026-04-23T23:55:14.039Z
1705849,913927,11831.24,2026-04-23T21:59:34.635Z,bid-extra-60350900449,2026-04-23T23:55:14.039Z
1705979,914237,12466.84,2026-04-23T21:59:34.636Z,bid-extra-60350900459,2026-04-23T23:55:14.039Z
1706109,914547,4113.24,2026-04-23T21:59:34.636Z,bid-extra-60350900469,2026-04-23T23:55:14.039Z
1706239,914857,4748.84,2026-04-23T21:59:34.636Z,bid-extra-60350900479,2026-04-23T23:55:14.039Z
1706369,915167,844.44,2026-04-23T21:59:34.636Z,bid-extra-60350900489,2026-04-23T23:55:14.039Z
1706499,915477,1480.04,2026-04-23T21:59:34.636Z,bid-extra-60350900499,2026-04-23T23:55:14.039Z
1706629,915787,2115.64,2026-04-23T21:59:34.636Z,bid-extra-60350900509,2026-04-23T23:55:14.039Z
1706759,916097,2751.2400000000002,2026-04-23T21:59:34.636Z,bid-extra-60350900519,2026-04-23T23:55:14.039Z
1706889,916407,3386.84,2026-04-23T21:59:34.636Z,bid-extra-60350900529,2026-04-23T23:55:14.039Z
1707019,916717,4022.44,2026-04-23T21:59:34.636Z,bid-extra-60350900539,2026-04-23T23:55:14.039Z
1707149,917027,4658.04,2026-04-23T21:59:34.636Z,bid-extra-60350900549,2026-04-23T23:55:14.039Z
1707279,917337,5293.64,2026-04-23T21:59:34.637Z,bid-extra-60350900559,2026-04-23T23:55:14.039Z
1707409,917647,5929.24,2026-04-23T21:59:34.637Z,bid-extra-60350900569,2026-04-23T23:55:14.039Z
1707539,917957,6564.84,2026-04-23T21:59:34.637Z,bid-extra-60350900579,2026-04-23T23:55:14.039Z
1707669,918267,7200.4400000000005,2026-04-23T21:59:34.637Z,bid-extra-60350900589,2026-04-23T23:55:14.039Z
1707799,918577,7836.04,2026-04-23T21:59:34.637Z,bid-extra-60350900599,2026-04-23T23:55:14.039Z
1707929,918887,8471.64,2026-04-23T21:59:34.637Z,bid-extra-60350900609,2026-04-23T23:55:14.039Z
1708059,919197,4567.24,2026-04-23T21:59:34.637Z,bid-extra-60350900619,2026-04-23T23:55:14.039Z
1708189,919507,5202.84,2026-04-23T21:59:34.637Z,bid-extra-60350900629,2026-04-23T23:55:14.039Z
1708319,919817,5838.4400000000005,2026-04-23T21:59:34.637Z,bid-extra-60350900639,2026-04-23T23:55:14.039Z
1708449,920127,6474.04,2026-04-23T21:59:34.637Z,bid-extra-60350900649,2026-04-23T23:55:14.039Z
1708579,920437,7109.64,2026-04-23T21:59:34.638Z,bid-extra-60350900659,2026-04-23T23:55:14.039Z
1708709,920747,7745.240000000001,2026-04-23T21:59:34.638Z,bid-extra-60350900669,2026-04-23T23:55:14.039Z
1708839,921057,8380.84,2026-04-23T21:59:34.638Z,bid-extra-60350900679,2026-04-23T23:55:14.039Z
1708969,921367,9016.44,2026-04-23T21:59:34.638Z,bid-extra-60350900689,2026-04-23T23:55:14.039Z
1709099,921677,9652.04,2026-04-23T21:59:34.638Z,bid-extra-60350900699,2026-04-23T23:55:14.039Z
1709229,921987,10287.640000000001,2026-04-23T21:59:34.638Z,bid-extra-60350900709,2026-04-23T23:55:14.039Z
1709359,922297,10923.24,2026-04-23T21:59:34.638Z,bid-extra-60350900719,2026-04-23T23:55:14.039Z
1709489,922607,11558.84,2026-04-23T21:59:34.638Z,bid-extra-60350900729,2026-04-23T23:55:14.039Z
1709619,922917,7654.4400000000005,2026-04-23T21:59:34.638Z,bid-extra-60350900739,2026-04-23T23:55:14.039Z
1709749,923227,8290.04,2026-04-23T21:59:34.638Z,bid-extra-60350900749,2026-04-23T23:55:14.039Z
1709879,923537,8925.64,2026-04-23T21:59:34.639Z,bid-extra-60350900759,2026-04-23T23:55:14.039Z
1710009,923847,9561.24,2026-04-23T21:59:34.639Z,bid-extra-60350900769,2026-04-23T23:55:14.039Z
1710139,924157,10196.84,2026-04-23T21:59:34.639Z,bid-extra-60350900779,2026-04-23T23:55:14.039Z
1710269,924467,10832.44,2026-04-23T21:59:34.639Z,bid-extra-60350900789,2026-04-23T23:55:14.039Z
1710399,924777,11468.04,2026-04-23T21:59:34.639Z,bid-extra-60350900799,2026-04-23T23:55:14.039Z
1710529,925087,3114.44,2026-04-23T21:59:34.639Z,bid-extra-60350900809,2026-04-23T23:55:14.039Z
1710659,925397,3750.04,2026-04-23T21:59:34.639Z,bid-extra-60350900819,2026-04-23T23:55:14.039Z
1710789,925707,4385.64,2026-04-23T21:59:34.639Z,bid-extra-60350900829,2026-04-23T23:55:14.039Z
1710919,926017,5021.24,2026-04-23T21:59:34.639Z,bid-extra-60350900839,2026-04-23T23:55:14.039Z
1711049,926327,5656.84,2026-04-23T21:59:34.639Z,bid-extra-60350900849,2026-04-23T23:55:14.039Z
1711179,926637,1752.44,2026-04-23T21:59:34.640Z,bid-extra-60350900859,2026-04-23T23:55:14.039Z
1711309,926947,2388.04,2026-04-23T21:59:34.640Z,bid-extra-60350900869,2026-04-23T23:55:14.039Z
1711439,927257,3023.64,2026-04-23T21:59:34.640Z,bid-extra-60350900879,2026-04-23T23:55:14.039Z
1711569,927567,3659.2400000000002,2026-04-23T21:59:34.640Z,bid-extra-60350900889,2026-04-23T23:55:14.039Z
1711699,927877,4294.84,2026-04-23T21:59:34.640Z,bid-extra-60350900899,2026-04-23T23:55:14.039Z
1711829,928187,4930.4400000000005,2026-04-23T21:59:34.640Z,bid-extra-60350900909,2026-04-23T23:55:14.039Z
1711959,928497,5566.04,2026-04-23T21:59:34.640Z,bid-extra-60350900919,2026-04-23T23:55:14.039Z
1712089,928807,6201.64,2026-04-23T21:59:34.640Z,bid-extra-60350900929,2026-04-23T23:55:14.039Z
1712219,929117,6837.24,2026-04-23T21:59:34.640Z,bid-extra-60350900939,2026-04-23T23:55:14.039Z
1712349,929427,7472.84,2026-04-23T21:59:34.640Z,bid-extra-60350900949,2026-04-23T23:55:14.039Z
1712479,929737,8108.4400000000005,2026-04-23T21:59:34.641Z,bid-extra-60350900959,2026-04-23T23:55:14.039Z
1712609,930047,8744.04,2026-04-23T21:59:34.641Z,bid-extra-60350900969,2026-04-23T23:55:14.039Z
1712739,930357,4839.64,2026-04-23T21:59:34.641Z,bid-extra-60350900979,2026-04-23T23:55:14.039Z
1712869,930667,5475.24,2026-04-23T21:59:34.641Z,bid-extra-60350900989,2026-04-23T23:55:14.039Z
1712999,930977,6110.84,2026-04-23T21:59:34.641Z,bid-extra-60350900999,2026-04-23T23:55:14.039Z
1713129,931287,6746.4400000000005,2026-04-23T21:59:34.641Z,bid-extra-60350901009,2026-04-23T23:55:14.039Z
1713259,931597,7382.04,2026-04-23T21:59:34.641Z,bid-extra-60350901019,2026-04-23T23:55:14.039Z
1713389,931907,8017.64,2026-04-23T21:59:34.641Z,bid-extra-60350901029,2026-04-23T23:55:14.039Z
1713519,932217,8653.24,2026-04-23T21:59:34.641Z,bid-extra-60350901039,2026-04-23T23:55:14.039Z
1713649,932527,9288.84,2026-04-23T21:59:34.641Z,bid-extra-60350901049,2026-04-23T23:55:14.039Z
1713779,932837,9924.44,2026-04-23T21:59:34.642Z,bid-extra-60350901059,2026-04-23T23:55:14.039Z
1713909,933147,10560.04,2026-04-23T21:59:34.642Z,bid-extra-60350901069,2026-04-23T23:55:14.039Z
1714039,933457,11195.640000000001,2026-04-23T21:59:34.642Z,bid-extra-60350901079,2026-04-23T23:55:14.039Z
1714169,933767,11831.24,2026-04-23T21:59:34.642Z,bid-extra-60350901089,2026-04-23T23:55:14.039Z
1714299,934077,7926.84,2026-04-23T21:59:34.642Z,bid-extra-60350901099,2026-04-23T23:55:14.039Z
1714429,934387,8562.44,2026-04-23T21:59:34.642Z,bid-extra-60350901109,2026-04-23T23:55:14.039Z
1714559,934697,9198.04,2026-04-23T21:59:34.642Z,bid-extra-60350901119,2026-04-23T23:55:14.039Z
1714689,935007,9833.64,2026-04-23T21:59:34.642Z,bid-extra-60350901129,2026-04-23T23:55:14.039Z
1714819,935317,10469.24,2026-04-23T21:59:34.642Z,bid-extra-60350901139,2026-04-23T23:55:14.039Z
1714949,935627,2115.64,2026-04-23T21:59:34.642Z,bid-extra-60350901149,2026-04-23T23:55:14.039Z
1715079,935937,2751.2400000000002,2026-04-23T21:59:34.643Z,bid-extra-60350901159,2026-04-23T23:55:14.039Z
1715209,936247,3386.84,2026-04-23T21:59:34.643Z,bid-extra-60350901169,2026-04-23T23:55:14.039Z
1715339,936557,4022.44,2026-04-23T21:59:34.643Z,bid-extra-60350901179,2026-04-23T23:55:14.039Z
1715469,936867,4658.04,2026-04-23T21:59:34.643Z,bid-extra-60350901189,2026-04-23T23:55:14.039Z
1715599,937177,5293.64,2026-04-23T21:59:34.643Z,bid-extra-60350901199,2026-04-23T23:55:14.039Z
1715729,937487,5929.24,2026-04-23T21:59:34.643Z,bid-extra-60350901209,2026-04-23T23:55:14.039Z
1715859,937797,6564.84,2026-04-23T21:59:34.643Z,bid-extra-60350901219,2026-04-23T23:55:14.039Z
1715989,938107,2660.44,2026-04-23T21:59:34.643Z,bid-extra-60350901229,2026-04-23T23:55:14.039Z
1716119,938417,3296.04,2026-04-23T21:59:34.643Z,bid-extra-60350901239,2026-04-23T23:55:14.039Z
1716249,938727,3931.6400000000003,2026-04-23T21:59:34.643Z,bid-extra-60350901249,2026-04-23T23:55:14.039Z
1716379,939037,4567.24,2026-04-23T21:59:34.644Z,bid-extra-60350901259,2026-04-23T23:55:14.039Z
1716509,939347,5202.84,2026-04-23T21:59:34.644Z,bid-extra-60350901269,2026-04-23T23:55:14.039Z
1716639,939657,5838.4400000000005,2026-04-23T21:59:34.644Z,bid-extra-60350901279,2026-04-23T23:55:14.039Z
1716769,939967,6474.04,2026-04-23T21:59:34.644Z,bid-extra-60350901289,2026-04-23T23:55:14.039Z
1716899,940277,7109.64,2026-04-23T21:59:34.644Z,bid-extra-60350901299,2026-04-23T23:55:14.039Z
1717029,940587,7745.240000000001,2026-04-23T21:59:34.644Z,bid-extra-60350901309,2026-04-23T23:55:14.039Z
1717159,940897,8380.84,2026-04-23T21:59:34.644Z,bid-extra-60350901319,2026-04-23T23:55:14.039Z
1717289,941207,9016.44,2026-04-23T21:59:34.644Z,bid-extra-60350901329,2026-04-23T23:55:14.039Z
1717419,941517,9652.04,2026-04-23T21:59:34.644Z,bid-extra-60350901339,2026-04-23T23:55:14.039Z
1717549,941827,5747.64,2026-04-23T21:59:34.644Z,bid-extra-60350901349,2026-04-23T23:55:14.039Z
1717679,942137,6383.24,2026-04-23T21:59:34.645Z,bid-extra-60350901359,2026-04-23T23:55:14.039Z
1717809,942447,7018.84,2026-04-23T21:59:34.645Z,bid-extra-60350901369,2026-04-23T23:55:14.039Z
1717939,942757,7654.4400000000005,2026-04-23T21:59:34.645Z,bid-extra-60350901379,2026-04-23T23:55:14.039Z
1718069,943067,8290.04,2026-04-23T21:59:34.645Z,bid-extra-60350901389,2026-04-23T23:55:14.039Z
1718199,943377,8925.64,2026-04-23T21:59:34.645Z,bid-extra-60350901399,2026-04-23T23:55:14.039Z
1718329,943687,9561.24,2026-04-23T21:59:34.645Z,bid-extra-60350901409,2026-04-23T23:55:14.039Z
1718459,943997,10196.84,2026-04-23T21:59:34.645Z,bid-extra-60350901419,2026-04-23T23:55:14.039Z
1718589,944307,10832.44,2026-04-23T21:59:34.645Z,bid-extra-60350901429,2026-04-23T23:55:14.039Z
1718719,944617,11468.04,2026-04-23T21:59:34.645Z,bid-extra-60350901439,2026-04-23T23:55:14.039Z
1718849,944927,12103.640000000001,2026-04-23T21:59:34.645Z,bid-extra-60350901449,2026-04-23T23:55:14.039Z
1718979,945237,12739.24,2026-04-23T21:59:34.646Z,bid-extra-60350901459,2026-04-23T23:55:14.039Z
1719109,945547,8834.84,2026-04-23T21:59:34.646Z,bid-extra-60350901469,2026-04-23T23:55:14.039Z
1719239,945857,9470.44,2026-04-23T21:59:34.646Z,bid-extra-60350901479,2026-04-23T23:55:14.039Z
1719369,946167,1116.8400000000001,2026-04-23T21:59:34.646Z,bid-extra-60350901489,2026-04-23T23:55:14.039Z
1719499,946477,1752.44,2026-04-23T21:59:34.646Z,bid-extra-60350901499,2026-04-23T23:55:14.039Z
1719629,946787,2388.04,2026-04-23T21:59:34.646Z,bid-extra-60350901509,2026-04-23T23:55:14.039Z
1719759,947097,3023.64,2026-04-23T21:59:34.646Z,bid-extra-60350901519,2026-04-23T23:55:14.039Z
1719889,947407,3659.2400000000002,2026-04-23T21:59:34.646Z,bid-extra-60350901529,2026-04-23T23:55:14.039Z
1720019,947717,4294.84,2026-04-23T21:59:34.646Z,bid-extra-60350901539,2026-04-23T23:55:14.039Z
1720149,948027,4930.4400000000005,2026-04-23T21:59:34.646Z,bid-extra-60350901549,2026-04-23T23:55:14.039Z
1720279,948337,5566.04,2026-04-23T21:59:34.647Z,bid-extra-60350901559,2026-04-23T23:55:14.039Z
