auction,bidder,price,dateTime,extra,processed_time
7700129,900287,2751.2400000000002,2026-04-23T21:59:54.631Z,bid-extra-60352900009,2026-04-23T23:55:14.039Z
7700259,900597,3386.84,2026-04-23T21:59:54.631Z,bid-extra-60352900019,2026-04-23T23:55:14.039Z
7700389,900907,4022.44,2026-04-23T21:59:54.631Z,bid-extra-60352900029,2026-04-23T23:55:14.039Z
7700519,901217,4658.04,2026-04-23T21:59:54.631Z,bid-extra-60352900039,2026-04-23T23:55:14.039Z
7700649,901527,5293.64,2026-04-23T21:59:54.631Z,bid-extra-60352900049,2026-04-23T23:55:14.039Z
7700779,901837,5929.24,2026-04-23T21:59:54.632Z,bid-extra-60352900059,2026-04-23T23:55:14.039Z
7700909,902147,6564.84,2026-04-23T21:59:54.632Z,bid-extra-60352900069,2026-04-23T23:55:14.039Z
7701039,902457,7200.4400000000005,2026-04-23T21:59:54.632Z,bid-extra-60352900079,2026-04-23T23:55:14.039Z
7701169,902767,7836.04,2026-04-23T21:59:54.632Z,bid-extra-60352900089,2026-04-23T23:55:14.039Z
7701299,903077,8471.64,2026-04-23T21:59:54.632Z,bid-extra-60352900099,2026-04-23T23:55:14.039Z
7701429,903387,9107.24,2026-04-23T21:59:54.632Z,bid-extra-60352900109,2026-04-23T23:55:14.039Z
7701559,903697,9742.84,2026-04-23T21:59:54.632Z,bid-extra-60352900119,2026-04-23T23:55:14.039Z
7701689,904007,5838.4400000000005,2026-04-23T21:59:54.632Z,bid-extra-60352900129,2026-04-23T23:55:14.039Z
7701819,904317,6474.04,2026-04-23T21:59:54.632Z,bid-extra-60352900139,2026-04-23T23:55:14.039Z
7701949,904627,7109.64,2026-04-23T21:59:54.632Z,bid-extra-60352900149,2026-04-23T23:55:14.039Z
7702079,904937,7745.240000000001,2026-04-23T21:59:54.633Z,bid-extra-60352900159,2026-04-23T23:55:14.039Z
7702209,905247,8380.84,2026-04-23T21:59:54.633Z,bid-extra-60352900169,2026-04-23T23:55:14.039Z
7702339,905557,9016.44,2026-04-23T21:59:54.633Z,bid-extra-60352900179,2026-04-23T23:55:14.039Z
7702469,905867,9652.04,2026-04-23T21:59:54.633Z,bid-extra-60352900189,2026-04-23T23:55:14.039Z
7702599,906177,10287.640000000001,2026-04-23T21:59:54.633Z,bid-extra-60352900199,2026-04-23T23:55:14.039Z
7702729,906487,10923.24,2026-04-23T21:59:54.633Z,bid-extra-60352900209,2026-04-23T23:55:14.039Z
7702859,906797,11558.84,2026-04-23T21:59:54.633Z,bid-extra-60352900219,2026-04-23T23:55:14.039Z
