auction,bidder,price,dateTime,extra,processed_time
5700129,900287,1207.64,2026-04-23T21:59:14.631Z,bid-extra-60348900009,2026-04-23T23:55:14.039Z
5700259,900597,1843.24,2026-04-23T21:59:14.631Z,bid-extra-60348900019,2026-04-23T23:55:14.039Z
5700389,900907,2478.84,2026-04-23T21:59:14.631Z,bid-extra-60348900029,2026-04-23T23:55:14.039Z
5700519,901217,3114.44,2026-04-23T21:59:14.631Z,bid-extra-60348900039,2026-04-23T23:55:14.039Z
5700649,901527,3750.04,2026-04-23T21:59:14.631Z,bid-extra-60348900049,2026-04-23T23:55:14.039Z
5700779,901837,4385.64,2026-04-23T21:59:14.632Z,bid-extra-60348900059,2026-04-23T23:55:14.039Z
5700909,902147,5021.24,2026-04-23T21:59:14.632Z,bid-extra-60348900069,2026-04-23T23:55:14.039Z
5701039,902457,5656.84,2026-04-23T21:59:14.632Z,bid-extra-60348900079,2026-04-23T23:55:14.039Z
5701169,902767,6292.4400000000005,2026-04-23T21:59:14.632Z,bid-extra-60348900089,2026-04-23T23:55:14.039Z
5701299,903077,6928.04,2026-04-23T21:59:14.632Z,bid-extra-60348900099,2026-04-23T23:55:14.039Z
5701429,903387,7563.64,2026-04-23T21:59:14.632Z,bid-extra-60348900109,2026-04-23T23:55:14.039Z
5701559,903697,8199.24,2026-04-23T21:59:14.632Z,bid-extra-60348900119,2026-04-23T23:55:14.039Z
5701689,904007,4294.84,2026-04-23T21:59:14.632Z,bid-extra-60348900129,2026-04-23T23:55:14.039Z
5701819,904317,4930.4400000000005,2026-04-23T21:59:14.632Z,bid-extra-60348900139,2026-04-23T23:55:14.039Z
5701949,904627,5566.04,2026-04-23T21:59:14.632Z,bid-extra-60348900149,2026-04-23T23:55:14.039Z
5702079,904937,6201.64,2026-04-23T21:59:14.633Z,bid-extra-60348900159,2026-04-23T23:55:14.039Z
5702209,905247,6837.24,2026-04-23T21:59:14.633Z,bid-extra-60348900169,2026-04-23T23:55:14.039Z
5702339,905557,7472.84,2026-04-23T21:59:14.633Z,bid-extra-60348900179,2026-04-23T23:55:14.039Z
5702469,905867,8108.4400000000005,2026-04-23T21:59:14.633Z,bid-extra-60348900189,2026-04-23T23:55:14.039Z
5702599,906177,8744.04,2026-04-23T21:59:14.633Z,bid-extra-60348900199,2026-04-23T23:55:14.039Z
5702729,906487,9379.64,2026-04-23T21:59:14.633Z,bid-extra-60348900209,2026-04-23T23:55:14.039Z
5702859,906797,10015.24,2026-04-23T21:59:14.633Z,bid-extra-60348900219,2026-04-23T23:55:14.039Z
5702989,907107,10650.84,2026-04-23T21:59:14.633Z,bid-extra-60348900229,2026-04-23T23:55:14.039Z
5703119,907417,11286.44,2026-04-23T21:59:14.633Z,bid-extra-60348900239,2026-04-23T23:55:14.039Z
5703249,907727,7382.04,2026-04-23T21:59:14.633Z,bid-extra-60348900249,2026-04-23T23:55:14.039Z
5703379,908037,8017.64,2026-04-23T21:59:14.634Z,bid-extra-60348900259,2026-04-23T23:55:14.039Z
5703509,908347,8653.24,2026-04-23T21:59:14.634Z,bid-extra-60348900269,2026-04-23T23:55:14.039Z
5703639,908657,9288.84,2026-04-23T21:59:14.634Z,bid-extra-60348900279,2026-04-23T23:55:14.039Z
5703769,908967,9924.44,2026-04-23T21:59:14.634Z,bid-extra-60348900289,2026-04-23T23:55:14.039Z
5703899,909277,10560.04,2026-04-23T21:59:14.634Z,bid-extra-60348900299,2026-04-23T23:55:14.039Z
5704029,909587,11195.640000000001,2026-04-23T21:59:14.634Z,bid-extra-60348900309,2026-04-23T23:55:14.039Z
5704159,909897,11831.24,2026-04-23T21:59:14.634Z,bid-extra-60348900319,2026-04-23T23:55:14.039Z
5704289,910207,3477.6400000000003,2026-04-23T21:59:14.634Z,bid-extra-60348900329,2026-04-23T23:55:14.039Z
5704419,910517,4113.24,2026-04-23T21:59:14.634Z,bid-extra-60348900339,2026-04-23T23:55:14.039Z
5704549,910827,4748.84,2026-04-23T21:59:14.634Z,bid-extra-60348900349,2026-04-23T23:55:14.039Z
5704679,911137,5384.4400000000005,2026-04-23T21:59:14.635Z,bid-extra-60348900359,2026-04-23T23:55:14.039Z
5704809,911447,1480.04,2026-04-23T21:59:14.635Z,bid-extra-60348900369,2026-04-23T23:55:14.039Z
5704939,911757,2115.64,2026-04-23T21:59:14.635Z,bid-extra-60348900379,2026-04-23T23:55:14.039Z
5705069,912067,2751.2400000000002,2026-04-23T21:59:14.635Z,bid-extra-60348900389,2026-04-23T23:55:14.039Z
5705199,912377,3386.84,2026-04-23T21:59:14.635Z,bid-extra-60348900399,2026-04-23T23:55:14.039Z
5705329,912687,4022.44,2026-04-23T21:59:14.635Z,bid-extra-60348900409,2026-04-23T23:55:14.039Z
5705459,912997,4658.04,2026-04-23T21:59:14.635Z,bid-extra-60348900419,2026-04-23T23:55:14.039Z
5705589,913307,5293.64,2026-04-23T21:59:14.635Z,bid-extra-60348900429,2026-04-23T23:55:14.039Z
5705719,913617,5929.24,2026-04-23T21:59:14.635Z,bid-extra-60348900439,2026-04-23T23:55:14.039Z
5705849,913927,6564.84,2026-04-23T21:59:14.635Z,bid-extra-60348900449,2026-04-23T23:55:14.039Z
5705979,914237,7200.4400000000005,2026-04-23T21:59:14.636Z,bid-extra-60348900459,2026-04-23T23:55:14.039Z
5706109,914547,7836.04,2026-04-23T21:59:14.636Z,bid-extra-60348900469,2026-04-23T23:55:14.039Z
5706239,914857,8471.64,2026-04-23T21:59:14.636Z,bid-extra-60348900479,2026-04-23T23:55:14.039Z
5706369,915167,4567.24,2026-04-23T21:59:14.636Z,bid-extra-60348900489,2026-04-23T23:55:14.039Z
5706499,915477,5202.84,2026-04-23T21:59:14.636Z,bid-extra-60348900499,2026-04-23T23:55:14.039Z
5706629,915787,5838.4400000000005,2026-04-23T21:59:14.636Z,bid-extra-60348900509,2026-04-23T23:55:14.039Z
5706759,916097,6474.04,2026-04-23T21:59:14.636Z,bid-extra-60348900519,2026-04-23T23:55:14.039Z
5706889,916407,7109.64,2026-04-23T21:59:14.636Z,bid-extra-60348900529,2026-04-23T23:55:14.039Z
5707019,916717,7745.240000000001,2026-04-23T21:59:14.636Z,bid-extra-60348900539,2026-04-23T23:55:14.039Z
5707149,917027,8380.84,2026-04-23T21:59:14.636Z,bid-extra-60348900549,2026-04-23T23:55:14.039Z
5707279,917337,9016.44,2026-04-23T21:59:14.637Z,bid-extra-60348900559,2026-04-23T23:55:14.039Z
5707409,917647,9652.04,2026-04-23T21:59:14.637Z,bid-extra-60348900569,2026-04-23T23:55:14.039Z
5707539,917957,10287.640000000001,2026-04-23T21:59:14.637Z,bid-extra-60348900579,2026-04-23T23:55:14.039Z
5707669,918267,10923.24,2026-04-23T21:59:14.637Z,bid-extra-60348900589,2026-04-23T23:55:14.039Z
5707799,918577,11558.84,2026-04-23T21:59:14.637Z,bid-extra-60348900599,2026-04-23T23:55:14.039Z
5707929,918887,12194.44,2026-04-23T21:59:14.637Z,bid-extra-60348900609,2026-04-23T23:55:14.039Z
5708059,919197,8290.04,2026-04-23T21:59:14.637Z,bid-extra-60348900619,2026-04-23T23:55:14.039Z
5708189,919507,8925.64,2026-04-23T21:59:14.637Z,bid-extra-60348900629,2026-04-23T23:55:14.039Z
5708319,919817,9561.24,2026-04-23T21:59:14.637Z,bid-extra-60348900639,2026-04-23T23:55:14.039Z
5708449,920127,10196.84,2026-04-23T21:59:14.637Z,bid-extra-60348900649,2026-04-23T23:55:14.039Z
5708579,920437,10832.44,2026-04-23T21:59:14.638Z,bid-extra-60348900659,2026-04-23T23:55:14.039Z
5708709,920747,2478.84,2026-04-23T21:59:14.638Z,bid-extra-60348900669,2026-04-23T23:55:14.039Z
5708839,921057,3114.44,2026-04-23T21:59:14.638Z,bid-extra-60348900679,2026-04-23T23:55:14.039Z
5708969,921367,3750.04,2026-04-23T21:59:14.638Z,bid-extra-60348900689,2026-04-23T23:55:14.039Z
5709099,921677,4385.64,2026-04-23T21:59:14.638Z,bid-extra-60348900699,2026-04-23T23:55:14.039Z
5709229,921987,5021.24,2026-04-23T21:59:14.638Z,bid-extra-60348900709,2026-04-23T23:55:14.039Z
5709359,922297,5656.84,2026-04-23T21:59:14.638Z,bid-extra-60348900719,2026-04-23T23:55:14.039Z
5709489,922607,6292.4400000000005,2026-04-23T21:59:14.638Z,bid-extra-60348900729,2026-04-23T23:55:14.039Z
5709619,922917,2388.04,2026-04-23T21:59:14.638Z,bid-extra-60348900739,2026-04-23T23:55:14.039Z
5709749,923227,3023.64,2026-04-23T21:59:14.638Z,bid-extra-60348900749,2026-04-23T23:55:14.039Z
5709879,923537,3659.2400000000002,2026-04-23T21:59:14.639Z,bid-extra-60348900759,2026-04-23T23:55:14.039Z
5710009,923847,4294.84,2026-04-23T21:59:14.639Z,bid-extra-60348900769,2026-04-23T23:55:14.039Z
5710139,924157,4930.4400000000005,2026-04-23T21:59:14.639Z,bid-extra-60348900779,2026-04-23T23:55:14.039Z
5710269,924467,5566.04,2026-04-23T21:59:14.639Z,bid-extra-60348900789,2026-04-23T23:55:14.039Z
5710399,924777,6201.64,2026-04-23T21:59:14.639Z,bid-extra-60348900799,2026-04-23T23:55:14.039Z
5710529,925087,6837.24,2026-04-23T21:59:14.639Z,bid-extra-60348900809,2026-04-23T23:55:14.039Z
5710659,925397,7472.84,2026-04-23T21:59:14.639Z,bid-extra-60348900819,2026-04-23T23:55:14.039Z
5710789,925707,8108.4400000000005,2026-04-23T21:59:14.639Z,bid-extra-60348900829,2026-04-23T23:55:14.039Z
5710919,926017,8744.04,2026-04-23T21:59:14.639Z,bid-extra-60348900839,2026-04-23T23:55:14.039Z
5711049,926327,9379.64,2026-04-23T21:59:14.639Z,bid-extra-60348900849,2026-04-23T23:55:14.039Z
5711179,926637,5475.24,2026-04-23T21:59:14.640Z,bid-extra-60348900859,2026-04-23T23:55:14.039Z
5711309,926947,6110.84,2026-04-23T21:59:14.640Z,bid-extra-60348900869,2026-04-23T23:55:14.039Z
5711439,927257,6746.4400000000005,2026-04-23T21:59:14.640Z,bid-extra-60348900879,2026-04-23T23:55:14.039Z
5711569,927567,7382.04,2026-04-23T21:59:14.640Z,bid-extra-60348900889,2026-04-23T23:55:14.039Z
5711699,927877,8017.64,2026-04-23T21:59:14.640Z,bid-extra-60348900899,2026-04-23T23:55:14.039Z
5711829,928187,8653.24,2026-04-23T21:59:14.640Z,bid-extra-60348900909,2026-04-23T23:55:14.039Z
5711959,928497,9288.84,2026-04-23T21:59:14.640Z,bid-extra-60348900919,2026-04-23T23:55:14.039Z
5712089,928807,9924.44,2026-04-23T21:59:14.640Z,bid-extra-60348900929,2026-04-23T23:55:14.039Z
5712219,929117,10560.04,2026-04-23T21:59:14.640Z,bid-extra-60348900939,2026-04-23T23:55:14.039Z
5712349,929427,11195.640000000001,2026-04-23T21:59:14.640Z,bid-extra-60348900949,2026-04-23T23:55:14.039Z
5712479,929737,11831.24,2026-04-23T21:59:14.641Z,bid-extra-60348900959,2026-04-23T23:55:14.039Z
5712609,930047,12466.84,2026-04-23T21:59:14.641Z,bid-extra-60348900969,2026-04-23T23:55:14.039Z
5712739,930357,8562.44,2026-04-23T21:59:14.641Z,bid-extra-60348900979,2026-04-23T23:55:14.039Z
5712869,930667,9198.04,2026-04-23T21:59:14.641Z,bid-extra-60348900989,2026-04-23T23:55:14.039Z
5712999,930977,9833.64,2026-04-23T21:59:14.641Z,bid-extra-60348900999,2026-04-23T23:55:14.039Z
5713129,931287,1480.04,2026-04-23T21:59:14.641Z,bid-extra-60348901009,2026-04-23T23:55:14.039Z
5713259,931597,2115.64,2026-04-23T21:59:14.641Z,bid-extra-60348901019,2026-04-23T23:55:14.039Z
5713389,931907,2751.2400000000002,2026-04-23T21:59:14.641Z,bid-extra-60348901029,2026-04-23T23:55:14.039Z
5713519,932217,3386.84,2026-04-23T21:59:14.641Z,bid-extra-60348901039,2026-04-23T23:55:14.039Z
5713649,932527,4022.44,2026-04-23T21:59:14.641Z,bid-extra-60348901049,2026-04-23T23:55:14.039Z
5713779,932837,4658.04,2026-04-23T21:59:14.642Z,bid-extra-60348901059,2026-04-23T23:55:14.039Z
5713909,933147,5293.64,2026-04-23T21:59:14.642Z,bid-extra-60348901069,2026-04-23T23:55:14.039Z
5714039,933457,5929.24,2026-04-23T21:59:14.642Z,bid-extra-60348901079,2026-04-23T23:55:14.039Z
5714169,933767,6564.84,2026-04-23T21:59:14.642Z,bid-extra-60348901089,2026-04-23T23:55:14.039Z
5714299,934077,2660.44,2026-04-23T21:59:14.642Z,bid-extra-60348901099,2026-04-23T23:55:14.039Z
5714429,934387,3296.04,2026-04-23T21:59:14.642Z,bid-extra-60348901109,2026-04-23T23:55:14.039Z
5714559,934697,3931.6400000000003,2026-04-23T21:59:14.642Z,bid-extra-60348901119,2026-04-23T23:55:14.039Z
5714689,935007,4567.24,2026-04-23T21:59:14.642Z,bid-extra-60348901129,2026-04-23T23:55:14.039Z
5714819,935317,5202.84,2026-04-23T21:59:14.642Z,bid-extra-60348901139,2026-04-23T23:55:14.039Z
5714949,935627,5838.4400000000005,2026-04-23T21:59:14.642Z,bid-extra-60348901149,2026-04-23T23:55:14.039Z
5715079,935937,6474.04,2026-04-23T21:59:14.643Z,bid-extra-60348901159,2026-04-23T23:55:14.039Z
5715209,936247,7109.64,2026-04-23T21:59:14.643Z,bid-extra-60348901169,2026-04-23T23:55:14.039Z
5715339,936557,7745.240000000001,2026-04-23T21:59:14.643Z,bid-extra-60348901179,2026-04-23T23:55:14.039Z
5715469,936867,8380.84,2026-04-23T21:59:14.643Z,bid-extra-60348901189,2026-04-23T23:55:14.039Z
5715599,937177,9016.44,2026-04-23T21:59:14.643Z,bid-extra-60348901199,2026-04-23T23:55:14.039Z
5715729,937487,9652.04,2026-04-23T21:59:14.643Z,bid-extra-60348901209,2026-04-23T23:55:14.039Z
5715859,937797,10287.640000000001,2026-04-23T21:59:14.643Z,bid-extra-60348901219,2026-04-23T23:55:14.039Z
5715989,938107,6383.24,2026-04-23T21:59:14.643Z,bid-extra-60348901229,2026-04-23T23:55:14.039Z
5716119,938417,7018.84,2026-04-23T21:59:14.643Z,bid-extra-60348901239,2026-04-23T23:55:14.039Z
5716249,938727,7654.4400000000005,2026-04-23T21:59:14.643Z,bid-extra-60348901249,2026-04-23T23:55:14.039Z
5716379,939037,8290.04,2026-04-23T21:59:14.644Z,bid-extra-60348901259,2026-04-23T23:55:14.039Z
5716509,939347,8925.64,2026-04-23T21:59:14.644Z,bid-extra-60348901269,2026-04-23T23:55:14.039Z
5716639,939657,9561.24,2026-04-23T21:59:14.644Z,bid-extra-60348901279,2026-04-23T23:55:14.039Z
5716769,939967,10196.84,2026-04-23T21:59:14.644Z,bid-extra-60348901289,2026-04-23T23:55:14.039Z
5716899,940277,10832.44,2026-04-23T21:59:14.644Z,bid-extra-60348901299,2026-04-23T23:55:14.039Z
5717029,940587,11468.04,2026-04-23T21:59:14.644Z,bid-extra-60348901309,2026-04-23T23:55:14.039Z
5717159,940897,12103.640000000001,2026-04-23T21:59:14.644Z,bid-extra-60348901319,2026-04-23T23:55:14.039Z
5717289,941207,12739.24,2026-04-23T21:59:14.644Z,bid-extra-60348901329,2026-04-23T23:55:14.039Z
5717419,941517,13374.84,2026-04-23T21:59:14.644Z,bid-extra-60348901339,2026-04-23T23:55:14.039Z
5717549,941827,481.24,2026-04-23T21:59:14.644Z,bid-extra-60348901349,2026-04-23T23:55:14.039Z
5717679,942137,1116.8400000000001,2026-04-23T21:59:14.645Z,bid-extra-60348901359,2026-04-23T23:55:14.039Z
5717809,942447,1752.44,2026-04-23T21:59:14.645Z,bid-extra-60348901369,2026-04-23T23:55:14.039Z
5717939,942757,2388.04,2026-04-23T21:59:14.645Z,bid-extra-60348901379,2026-04-23T23:55:14.039Z
5718069,943067,3023.64,2026-04-23T21:59:14.645Z,bid-extra-60348901389,2026-04-23T23:55:14.039Z
5718199,943377,3659.2400000000002,2026-04-23T21:59:14.645Z,bid-extra-60348901399,2026-04-23T23:55:14.039Z
5718329,943687,4294.84,2026-04-23T21:59:14.645Z,bid-extra-60348901409,2026-04-23T23:55:14.039Z
5718459,943997,4930.4400000000005,2026-04-23T21:59:14.645Z,bid-extra-60348901419,2026-04-23T23:55:14.039Z
5718589,944307,5566.04,2026-04-23T21:59:14.645Z,bid-extra-60348901429,2026-04-23T23:55:14.039Z
5718719,944617,6201.64,2026-04-23T21:59:14.645Z,bid-extra-60348901439,2026-04-23T23:55:14.039Z
5718849,944927,6837.24,2026-04-23T21:59:14.645Z,bid-extra-60348901449,2026-04-23T23:55:14.039Z
5718979,945237,7472.84,2026-04-23T21:59:14.646Z,bid-extra-60348901459,2026-04-23T23:55:14.039Z
5719109,945547,3568.44,2026-04-23T21:59:14.646Z,bid-extra-60348901469,2026-04-23T23:55:14.039Z
5719239,945857,4204.04,2026-04-23T21:59:14.646Z,bid-extra-60348901479,2026-04-23T23:55:14.039Z
5719369,946167,4839.64,2026-04-23T21:59:14.646Z,bid-extra-60348901489,2026-04-23T23:55:14.039Z
