auction,bidder,price,dateTime,extra,processed_time
6700129,900287,1026.04,2026-04-23T22:02:04.631Z,bid-extra-60365900009,2026-04-23T23:55:14.039Z
6700259,900597,1661.64,2026-04-23T22:02:04.631Z,bid-extra-60365900019,2026-04-23T23:55:14.039Z
6700389,900907,2297.2400000000002,2026-04-23T22:02:04.631Z,bid-extra-60365900029,2026-04-23T23:55:14.039Z
6700519,901217,2932.84,2026-04-23T22:02:04.631Z,bid-extra-60365900039,2026-04-23T23:55:14.039Z
6700649,901527,3568.44,2026-04-23T22:02:04.631Z,bid-extra-60365900049,2026-04-23T23:55:14.039Z
6700779,901837,4204.04,2026-04-23T22:02:04.632Z,bid-extra-60365900059,2026-04-23T23:55:14.039Z
6700909,902147,4839.64,2026-04-23T22:02:04.632Z,bid-extra-60365900069,2026-04-23T23:55:14.039Z
6701039,902457,5475.24,2026-04-23T22:02:04.632Z,bid-extra-60365900079,2026-04-23T23:55:14.039Z
6701169,902767,6110.84,2026-04-23T22:02:04.632Z,bid-extra-60365900089,2026-04-23T23:55:14.039Z
6701299,903077,6746.4400000000005,2026-04-23T22:02:04.632Z,bid-extra-60365900099,2026-04-23T23:55:14.039Z
6701429,903387,7382.04,2026-04-23T22:02:04.632Z,bid-extra-60365900109,2026-04-23T23:55:14.039Z
6701559,903697,8017.64,2026-04-23T22:02:04.632Z,bid-extra-60365900119,2026-04-23T23:55:14.039Z
6701689,904007,4113.24,2026-04-23T22:02:04.632Z,bid-extra-60365900129,2026-04-23T23:55:14.039Z
6701819,904317,4748.84,2026-04-23T22:02:04.632Z,bid-extra-60365900139,2026-04-23T23:55:14.039Z
6701949,904627,5384.4400000000005,2026-04-23T22:02:04.632Z,bid-extra-60365900149,2026-04-23T23:55:14.039Z
6702079,904937,6020.04,2026-04-23T22:02:04.633Z,bid-extra-60365900159,2026-04-23T23:55:14.039Z
6702209,905247,6655.64,2026-04-23T22:02:04.633Z,bid-extra-60365900169,2026-04-23T23:55:14.039Z
