auction,bidder,price,dateTime,extra,processed_time
2700129,900287,6292.4400000000005,2026-04-23T22:02:24.631Z,bid-extra-60367900009,2026-04-23T23:55:14.039Z
2700259,900597,6928.04,2026-04-23T22:02:24.631Z,bid-extra-60367900019,2026-04-23T23:55:14.039Z
2700389,900907,7563.64,2026-04-23T22:02:24.631Z,bid-extra-60367900029,2026-04-23T23:55:14.039Z
2700519,901217,8199.24,2026-04-23T22:02:24.631Z,bid-extra-60367900039,2026-04-23T23:55:14.039Z
2700649,901527,8834.84,2026-04-23T22:02:24.631Z,bid-extra-60367900049,2026-04-23T23:55:14.039Z
2700779,901837,9470.44,2026-04-23T22:02:24.632Z,bid-extra-60367900059,2026-04-23T23:55:14.039Z
2700909,902147,10106.04,2026-04-23T22:02:24.632Z,bid-extra-60367900069,2026-04-23T23:55:14.039Z
2701039,902457,10741.640000000001,2026-04-23T22:02:24.632Z,bid-extra-60367900079,2026-04-23T23:55:14.039Z
2701169,902767,11377.24,2026-04-23T22:02:24.632Z,bid-extra-60367900089,2026-04-23T23:55:14.039Z
2701299,903077,12012.84,2026-04-23T22:02:24.632Z,bid-extra-60367900099,2026-04-23T23:55:14.039Z
2701429,903387,12648.44,2026-04-23T22:02:24.632Z,bid-extra-60367900109,2026-04-23T23:55:14.039Z
2701559,903697,13284.04,2026-04-23T22:02:24.632Z,bid-extra-60367900119,2026-04-23T23:55:14.039Z
2701689,904007,390.44,2026-04-23T22:02:24.632Z,bid-extra-60367900129,2026-04-23T23:55:14.039Z
2701819,904317,1026.04,2026-04-23T22:02:24.632Z,bid-extra-60367900139,2026-04-23T23:55:14.039Z
2701949,904627,1661.64,2026-04-23T22:02:24.632Z,bid-extra-60367900149,2026-04-23T23:55:14.039Z
2702079,904937,2297.2400000000002,2026-04-23T22:02:24.633Z,bid-extra-60367900159,2026-04-23T23:55:14.039Z
2702209,905247,2932.84,2026-04-23T22:02:24.633Z,bid-extra-60367900169,2026-04-23T23:55:14.039Z
2702339,905557,3568.44,2026-04-23T22:02:24.633Z,bid-extra-60367900179,2026-04-23T23:55:14.039Z
2702469,905867,4204.04,2026-04-23T22:02:24.633Z,bid-extra-60367900189,2026-04-23T23:55:14.039Z
2702599,906177,4839.64,2026-04-23T22:02:24.633Z,bid-extra-60367900199,2026-04-23T23:55:14.039Z
2702729,906487,5475.24,2026-04-23T22:02:24.633Z,bid-extra-60367900209,2026-04-23T23:55:14.039Z
2702859,906797,6110.84,2026-04-23T22:02:24.633Z,bid-extra-60367900219,2026-04-23T23:55:14.039Z
2702989,907107,6746.4400000000005,2026-04-23T22:02:24.633Z,bid-extra-60367900229,2026-04-23T23:55:14.039Z
2703119,907417,7382.04,2026-04-23T22:02:24.633Z,bid-extra-60367900239,2026-04-23T23:55:14.039Z
2703249,907727,3477.6400000000003,2026-04-23T22:02:24.633Z,bid-extra-60367900249,2026-04-23T23:55:14.039Z
2703379,908037,4113.24,2026-04-23T22:02:24.634Z,bid-extra-60367900259,2026-04-23T23:55:14.039Z
2703509,908347,4748.84,2026-04-23T22:02:24.634Z,bid-extra-60367900269,2026-04-23T23:55:14.039Z
2703639,908657,5384.4400000000005,2026-04-23T22:02:24.634Z,bid-extra-60367900279,2026-04-23T23:55:14.039Z
2703769,908967,6020.04,2026-04-23T22:02:24.634Z,bid-extra-60367900289,2026-04-23T23:55:14.039Z
2703899,909277,6655.64,2026-04-23T22:02:24.634Z,bid-extra-60367900299,2026-04-23T23:55:14.039Z
2704029,909587,7291.24,2026-04-23T22:02:24.634Z,bid-extra-60367900309,2026-04-23T23:55:14.039Z
2704159,909897,7926.84,2026-04-23T22:02:24.634Z,bid-extra-60367900319,2026-04-23T23:55:14.039Z
2704289,910207,8562.44,2026-04-23T22:02:24.634Z,bid-extra-60367900329,2026-04-23T23:55:14.039Z
2704419,910517,9198.04,2026-04-23T22:02:24.634Z,bid-extra-60367900339,2026-04-23T23:55:14.039Z
2704549,910827,9833.64,2026-04-23T22:02:24.634Z,bid-extra-60367900349,2026-04-23T23:55:14.039Z
2704679,911137,10469.24,2026-04-23T22:02:24.635Z,bid-extra-60367900359,2026-04-23T23:55:14.039Z
2704809,911447,6564.84,2026-04-23T22:02:24.635Z,bid-extra-60367900369,2026-04-23T23:55:14.039Z
2704939,911757,7200.4400000000005,2026-04-23T22:02:24.635Z,bid-extra-60367900379,2026-04-23T23:55:14.039Z
2705069,912067,7836.04,2026-04-23T22:02:24.635Z,bid-extra-60367900389,2026-04-23T23:55:14.039Z
2705199,912377,8471.64,2026-04-23T22:02:24.635Z,bid-extra-60367900399,2026-04-23T23:55:14.039Z
2705329,912687,9107.24,2026-04-23T22:02:24.635Z,bid-extra-60367900409,2026-04-23T23:55:14.039Z
2705459,912997,9742.84,2026-04-23T22:02:24.635Z,bid-extra-60367900419,2026-04-23T23:55:14.039Z
2705589,913307,10378.44,2026-04-23T22:02:24.635Z,bid-extra-60367900429,2026-04-23T23:55:14.039Z
2705719,913617,11014.04,2026-04-23T22:02:24.635Z,bid-extra-60367900439,2026-04-23T23:55:14.039Z
2705849,913927,11649.640000000001,2026-04-23T22:02:24.635Z,bid-extra-60367900449,2026-04-23T23:55:14.039Z
2705979,914237,12285.24,2026-04-23T22:02:24.636Z,bid-extra-60367900459,2026-04-23T23:55:14.039Z
2706109,914547,3931.6400000000003,2026-04-23T22:02:24.636Z,bid-extra-60367900469,2026-04-23T23:55:14.039Z
2706239,914857,4567.24,2026-04-23T22:02:24.636Z,bid-extra-60367900479,2026-04-23T23:55:14.039Z
2706369,915167,662.84,2026-04-23T22:02:24.636Z,bid-extra-60367900489,2026-04-23T23:55:14.039Z
2706499,915477,1298.44,2026-04-23T22:02:24.636Z,bid-extra-60367900499,2026-04-23T23:55:14.039Z
2706629,915787,1934.04,2026-04-23T22:02:24.636Z,bid-extra-60367900509,2026-04-23T23:55:14.039Z
2706759,916097,2569.64,2026-04-23T22:02:24.636Z,bid-extra-60367900519,2026-04-23T23:55:14.039Z
2706889,916407,3205.2400000000002,2026-04-23T22:02:24.636Z,bid-extra-60367900529,2026-04-23T23:55:14.039Z
2707019,916717,3840.84,2026-04-23T22:02:24.636Z,bid-extra-60367900539,2026-04-23T23:55:14.039Z
2707149,917027,4476.4400000000005,2026-04-23T22:02:24.636Z,bid-extra-60367900549,2026-04-23T23:55:14.039Z
2707279,917337,5112.04,2026-04-23T22:02:24.637Z,bid-extra-60367900559,2026-04-23T23:55:14.039Z
2707409,917647,5747.64,2026-04-23T22:02:24.637Z,bid-extra-60367900569,2026-04-23T23:55:14.039Z
2707539,917957,6383.24,2026-04-23T22:02:24.637Z,bid-extra-60367900579,2026-04-23T23:55:14.039Z
2707669,918267,7018.84,2026-04-23T22:02:24.637Z,bid-extra-60367900589,2026-04-23T23:55:14.039Z
2707799,918577,7654.4400000000005,2026-04-23T22:02:24.637Z,bid-extra-60367900599,2026-04-23T23:55:14.039Z
2707929,918887,8290.04,2026-04-23T22:02:24.637Z,bid-extra-60367900609,2026-04-23T23:55:14.039Z
2708059,919197,4385.64,2026-04-23T22:02:24.637Z,bid-extra-60367900619,2026-04-23T23:55:14.039Z
2708189,919507,5021.24,2026-04-23T22:02:24.637Z,bid-extra-60367900629,2026-04-23T23:55:14.039Z
2708319,919817,5656.84,2026-04-23T22:02:24.637Z,bid-extra-60367900639,2026-04-23T23:55:14.039Z
2708449,920127,6292.4400000000005,2026-04-23T22:02:24.637Z,bid-extra-60367900649,2026-04-23T23:55:14.039Z
2708579,920437,6928.04,2026-04-23T22:02:24.638Z,bid-extra-60367900659,2026-04-23T23:55:14.039Z
2708709,920747,7563.64,2026-04-23T22:02:24.638Z,bid-extra-60367900669,2026-04-23T23:55:14.039Z
2708839,921057,8199.24,2026-04-23T22:02:24.638Z,bid-extra-60367900679,2026-04-23T23:55:14.039Z
2708969,921367,8834.84,2026-04-23T22:02:24.638Z,bid-extra-60367900689,2026-04-23T23:55:14.039Z
2709099,921677,9470.44,2026-04-23T22:02:24.638Z,bid-extra-60367900699,2026-04-23T23:55:14.039Z
2709229,921987,10106.04,2026-04-23T22:02:24.638Z,bid-extra-60367900709,2026-04-23T23:55:14.039Z
2709359,922297,10741.640000000001,2026-04-23T22:02:24.638Z,bid-extra-60367900719,2026-04-23T23:55:14.039Z
2709489,922607,11377.24,2026-04-23T22:02:24.638Z,bid-extra-60367900729,2026-04-23T23:55:14.039Z
2709619,922917,7472.84,2026-04-23T22:02:24.638Z,bid-extra-60367900739,2026-04-23T23:55:14.039Z
2709749,923227,8108.4400000000005,2026-04-23T22:02:24.638Z,bid-extra-60367900749,2026-04-23T23:55:14.039Z
2709879,923537,8744.04,2026-04-23T22:02:24.639Z,bid-extra-60367900759,2026-04-23T23:55:14.039Z
2710009,923847,9379.64,2026-04-23T22:02:24.639Z,bid-extra-60367900769,2026-04-23T23:55:14.039Z
2710139,924157,10015.24,2026-04-23T22:02:24.639Z,bid-extra-60367900779,2026-04-23T23:55:14.039Z
2710269,924467,10650.84,2026-04-23T22:02:24.639Z,bid-extra-60367900789,2026-04-23T23:55:14.039Z
2710399,924777,11286.44,2026-04-23T22:02:24.639Z,bid-extra-60367900799,2026-04-23T23:55:14.039Z
2710529,925087,11922.04,2026-04-23T22:02:24.639Z,bid-extra-60367900809,2026-04-23T23:55:14.039Z
2710659,925397,3568.44,2026-04-23T22:02:24.639Z,bid-extra-60367900819,2026-04-23T23:55:14.039Z
2710789,925707,4204.04,2026-04-23T22:02:24.639Z,bid-extra-60367900829,2026-04-23T23:55:14.039Z
2710919,926017,4839.64,2026-04-23T22:02:24.639Z,bid-extra-60367900839,2026-04-23T23:55:14.039Z
2711049,926327,5475.24,2026-04-23T22:02:24.639Z,bid-extra-60367900849,2026-04-23T23:55:14.039Z
2711179,926637,1570.8400000000001,2026-04-23T22:02:24.640Z,bid-extra-60367900859,2026-04-23T23:55:14.039Z
2711309,926947,2206.44,2026-04-23T22:02:24.640Z,bid-extra-60367900869,2026-04-23T23:55:14.039Z
2711439,927257,2842.04,2026-04-23T22:02:24.640Z,bid-extra-60367900879,2026-04-23T23:55:14.039Z
2711569,927567,3477.6400000000003,2026-04-23T22:02:24.640Z,bid-extra-60367900889,2026-04-23T23:55:14.039Z
2711699,927877,4113.24,2026-04-23T22:02:24.640Z,bid-extra-60367900899,2026-04-23T23:55:14.039Z
2711829,928187,4748.84,2026-04-23T22:02:24.640Z,bid-extra-60367900909,2026-04-23T23:55:14.039Z
2711959,928497,5384.4400000000005,2026-04-23T22:02:24.640Z,bid-extra-60367900919,2026-04-23T23:55:14.039Z
2712089,928807,6020.04,2026-04-23T22:02:24.640Z,bid-extra-60367900929,2026-04-23T23:55:14.039Z
2712219,929117,6655.64,2026-04-23T22:02:24.640Z,bid-extra-60367900939,2026-04-23T23:55:14.039Z
2712349,929427,7291.24,2026-04-23T22:02:24.640Z,bid-extra-60367900949,2026-04-23T23:55:14.039Z
2712479,929737,7926.84,2026-04-23T22:02:24.641Z,bid-extra-60367900959,2026-04-23T23:55:14.039Z
2712609,930047,8562.44,2026-04-23T22:02:24.641Z,bid-extra-60367900969,2026-04-23T23:55:14.039Z
2712739,930357,4658.04,2026-04-23T22:02:24.641Z,bid-extra-60367900979,2026-04-23T23:55:14.039Z
2712869,930667,5293.64,2026-04-23T22:02:24.641Z,bid-extra-60367900989,2026-04-23T23:55:14.039Z
2712999,930977,5929.24,2026-04-23T22:02:24.641Z,bid-extra-60367900999,2026-04-23T23:55:14.039Z
2713129,931287,6564.84,2026-04-23T22:02:24.641Z,bid-extra-60367901009,2026-04-23T23:55:14.039Z
2713259,931597,7200.4400000000005,2026-04-23T22:02:24.641Z,bid-extra-60367901019,2026-04-23T23:55:14.039Z
2713389,931907,7836.04,2026-04-23T22:02:24.641Z,bid-extra-60367901029,2026-04-23T23:55:14.039Z
2713519,932217,8471.64,2026-04-23T22:02:24.641Z,bid-extra-60367901039,2026-04-23T23:55:14.039Z
2713649,932527,9107.24,2026-04-23T22:02:24.641Z,bid-extra-60367901049,2026-04-23T23:55:14.039Z
2713779,932837,9742.84,2026-04-23T22:02:24.642Z,bid-extra-60367901059,2026-04-23T23:55:14.039Z
2713909,933147,10378.44,2026-04-23T22:02:24.642Z,bid-extra-60367901069,2026-04-23T23:55:14.039Z
2714039,933457,11014.04,2026-04-23T22:02:24.642Z,bid-extra-60367901079,2026-04-23T23:55:14.039Z
2714169,933767,11649.640000000001,2026-04-23T22:02:24.642Z,bid-extra-60367901089,2026-04-23T23:55:14.039Z
2714299,934077,7745.240000000001,2026-04-23T22:02:24.642Z,bid-extra-60367901099,2026-04-23T23:55:14.039Z
2714429,934387,8380.84,2026-04-23T22:02:24.642Z,bid-extra-60367901109,2026-04-23T23:55:14.039Z
2714559,934697,9016.44,2026-04-23T22:02:24.642Z,bid-extra-60367901119,2026-04-23T23:55:14.039Z
2714689,935007,9652.04,2026-04-23T22:02:24.642Z,bid-extra-60367901129,2026-04-23T23:55:14.039Z
2714819,935317,10287.640000000001,2026-04-23T22:02:24.642Z,bid-extra-60367901139,2026-04-23T23:55:14.039Z
2714949,935627,10923.24,2026-04-23T22:02:24.642Z,bid-extra-60367901149,2026-04-23T23:55:14.039Z
2715079,935937,2569.64,2026-04-23T22:02:24.643Z,bid-extra-60367901159,2026-04-23T23:55:14.039Z
2715209,936247,3205.2400000000002,2026-04-23T22:02:24.643Z,bid-extra-60367901169,2026-04-23T23:55:14.039Z
2715339,936557,3840.84,2026-04-23T22:02:24.643Z,bid-extra-60367901179,2026-04-23T23:55:14.039Z
2715469,936867,4476.4400000000005,2026-04-23T22:02:24.643Z,bid-extra-60367901189,2026-04-23T23:55:14.039Z
2715599,937177,5112.04,2026-04-23T22:02:24.643Z,bid-extra-60367901199,2026-04-23T23:55:14.039Z
2715729,937487,5747.64,2026-04-23T22:02:24.643Z,bid-extra-60367901209,2026-04-23T23:55:14.039Z
2715859,937797,6383.24,2026-04-23T22:02:24.643Z,bid-extra-60367901219,2026-04-23T23:55:14.039Z
2715989,938107,2478.84,2026-04-23T22:02:24.643Z,bid-extra-60367901229,2026-04-23T23:55:14.039Z
