auction,bidder,price,dateTime,extra,processed_time
700129,900287,6020.04,2026-04-23T21:58:24.631Z,bid-extra-60343900009,2026-04-23T23:55:14.039Z
700259,900597,6655.64,2026-04-23T21:58:24.631Z,bid-extra-60343900019,2026-04-23T23:55:14.039Z
700389,900907,7291.24,2026-04-23T21:58:24.631Z,bid-extra-60343900029,2026-04-23T23:55:14.039Z
700519,901217,7926.84,2026-04-23T21:58:24.631Z,bid-extra-60343900039,2026-04-23T23:55:14.039Z
700649,901527,8562.44,2026-04-23T21:58:24.631Z,bid-extra-60343900049,2026-04-23T23:55:14.039Z
700779,901837,9198.04,2026-04-23T21:58:24.632Z,bid-extra-60343900059,2026-04-23T23:55:14.039Z
700909,902147,9833.64,2026-04-23T21:58:24.632Z,bid-extra-60343900069,2026-04-23T23:55:14.039Z
701039,902457,10469.24,2026-04-23T21:58:24.632Z,bid-extra-60343900079,2026-04-23T23:55:14.039Z
701169,902767,11104.84,2026-04-23T21:58:24.632Z,bid-extra-60343900089,2026-04-23T23:55:14.039Z
701299,903077,11740.44,2026-04-23T21:58:24.632Z,bid-extra-60343900099,2026-04-23T23:55:14.039Z
701429,903387,12376.04,2026-04-23T21:58:24.632Z,bid-extra-60343900109,2026-04-23T23:55:14.039Z
701559,903697,13011.640000000001,2026-04-23T21:58:24.632Z,bid-extra-60343900119,2026-04-23T23:55:14.039Z
701689,904007,9107.24,2026-04-23T21:58:24.632Z,bid-extra-60343900129,2026-04-23T23:55:14.039Z
701819,904317,753.64,2026-04-23T21:58:24.632Z,bid-extra-60343900139,2026-04-23T23:55:14.039Z
701949,904627,1389.24,2026-04-23T21:58:24.632Z,bid-extra-60343900149,2026-04-23T23:55:14.039Z
702079,904937,2024.8400000000001,2026-04-23T21:58:24.633Z,bid-extra-60343900159,2026-04-23T23:55:14.039Z
702209,905247,2660.44,2026-04-23T21:58:24.633Z,bid-extra-60343900169,2026-04-23T23:55:14.039Z
702339,905557,3296.04,2026-04-23T21:58:24.633Z,bid-extra-60343900179,2026-04-23T23:55:14.039Z
702469,905867,3931.6400000000003,2026-04-23T21:58:24.633Z,bid-extra-60343900189,2026-04-23T23:55:14.039Z
