auction,bidder,price,dateTime,extra,processed_time
1700129,900287,5838.4400000000005,2026-04-23T22:01:14.631Z,bid-extra-60360900009,2026-04-23T23:55:14.039Z
1700259,900597,6474.04,2026-04-23T22:01:14.631Z,bid-extra-60360900019,2026-04-23T23:55:14.039Z
1700389,900907,7109.64,2026-04-23T22:01:14.631Z,bid-extra-60360900029,2026-04-23T23:55:14.039Z
1700519,901217,7745.240000000001,2026-04-23T22:01:14.631Z,bid-extra-60360900039,2026-04-23T23:55:14.039Z
1700649,901527,8380.84,2026-04-23T22:01:14.631Z,bid-extra-60360900049,2026-04-23T23:55:14.039Z
1700779,901837,9016.44,2026-04-23T22:01:14.632Z,bid-extra-60360900059,2026-04-23T23:55:14.039Z
1700909,902147,9652.04,2026-04-23T22:01:14.632Z,bid-extra-60360900069,2026-04-23T23:55:14.039Z
1701039,902457,10287.640000000001,2026-04-23T22:01:14.632Z,bid-extra-60360900079,2026-04-23T23:55:14.039Z
1701169,902767,10923.24,2026-04-23T22:01:14.632Z,bid-extra-60360900089,2026-04-23T23:55:14.039Z
1701299,903077,11558.84,2026-04-23T22:01:14.632Z,bid-extra-60360900099,2026-04-23T23:55:14.039Z
1701429,903387,12194.44,2026-04-23T22:01:14.632Z,bid-extra-60360900109,2026-04-23T23:55:14.039Z
1701559,903697,12830.04,2026-04-23T22:01:14.632Z,bid-extra-60360900119,2026-04-23T23:55:14.039Z
1701689,904007,8925.64,2026-04-23T22:01:14.632Z,bid-extra-60360900129,2026-04-23T23:55:14.039Z
1701819,904317,9561.24,2026-04-23T22:01:14.632Z,bid-extra-60360900139,2026-04-23T23:55:14.039Z
1701949,904627,1207.64,2026-04-23T22:01:14.632Z,bid-extra-60360900149,2026-04-23T23:55:14.039Z
1702079,904937,1843.24,2026-04-23T22:01:14.633Z,bid-extra-60360900159,2026-04-23T23:55:14.039Z
1702209,905247,2478.84,2026-04-23T22:01:14.633Z,bid-extra-60360900169,2026-04-23T23:55:14.039Z
1702339,905557,3114.44,2026-04-23T22:01:14.633Z,bid-extra-60360900179,2026-04-23T23:55:14.039Z
1702469,905867,3750.04,2026-04-23T22:01:14.633Z,bid-extra-60360900189,2026-04-23T23:55:14.039Z
1702599,906177,4385.64,2026-04-23T22:01:14.633Z,bid-extra-60360900199,2026-04-23T23:55:14.039Z
1702729,906487,5021.24,2026-04-23T22:01:14.633Z,bid-extra-60360900209,2026-04-23T23:55:14.039Z
1702859,906797,5656.84,2026-04-23T22:01:14.633Z,bid-extra-60360900219,2026-04-23T23:55:14.039Z
1702989,907107,6292.4400000000005,2026-04-23T22:01:14.633Z,bid-extra-60360900229,2026-04-23T23:55:14.039Z
1703119,907417,6928.04,2026-04-23T22:01:14.633Z,bid-extra-60360900239,2026-04-23T23:55:14.039Z
1703249,907727,3023.64,2026-04-23T22:01:14.633Z,bid-extra-60360900249,2026-04-23T23:55:14.039Z
1703379,908037,3659.2400000000002,2026-04-23T22:01:14.634Z,bid-extra-60360900259,2026-04-23T23:55:14.039Z
1703509,908347,4294.84,2026-04-23T22:01:14.634Z,bid-extra-60360900269,2026-04-23T23:55:14.039Z
1703639,908657,4930.4400000000005,2026-04-23T22:01:14.634Z,bid-extra-60360900279,2026-04-23T23:55:14.039Z
1703769,908967,5566.04,2026-04-23T22:01:14.634Z,bid-extra-60360900289,2026-04-23T23:55:14.039Z
1703899,909277,6201.64,2026-04-23T22:01:14.634Z,bid-extra-60360900299,2026-04-23T23:55:14.039Z
1704029,909587,6837.24,2026-04-23T22:01:14.634Z,bid-extra-60360900309,2026-04-23T23:55:14.039Z
1704159,909897,7472.84,2026-04-23T22:01:14.634Z,bid-extra-60360900319,2026-04-23T23:55:14.039Z
1704289,910207,8108.4400000000005,2026-04-23T22:01:14.634Z,bid-extra-60360900329,2026-04-23T23:55:14.039Z
1704419,910517,8744.04,2026-04-23T22:01:14.634Z,bid-extra-60360900339,2026-04-23T23:55:14.039Z
1704549,910827,9379.64,2026-04-23T22:01:14.634Z,bid-extra-60360900349,2026-04-23T23:55:14.039Z
1704679,911137,10015.24,2026-04-23T22:01:14.635Z,bid-extra-60360900359,2026-04-23T23:55:14.039Z
1704809,911447,6110.84,2026-04-23T22:01:14.635Z,bid-extra-60360900369,2026-04-23T23:55:14.039Z
1704939,911757,6746.4400000000005,2026-04-23T22:01:14.635Z,bid-extra-60360900379,2026-04-23T23:55:14.039Z
1705069,912067,7382.04,2026-04-23T22:01:14.635Z,bid-extra-60360900389,2026-04-23T23:55:14.039Z
1705199,912377,8017.64,2026-04-23T22:01:14.635Z,bid-extra-60360900399,2026-04-23T23:55:14.039Z
1705329,912687,8653.24,2026-04-23T22:01:14.635Z,bid-extra-60360900409,2026-04-23T23:55:14.039Z
1705459,912997,9288.84,2026-04-23T22:01:14.635Z,bid-extra-60360900419,2026-04-23T23:55:14.039Z
1705589,913307,9924.44,2026-04-23T22:01:14.635Z,bid-extra-60360900429,2026-04-23T23:55:14.039Z
1705719,913617,10560.04,2026-04-23T22:01:14.635Z,bid-extra-60360900439,2026-04-23T23:55:14.039Z
1705849,913927,11195.640000000001,2026-04-23T22:01:14.635Z,bid-extra-60360900449,2026-04-23T23:55:14.039Z
1705979,914237,11831.24,2026-04-23T22:01:14.636Z,bid-extra-60360900459,2026-04-23T23:55:14.039Z
1706109,914547,12466.84,2026-04-23T22:01:14.636Z,bid-extra-60360900469,2026-04-23T23:55:14.039Z
1706239,914857,13102.44,2026-04-23T22:01:14.636Z,bid-extra-60360900479,2026-04-23T23:55:14.039Z
1706369,915167,208.84,2026-04-23T22:01:14.636Z,bid-extra-60360900489,2026-04-23T23:55:14.039Z
1706499,915477,844.44,2026-04-23T22:01:14.636Z,bid-extra-60360900499,2026-04-23T23:55:14.039Z
