auction,bidder,price,dateTime,extra,processed_time
7700129,900287,3386.84,2026-04-23T21:58:14.631Z,bid-extra-60342900009,2026-04-23T23:55:14.039Z
7700259,900597,4022.44,2026-04-23T21:58:14.631Z,bid-extra-60342900019,2026-04-23T23:55:14.039Z
7700389,900907,4658.04,2026-04-23T21:58:14.631Z,bid-extra-60342900029,2026-04-23T23:55:14.039Z
7700519,901217,5293.64,2026-04-23T21:58:14.631Z,bid-extra-60342900039,2026-04-23T23:55:14.039Z
7700649,901527,5929.24,2026-04-23T21:58:14.631Z,bid-extra-60342900049,2026-04-23T23:55:14.039Z
7700779,901837,6564.84,2026-04-23T21:58:14.632Z,bid-extra-60342900059,2026-04-23T23:55:14.039Z
7700909,902147,7200.4400000000005,2026-04-23T21:58:14.632Z,bid-extra-60342900069,2026-04-23T23:55:14.039Z
7701039,902457,7836.04,2026-04-23T21:58:14.632Z,bid-extra-60342900079,2026-04-23T23:55:14.039Z
7701169,902767,8471.64,2026-04-23T21:58:14.632Z,bid-extra-60342900089,2026-04-23T23:55:14.039Z
7701299,903077,9107.24,2026-04-23T21:58:14.632Z,bid-extra-60342900099,2026-04-23T23:55:14.039Z
7701429,903387,9742.84,2026-04-23T21:58:14.632Z,bid-extra-60342900109,2026-04-23T23:55:14.039Z
7701559,903697,10378.44,2026-04-23T21:58:14.632Z,bid-extra-60342900119,2026-04-23T23:55:14.039Z
7701689,904007,6474.04,2026-04-23T21:58:14.632Z,bid-extra-60342900129,2026-04-23T23:55:14.039Z
7701819,904317,7109.64,2026-04-23T21:58:14.632Z,bid-extra-60342900139,2026-04-23T23:55:14.039Z
7701949,904627,7745.240000000001,2026-04-23T21:58:14.632Z,bid-extra-60342900149,2026-04-23T23:55:14.039Z
7702079,904937,8380.84,2026-04-23T21:58:14.633Z,bid-extra-60342900159,2026-04-23T23:55:14.039Z
7702209,905247,9016.44,2026-04-23T21:58:14.633Z,bid-extra-60342900169,2026-04-23T23:55:14.039Z
7702339,905557,9652.04,2026-04-23T21:58:14.633Z,bid-extra-60342900179,2026-04-23T23:55:14.039Z
7702469,905867,10287.640000000001,2026-04-23T21:58:14.633Z,bid-extra-60342900189,2026-04-23T23:55:14.039Z
7702599,906177,10923.24,2026-04-23T21:58:14.633Z,bid-extra-60342900199,2026-04-23T23:55:14.039Z
7702729,906487,11558.84,2026-04-23T21:58:14.633Z,bid-extra-60342900209,2026-04-23T23:55:14.039Z
7702859,906797,12194.44,2026-04-23T21:58:14.633Z,bid-extra-60342900219,2026-04-23T23:55:14.039Z
7702989,907107,12830.04,2026-04-23T21:58:14.633Z,bid-extra-60342900229,2026-04-23T23:55:14.039Z
7703119,907417,4476.4400000000005,2026-04-23T21:58:14.633Z,bid-extra-60342900239,2026-04-23T23:55:14.039Z
7703249,907727,572.04,2026-04-23T21:58:14.633Z,bid-extra-60342900249,2026-04-23T23:55:14.039Z
7703379,908037,1207.64,2026-04-23T21:58:14.634Z,bid-extra-60342900259,2026-04-23T23:55:14.039Z
7703509,908347,1843.24,2026-04-23T21:58:14.634Z,bid-extra-60342900269,2026-04-23T23:55:14.039Z
7703639,908657,2478.84,2026-04-23T21:58:14.634Z,bid-extra-60342900279,2026-04-23T23:55:14.039Z
7703769,908967,3114.44,2026-04-23T21:58:14.634Z,bid-extra-60342900289,2026-04-23T23:55:14.039Z
7703899,909277,3750.04,2026-04-23T21:58:14.634Z,bid-extra-60342900299,2026-04-23T23:55:14.039Z
7704029,909587,4385.64,2026-04-23T21:58:14.634Z,bid-extra-60342900309,2026-04-23T23:55:14.039Z
7704159,909897,5021.24,2026-04-23T21:58:14.634Z,bid-extra-60342900319,2026-04-23T23:55:14.039Z
7704289,910207,5656.84,2026-04-23T21:58:14.634Z,bid-extra-60342900329,2026-04-23T23:55:14.039Z
