auction,bidder,price,dateTime,extra,processed_time
9700129,900287,4294.84,2026-04-23T22:00:34.631Z,bid-extra-60356900009,2026-04-23T23:55:14.039Z
9700259,900597,4930.4400000000005,2026-04-23T22:00:34.631Z,bid-extra-60356900019,2026-04-23T23:55:14.039Z
9700389,900907,5566.04,2026-04-23T22:00:34.631Z,bid-extra-60356900029,2026-04-23T23:55:14.039Z
9700519,901217,6201.64,2026-04-23T22:00:34.631Z,bid-extra-60356900039,2026-04-23T23:55:14.039Z
9700649,901527,6837.24,2026-04-23T22:00:34.631Z,bid-extra-60356900049,2026-04-23T23:55:14.039Z
9700779,901837,7472.84,2026-04-23T22:00:34.632Z,bid-extra-60356900059,2026-04-23T23:55:14.039Z
9700909,902147,8108.4400000000005,2026-04-23T22:00:34.632Z,bid-extra-60356900069,2026-04-23T23:55:14.039Z
9701039,902457,8744.04,2026-04-23T22:00:34.632Z,bid-extra-60356900079,2026-04-23T23:55:14.039Z
9701169,902767,9379.64,2026-04-23T22:00:34.632Z,bid-extra-60356900089,2026-04-23T23:55:14.039Z
9701299,903077,10015.24,2026-04-23T22:00:34.632Z,bid-extra-60356900099,2026-04-23T23:55:14.039Z
9701429,903387,10650.84,2026-04-23T22:00:34.632Z,bid-extra-60356900109,2026-04-23T23:55:14.039Z
9701559,903697,11286.44,2026-04-23T22:00:34.632Z,bid-extra-60356900119,2026-04-23T23:55:14.039Z
9701689,904007,7382.04,2026-04-23T22:00:34.632Z,bid-extra-60356900129,2026-04-23T23:55:14.039Z
9701819,904317,8017.64,2026-04-23T22:00:34.632Z,bid-extra-60356900139,2026-04-23T23:55:14.039Z
9701949,904627,8653.24,2026-04-23T22:00:34.632Z,bid-extra-60356900149,2026-04-23T23:55:14.039Z
9702079,904937,9288.84,2026-04-23T22:00:34.633Z,bid-extra-60356900159,2026-04-23T23:55:14.039Z
9702209,905247,9924.44,2026-04-23T22:00:34.633Z,bid-extra-60356900169,2026-04-23T23:55:14.039Z
9702339,905557,10560.04,2026-04-23T22:00:34.633Z,bid-extra-60356900179,2026-04-23T23:55:14.039Z
9702469,905867,11195.640000000001,2026-04-23T22:00:34.633Z,bid-extra-60356900189,2026-04-23T23:55:14.039Z
9702599,906177,11831.24,2026-04-23T22:00:34.633Z,bid-extra-60356900199,2026-04-23T23:55:14.039Z
9702729,906487,3477.6400000000003,2026-04-23T22:00:34.633Z,bid-extra-60356900209,2026-04-23T23:55:14.039Z
9702859,906797,4113.24,2026-04-23T22:00:34.633Z,bid-extra-60356900219,2026-04-23T23:55:14.039Z
9702989,907107,4748.84,2026-04-23T22:00:34.633Z,bid-extra-60356900229,2026-04-23T23:55:14.039Z
9703119,907417,5384.4400000000005,2026-04-23T22:00:34.633Z,bid-extra-60356900239,2026-04-23T23:55:14.039Z
9703249,907727,1480.04,2026-04-23T22:00:34.633Z,bid-extra-60356900249,2026-04-23T23:55:14.039Z
9703379,908037,2115.64,2026-04-23T22:00:34.634Z,bid-extra-60356900259,2026-04-23T23:55:14.039Z
9703509,908347,2751.2400000000002,2026-04-23T22:00:34.634Z,bid-extra-60356900269,2026-04-23T23:55:14.039Z
9703639,908657,3386.84,2026-04-23T22:00:34.634Z,bid-extra-60356900279,2026-04-23T23:55:14.039Z
