auction,bidder,price,dateTime,extra,processed_time
6700129,900287,1661.64,2026-04-23T22:00:24.631Z,bid-extra-60355900009,2026-04-23T23:55:14.039Z
6700259,900597,2297.2400000000002,2026-04-23T22:00:24.631Z,bid-extra-60355900019,2026-04-23T23:55:14.039Z
6700389,900907,2932.84,2026-04-23T22:00:24.631Z,bid-extra-60355900029,2026-04-23T23:55:14.039Z
6700519,901217,3568.44,2026-04-23T22:00:24.631Z,bid-extra-60355900039,2026-04-23T23:55:14.039Z
6700649,901527,4204.04,2026-04-23T22:00:24.631Z,bid-extra-60355900049,2026-04-23T23:55:14.039Z
6700779,901837,4839.64,2026-04-23T22:00:24.632Z,bid-extra-60355900059,2026-04-23T23:55:14.039Z
6700909,902147,5475.24,2026-04-23T22:00:24.632Z,bid-extra-60355900069,2026-04-23T23:55:14.039Z
6701039,902457,6110.84,2026-04-23T22:00:24.632Z,bid-extra-60355900079,2026-04-23T23:55:14.039Z
6701169,902767,6746.4400000000005,2026-04-23T22:00:24.632Z,bid-extra-60355900089,2026-04-23T23:55:14.039Z
6701299,903077,7382.04,2026-04-23T22:00:24.632Z,bid-extra-60355900099,2026-04-23T23:55:14.039Z
6701429,903387,8017.64,2026-04-23T22:00:24.632Z,bid-extra-60355900109,2026-04-23T23:55:14.039Z
6701559,903697,8653.24,2026-04-23T22:00:24.632Z,bid-extra-60355900119,2026-04-23T23:55:14.039Z
6701689,904007,4748.84,2026-04-23T22:00:24.632Z,bid-extra-60355900129,2026-04-23T23:55:14.039Z
6701819,904317,5384.4400000000005,2026-04-23T22:00:24.632Z,bid-extra-60355900139,2026-04-23T23:55:14.039Z
6701949,904627,6020.04,2026-04-23T22:00:24.632Z,bid-extra-60355900149,2026-04-23T23:55:14.039Z
6702079,904937,6655.64,2026-04-23T22:00:24.633Z,bid-extra-60355900159,2026-04-23T23:55:14.039Z
6702209,905247,7291.24,2026-04-23T22:00:24.633Z,bid-extra-60355900169,2026-04-23T23:55:14.039Z
6702339,905557,7926.84,2026-04-23T22:00:24.633Z,bid-extra-60355900179,2026-04-23T23:55:14.039Z
6702469,905867,8562.44,2026-04-23T22:00:24.633Z,bid-extra-60355900189,2026-04-23T23:55:14.039Z
6702599,906177,9198.04,2026-04-23T22:00:24.633Z,bid-extra-60355900199,2026-04-23T23:55:14.039Z
6702729,906487,9833.64,2026-04-23T22:00:24.633Z,bid-extra-60355900209,2026-04-23T23:55:14.039Z
6702859,906797,10469.24,2026-04-23T22:00:24.633Z,bid-extra-60355900219,2026-04-23T23:55:14.039Z
6702989,907107,11104.84,2026-04-23T22:00:24.633Z,bid-extra-60355900229,2026-04-23T23:55:14.039Z
6703119,907417,11740.44,2026-04-23T22:00:24.633Z,bid-extra-60355900239,2026-04-23T23:55:14.039Z
6703249,907727,7836.04,2026-04-23T22:00:24.633Z,bid-extra-60355900249,2026-04-23T23:55:14.039Z
6703379,908037,8471.64,2026-04-23T22:00:24.634Z,bid-extra-60355900259,2026-04-23T23:55:14.039Z
6703509,908347,9107.24,2026-04-23T22:00:24.634Z,bid-extra-60355900269,2026-04-23T23:55:14.039Z
6703639,908657,9742.84,2026-04-23T22:00:24.634Z,bid-extra-60355900279,2026-04-23T23:55:14.039Z
6703769,908967,10378.44,2026-04-23T22:00:24.634Z,bid-extra-60355900289,2026-04-23T23:55:14.039Z
6703899,909277,11014.04,2026-04-23T22:00:24.634Z,bid-extra-60355900299,2026-04-23T23:55:14.039Z
6704029,909587,2660.44,2026-04-23T22:00:24.634Z,bid-extra-60355900309,2026-04-23T23:55:14.039Z
6704159,909897,3296.04,2026-04-23T22:00:24.634Z,bid-extra-60355900319,2026-04-23T23:55:14.039Z
6704289,910207,3931.6400000000003,2026-04-23T22:00:24.634Z,bid-extra-60355900329,2026-04-23T23:55:14.039Z
6704419,910517,4567.24,2026-04-23T22:00:24.634Z,bid-extra-60355900339,2026-04-23T23:55:14.039Z
6704549,910827,5202.84,2026-04-23T22:00:24.634Z,bid-extra-60355900349,2026-04-23T23:55:14.039Z
6704679,911137,5838.4400000000005,2026-04-23T22:00:24.635Z,bid-extra-60355900359,2026-04-23T23:55:14.039Z
6704809,911447,1934.04,2026-04-23T22:00:24.635Z,bid-extra-60355900369,2026-04-23T23:55:14.039Z
6704939,911757,2569.64,2026-04-23T22:00:24.635Z,bid-extra-60355900379,2026-04-23T23:55:14.039Z
6705069,912067,3205.2400000000002,2026-04-23T22:00:24.635Z,bid-extra-60355900389,2026-04-23T23:55:14.039Z
6705199,912377,3840.84,2026-04-23T22:00:24.635Z,bid-extra-60355900399,2026-04-23T23:55:14.039Z
6705329,912687,4476.4400000000005,2026-04-23T22:00:24.635Z,bid-extra-60355900409,2026-04-23T23:55:14.039Z
6705459,912997,5112.04,2026-04-23T22:00:24.635Z,bid-extra-60355900419,2026-04-23T23:55:14.039Z
6705589,913307,5747.64,2026-04-23T22:00:24.635Z,bid-extra-60355900429,2026-04-23T23:55:14.039Z
6705719,913617,6383.24,2026-04-23T22:00:24.635Z,bid-extra-60355900439,2026-04-23T23:55:14.039Z
6705849,913927,7018.84,2026-04-23T22:00:24.635Z,bid-extra-60355900449,2026-04-23T23:55:14.039Z
6705979,914237,7654.4400000000005,2026-04-23T22:00:24.636Z,bid-extra-60355900459,2026-04-23T23:55:14.039Z
6706109,914547,8290.04,2026-04-23T22:00:24.636Z,bid-extra-60355900469,2026-04-23T23:55:14.039Z
6706239,914857,8925.64,2026-04-23T22:00:24.636Z,bid-extra-60355900479,2026-04-23T23:55:14.039Z
6706369,915167,5021.24,2026-04-23T22:00:24.636Z,bid-extra-60355900489,2026-04-23T23:55:14.039Z
6706499,915477,5656.84,2026-04-23T22:00:24.636Z,bid-extra-60355900499,2026-04-23T23:55:14.039Z
6706629,915787,6292.4400000000005,2026-04-23T22:00:24.636Z,bid-extra-60355900509,2026-04-23T23:55:14.039Z
6706759,916097,6928.04,2026-04-23T22:00:24.636Z,bid-extra-60355900519,2026-04-23T23:55:14.039Z
6706889,916407,7563.64,2026-04-23T22:00:24.636Z,bid-extra-60355900529,2026-04-23T23:55:14.039Z
6707019,916717,8199.24,2026-04-23T22:00:24.636Z,bid-extra-60355900539,2026-04-23T23:55:14.039Z
6707149,917027,8834.84,2026-04-23T22:00:24.636Z,bid-extra-60355900549,2026-04-23T23:55:14.039Z
6707279,917337,9470.44,2026-04-23T22:00:24.637Z,bid-extra-60355900559,2026-04-23T23:55:14.039Z
6707409,917647,10106.04,2026-04-23T22:00:24.637Z,bid-extra-60355900569,2026-04-23T23:55:14.039Z
6707539,917957,10741.640000000001,2026-04-23T22:00:24.637Z,bid-extra-60355900579,2026-04-23T23:55:14.039Z
6707669,918267,11377.24,2026-04-23T22:00:24.637Z,bid-extra-60355900589,2026-04-23T23:55:14.039Z
6707799,918577,12012.84,2026-04-23T22:00:24.637Z,bid-extra-60355900599,2026-04-23T23:55:14.039Z
6707929,918887,12648.44,2026-04-23T22:00:24.637Z,bid-extra-60355900609,2026-04-23T23:55:14.039Z
6708059,919197,8744.04,2026-04-23T22:00:24.637Z,bid-extra-60355900619,2026-04-23T23:55:14.039Z
6708189,919507,9379.64,2026-04-23T22:00:24.637Z,bid-extra-60355900629,2026-04-23T23:55:14.039Z
6708319,919817,10015.24,2026-04-23T22:00:24.637Z,bid-extra-60355900639,2026-04-23T23:55:14.039Z
6708449,920127,1661.64,2026-04-23T22:00:24.637Z,bid-extra-60355900649,2026-04-23T23:55:14.039Z
6708579,920437,2297.2400000000002,2026-04-23T22:00:24.638Z,bid-extra-60355900659,2026-04-23T23:55:14.039Z
6708709,920747,2932.84,2026-04-23T22:00:24.638Z,bid-extra-60355900669,2026-04-23T23:55:14.039Z
6708839,921057,3568.44,2026-04-23T22:00:24.638Z,bid-extra-60355900679,2026-04-23T23:55:14.039Z
6708969,921367,4204.04,2026-04-23T22:00:24.638Z,bid-extra-60355900689,2026-04-23T23:55:14.039Z
6709099,921677,4839.64,2026-04-23T22:00:24.638Z,bid-extra-60355900699,2026-04-23T23:55:14.039Z
6709229,921987,5475.24,2026-04-23T22:00:24.638Z,bid-extra-60355900709,2026-04-23T23:55:14.039Z
