auction,bidder,price,dateTime,extra,processed_time
8700129,900287,3840.84,2026-04-23T21:59:24.631Z,bid-extra-60349900009,2026-04-23T23:55:14.039Z
8700259,900597,4476.4400000000005,2026-04-23T21:59:24.631Z,bid-extra-60349900019,2026-04-23T23:55:14.039Z
8700389,900907,5112.04,2026-04-23T21:59:24.631Z,bid-extra-60349900029,2026-04-23T23:55:14.039Z
8700519,901217,5747.64,2026-04-23T21:59:24.631Z,bid-extra-60349900039,2026-04-23T23:55:14.039Z
8700649,901527,6383.24,2026-04-23T21:59:24.631Z,bid-extra-60349900049,2026-04-23T23:55:14.039Z
8700779,901837,7018.84,2026-04-23T21:59:24.632Z,bid-extra-60349900059,2026-04-23T23:55:14.039Z
8700909,902147,7654.4400000000005,2026-04-23T21:59:24.632Z,bid-extra-60349900069,2026-04-23T23:55:14.039Z
8701039,902457,8290.04,2026-04-23T21:59:24.632Z,bid-extra-60349900079,2026-04-23T23:55:14.039Z
8701169,902767,8925.64,2026-04-23T21:59:24.632Z,bid-extra-60349900089,2026-04-23T23:55:14.039Z
8701299,903077,9561.24,2026-04-23T21:59:24.632Z,bid-extra-60349900099,2026-04-23T23:55:14.039Z
8701429,903387,10196.84,2026-04-23T21:59:24.632Z,bid-extra-60349900109,2026-04-23T23:55:14.039Z
8701559,903697,10832.44,2026-04-23T21:59:24.632Z,bid-extra-60349900119,2026-04-23T23:55:14.039Z
8701689,904007,6928.04,2026-04-23T21:59:24.632Z,bid-extra-60349900129,2026-04-23T23:55:14.039Z
8701819,904317,7563.64,2026-04-23T21:59:24.632Z,bid-extra-60349900139,2026-04-23T23:55:14.039Z
8701949,904627,8199.24,2026-04-23T21:59:24.632Z,bid-extra-60349900149,2026-04-23T23:55:14.039Z
8702079,904937,8834.84,2026-04-23T21:59:24.633Z,bid-extra-60349900159,2026-04-23T23:55:14.039Z
8702209,905247,9470.44,2026-04-23T21:59:24.633Z,bid-extra-60349900169,2026-04-23T23:55:14.039Z
8702339,905557,10106.04,2026-04-23T21:59:24.633Z,bid-extra-60349900179,2026-04-23T23:55:14.039Z
8702469,905867,10741.640000000001,2026-04-23T21:59:24.633Z,bid-extra-60349900189,2026-04-23T23:55:14.039Z
8702599,906177,11377.24,2026-04-23T21:59:24.633Z,bid-extra-60349900199,2026-04-23T23:55:14.039Z
8702729,906487,12012.84,2026-04-23T21:59:24.633Z,bid-extra-60349900209,2026-04-23T23:55:14.039Z
8702859,906797,12648.44,2026-04-23T21:59:24.633Z,bid-extra-60349900219,2026-04-23T23:55:14.039Z
8702989,907107,4294.84,2026-04-23T21:59:24.633Z,bid-extra-60349900229,2026-04-23T23:55:14.039Z
