auction,bidder,price,dateTime,extra,processed_time
9700129,900287,3659.2400000000002,2026-04-23T22:02:14.631Z,bid-extra-60366900009,2026-04-23T23:55:14.039Z
9700259,900597,4294.84,2026-04-23T22:02:14.631Z,bid-extra-60366900019,2026-04-23T23:55:14.039Z
9700389,900907,4930.4400000000005,2026-04-23T22:02:14.631Z,bid-extra-60366900029,2026-04-23T23:55:14.039Z
9700519,901217,5566.04,2026-04-23T22:02:14.631Z,bid-extra-60366900039,2026-04-23T23:55:14.039Z
9700649,901527,6201.64,2026-04-23T22:02:14.631Z,bid-extra-60366900049,2026-04-23T23:55:14.039Z
9700779,901837,6837.24,2026-04-23T22:02:14.632Z,bid-extra-60366900059,2026-04-23T23:55:14.039Z
9700909,902147,7472.84,2026-04-23T22:02:14.632Z,bid-extra-60366900069,2026-04-23T23:55:14.039Z
9701039,902457,8108.4400000000005,2026-04-23T22:02:14.632Z,bid-extra-60366900079,2026-04-23T23:55:14.039Z
9701169,902767,8744.04,2026-04-23T22:02:14.632Z,bid-extra-60366900089,2026-04-23T23:55:14.039Z
9701299,903077,9379.64,2026-04-23T22:02:14.632Z,bid-extra-60366900099,2026-04-23T23:55:14.039Z
9701429,903387,10015.24,2026-04-23T22:02:14.632Z,bid-extra-60366900109,2026-04-23T23:55:14.039Z
9701559,903697,10650.84,2026-04-23T22:02:14.632Z,bid-extra-60366900119,2026-04-23T23:55:14.039Z
9701689,904007,6746.4400000000005,2026-04-23T22:02:14.632Z,bid-extra-60366900129,2026-04-23T23:55:14.039Z
9701819,904317,7382.04,2026-04-23T22:02:14.632Z,bid-extra-60366900139,2026-04-23T23:55:14.039Z
9701949,904627,8017.64,2026-04-23T22:02:14.632Z,bid-extra-60366900149,2026-04-23T23:55:14.039Z
9702079,904937,8653.24,2026-04-23T22:02:14.633Z,bid-extra-60366900159,2026-04-23T23:55:14.039Z
9702209,905247,9288.84,2026-04-23T22:02:14.633Z,bid-extra-60366900169,2026-04-23T23:55:14.039Z
9702339,905557,9924.44,2026-04-23T22:02:14.633Z,bid-extra-60366900179,2026-04-23T23:55:14.039Z
9702469,905867,10560.04,2026-04-23T22:02:14.633Z,bid-extra-60366900189,2026-04-23T23:55:14.039Z
9702599,906177,11195.640000000001,2026-04-23T22:02:14.633Z,bid-extra-60366900199,2026-04-23T23:55:14.039Z
9702729,906487,11831.24,2026-04-23T22:02:14.633Z,bid-extra-60366900209,2026-04-23T23:55:14.039Z
9702859,906797,12466.84,2026-04-23T22:02:14.633Z,bid-extra-60366900219,2026-04-23T23:55:14.039Z
9702989,907107,4113.24,2026-04-23T22:02:14.633Z,bid-extra-60366900229,2026-04-23T23:55:14.039Z
9703119,907417,4748.84,2026-04-23T22:02:14.633Z,bid-extra-60366900239,2026-04-23T23:55:14.039Z
9703249,907727,844.44,2026-04-23T22:02:14.633Z,bid-extra-60366900249,2026-04-23T23:55:14.039Z
9703379,908037,1480.04,2026-04-23T22:02:14.634Z,bid-extra-60366900259,2026-04-23T23:55:14.039Z
9703509,908347,2115.64,2026-04-23T22:02:14.634Z,bid-extra-60366900269,2026-04-23T23:55:14.039Z
9703639,908657,2751.2400000000002,2026-04-23T22:02:14.634Z,bid-extra-60366900279,2026-04-23T23:55:14.039Z
9703769,908967,3386.84,2026-04-23T22:02:14.634Z,bid-extra-60366900289,2026-04-23T23:55:14.039Z
9703899,909277,4022.44,2026-04-23T22:02:14.634Z,bid-extra-60366900299,2026-04-23T23:55:14.039Z
9704029,909587,4658.04,2026-04-23T22:02:14.634Z,bid-extra-60366900309,2026-04-23T23:55:14.039Z
9704159,909897,5293.64,2026-04-23T22:02:14.634Z,bid-extra-60366900319,2026-04-23T23:55:14.039Z
9704289,910207,5929.24,2026-04-23T22:02:14.634Z,bid-extra-60366900329,2026-04-23T23:55:14.039Z
9704419,910517,6564.84,2026-04-23T22:02:14.634Z,bid-extra-60366900339,2026-04-23T23:55:14.039Z
9704549,910827,7200.4400000000005,2026-04-23T22:02:14.634Z,bid-extra-60366900349,2026-04-23T23:55:14.039Z
9704679,911137,7836.04,2026-04-23T22:02:14.635Z,bid-extra-60366900359,2026-04-23T23:55:14.039Z
9704809,911447,3931.6400000000003,2026-04-23T22:02:14.635Z,bid-extra-60366900369,2026-04-23T23:55:14.039Z
9704939,911757,4567.24,2026-04-23T22:02:14.635Z,bid-extra-60366900379,2026-04-23T23:55:14.039Z
9705069,912067,5202.84,2026-04-23T22:02:14.635Z,bid-extra-60366900389,2026-04-23T23:55:14.039Z
9705199,912377,5838.4400000000005,2026-04-23T22:02:14.635Z,bid-extra-60366900399,2026-04-23T23:55:14.039Z
9705329,912687,6474.04,2026-04-23T22:02:14.635Z,bid-extra-60366900409,2026-04-23T23:55:14.039Z
9705459,912997,7109.64,2026-04-23T22:02:14.635Z,bid-extra-60366900419,2026-04-23T23:55:14.039Z
9705589,913307,7745.240000000001,2026-04-23T22:02:14.635Z,bid-extra-60366900429,2026-04-23T23:55:14.039Z
