auction,bidder,price,dateTime,extra,processed_time
2700129,900287,7563.64,2026-04-23T21:59:04.631Z,bid-extra-60347900009,2026-04-23T23:55:14.039Z
2700259,900597,8199.24,2026-04-23T21:59:04.631Z,bid-extra-60347900019,2026-04-23T23:55:14.039Z
2700389,900907,8834.84,2026-04-23T21:59:04.631Z,bid-extra-60347900029,2026-04-23T23:55:14.039Z
2700519,901217,9470.44,2026-04-23T21:59:04.631Z,bid-extra-60347900039,2026-04-23T23:55:14.039Z
2700649,901527,10106.04,2026-04-23T21:59:04.631Z,bid-extra-60347900049,2026-04-23T23:55:14.039Z
2700779,901837,10741.640000000001,2026-04-23T21:59:04.632Z,bid-extra-60347900059,2026-04-23T23:55:14.039Z
2700909,902147,11377.24,2026-04-23T21:59:04.632Z,bid-extra-60347900069,2026-04-23T23:55:14.039Z
2701039,902457,12012.84,2026-04-23T21:59:04.632Z,bid-extra-60347900079,2026-04-23T23:55:14.039Z
2701169,902767,3659.2400000000002,2026-04-23T21:59:04.632Z,bid-extra-60347900089,2026-04-23T23:55:14.039Z
2701299,903077,4294.84,2026-04-23T21:59:04.632Z,bid-extra-60347900099,2026-04-23T23:55:14.039Z
2701429,903387,4930.4400000000005,2026-04-23T21:59:04.632Z,bid-extra-60347900109,2026-04-23T23:55:14.039Z
2701559,903697,5566.04,2026-04-23T21:59:04.632Z,bid-extra-60347900119,2026-04-23T23:55:14.039Z
2701689,904007,1661.64,2026-04-23T21:59:04.632Z,bid-extra-60347900129,2026-04-23T23:55:14.039Z
2701819,904317,2297.2400000000002,2026-04-23T21:59:04.632Z,bid-extra-60347900139,2026-04-23T23:55:14.039Z
2701949,904627,2932.84,2026-04-23T21:59:04.632Z,bid-extra-60347900149,2026-04-23T23:55:14.039Z
2702079,904937,3568.44,2026-04-23T21:59:04.633Z,bid-extra-60347900159,2026-04-23T23:55:14.039Z
2702209,905247,4204.04,2026-04-23T21:59:04.633Z,bid-extra-60347900169,2026-04-23T23:55:14.039Z
2702339,905557,4839.64,2026-04-23T21:59:04.633Z,bid-extra-60347900179,2026-04-23T23:55:14.039Z
2702469,905867,5475.24,2026-04-23T21:59:04.633Z,bid-extra-60347900189,2026-04-23T23:55:14.039Z
2702599,906177,6110.84,2026-04-23T21:59:04.633Z,bid-extra-60347900199,2026-04-23T23:55:14.039Z
2702729,906487,6746.4400000000005,2026-04-23T21:59:04.633Z,bid-extra-60347900209,2026-04-23T23:55:14.039Z
2702859,906797,7382.04,2026-04-23T21:59:04.633Z,bid-extra-60347900219,2026-04-23T23:55:14.039Z
2702989,907107,8017.64,2026-04-23T21:59:04.633Z,bid-extra-60347900229,2026-04-23T23:55:14.039Z
2703119,907417,8653.24,2026-04-23T21:59:04.633Z,bid-extra-60347900239,2026-04-23T23:55:14.039Z
2703249,907727,4748.84,2026-04-23T21:59:04.633Z,bid-extra-60347900249,2026-04-23T23:55:14.039Z
2703379,908037,5384.4400000000005,2026-04-23T21:59:04.634Z,bid-extra-60347900259,2026-04-23T23:55:14.039Z
2703509,908347,6020.04,2026-04-23T21:59:04.634Z,bid-extra-60347900269,2026-04-23T23:55:14.039Z
2703639,908657,6655.64,2026-04-23T21:59:04.634Z,bid-extra-60347900279,2026-04-23T23:55:14.039Z
2703769,908967,7291.24,2026-04-23T21:59:04.634Z,bid-extra-60347900289,2026-04-23T23:55:14.039Z
2703899,909277,7926.84,2026-04-23T21:59:04.634Z,bid-extra-60347900299,2026-04-23T23:55:14.039Z
2704029,909587,8562.44,2026-04-23T21:59:04.634Z,bid-extra-60347900309,2026-04-23T23:55:14.039Z
2704159,909897,9198.04,2026-04-23T21:59:04.634Z,bid-extra-60347900319,2026-04-23T23:55:14.039Z
2704289,910207,9833.64,2026-04-23T21:59:04.634Z,bid-extra-60347900329,2026-04-23T23:55:14.039Z
2704419,910517,10469.24,2026-04-23T21:59:04.634Z,bid-extra-60347900339,2026-04-23T23:55:14.039Z
2704549,910827,11104.84,2026-04-23T21:59:04.634Z,bid-extra-60347900349,2026-04-23T23:55:14.039Z
2704679,911137,11740.44,2026-04-23T21:59:04.635Z,bid-extra-60347900359,2026-04-23T23:55:14.039Z
2704809,911447,7836.04,2026-04-23T21:59:04.635Z,bid-extra-60347900369,2026-04-23T23:55:14.039Z
2704939,911757,8471.64,2026-04-23T21:59:04.635Z,bid-extra-60347900379,2026-04-23T23:55:14.039Z
2705069,912067,9107.24,2026-04-23T21:59:04.635Z,bid-extra-60347900389,2026-04-23T23:55:14.039Z
2705199,912377,9742.84,2026-04-23T21:59:04.635Z,bid-extra-60347900399,2026-04-23T23:55:14.039Z
2705329,912687,10378.44,2026-04-23T21:59:04.635Z,bid-extra-60347900409,2026-04-23T23:55:14.039Z
2705459,912997,11014.04,2026-04-23T21:59:04.635Z,bid-extra-60347900419,2026-04-23T23:55:14.039Z
2705589,913307,2660.44,2026-04-23T21:59:04.635Z,bid-extra-60347900429,2026-04-23T23:55:14.039Z
2705719,913617,3296.04,2026-04-23T21:59:04.635Z,bid-extra-60347900439,2026-04-23T23:55:14.039Z
2705849,913927,3931.6400000000003,2026-04-23T21:59:04.635Z,bid-extra-60347900449,2026-04-23T23:55:14.039Z
2705979,914237,4567.24,2026-04-23T21:59:04.636Z,bid-extra-60347900459,2026-04-23T23:55:14.039Z
2706109,914547,5202.84,2026-04-23T21:59:04.636Z,bid-extra-60347900469,2026-04-23T23:55:14.039Z
2706239,914857,5838.4400000000005,2026-04-23T21:59:04.636Z,bid-extra-60347900479,2026-04-23T23:55:14.039Z
2706369,915167,1934.04,2026-04-23T21:59:04.636Z,bid-extra-60347900489,2026-04-23T23:55:14.039Z
2706499,915477,2569.64,2026-04-23T21:59:04.636Z,bid-extra-60347900499,2026-04-23T23:55:14.039Z
2706629,915787,3205.2400000000002,2026-04-23T21:59:04.636Z,bid-extra-60347900509,2026-04-23T23:55:14.039Z
2706759,916097,3840.84,2026-04-23T21:59:04.636Z,bid-extra-60347900519,2026-04-23T23:55:14.039Z
2706889,916407,4476.4400000000005,2026-04-23T21:59:04.636Z,bid-extra-60347900529,2026-04-23T23:55:14.039Z
2707019,916717,5112.04,2026-04-23T21:59:04.636Z,bid-extra-60347900539,2026-04-23T23:55:14.039Z
2707149,917027,5747.64,2026-04-23T21:59:04.636Z,bid-extra-60347900549,2026-04-23T23:55:14.039Z
2707279,917337,6383.24,2026-04-23T21:59:04.637Z,bid-extra-60347900559,2026-04-23T23:55:14.039Z
2707409,917647,7018.84,2026-04-23T21:59:04.637Z,bid-extra-60347900569,2026-04-23T23:55:14.039Z
2707539,917957,7654.4400000000005,2026-04-23T21:59:04.637Z,bid-extra-60347900579,2026-04-23T23:55:14.039Z
2707669,918267,8290.04,2026-04-23T21:59:04.637Z,bid-extra-60347900589,2026-04-23T23:55:14.039Z
2707799,918577,8925.64,2026-04-23T21:59:04.637Z,bid-extra-60347900599,2026-04-23T23:55:14.039Z
2707929,918887,9561.24,2026-04-23T21:59:04.637Z,bid-extra-60347900609,2026-04-23T23:55:14.039Z
2708059,919197,5656.84,2026-04-23T21:59:04.637Z,bid-extra-60347900619,2026-04-23T23:55:14.039Z
2708189,919507,6292.4400000000005,2026-04-23T21:59:04.637Z,bid-extra-60347900629,2026-04-23T23:55:14.039Z
2708319,919817,6928.04,2026-04-23T21:59:04.637Z,bid-extra-60347900639,2026-04-23T23:55:14.039Z
2708449,920127,7563.64,2026-04-23T21:59:04.637Z,bid-extra-60347900649,2026-04-23T23:55:14.039Z
2708579,920437,8199.24,2026-04-23T21:59:04.638Z,bid-extra-60347900659,2026-04-23T23:55:14.039Z
2708709,920747,8834.84,2026-04-23T21:59:04.638Z,bid-extra-60347900669,2026-04-23T23:55:14.039Z
2708839,921057,9470.44,2026-04-23T21:59:04.638Z,bid-extra-60347900679,2026-04-23T23:55:14.039Z
2708969,921367,10106.04,2026-04-23T21:59:04.638Z,bid-extra-60347900689,2026-04-23T23:55:14.039Z
2709099,921677,10741.640000000001,2026-04-23T21:59:04.638Z,bid-extra-60347900699,2026-04-23T23:55:14.039Z
2709229,921987,11377.24,2026-04-23T21:59:04.638Z,bid-extra-60347900709,2026-04-23T23:55:14.039Z
2709359,922297,12012.84,2026-04-23T21:59:04.638Z,bid-extra-60347900719,2026-04-23T23:55:14.039Z
2709489,922607,12648.44,2026-04-23T21:59:04.638Z,bid-extra-60347900729,2026-04-23T23:55:14.039Z
2709619,922917,8744.04,2026-04-23T21:59:04.638Z,bid-extra-60347900739,2026-04-23T23:55:14.039Z
2709749,923227,9379.64,2026-04-23T21:59:04.638Z,bid-extra-60347900749,2026-04-23T23:55:14.039Z
2709879,923537,10015.24,2026-04-23T21:59:04.639Z,bid-extra-60347900759,2026-04-23T23:55:14.039Z
2710009,923847,1661.64,2026-04-23T21:59:04.639Z,bid-extra-60347900769,2026-04-23T23:55:14.039Z
2710139,924157,2297.2400000000002,2026-04-23T21:59:04.639Z,bid-extra-60347900779,2026-04-23T23:55:14.039Z
2710269,924467,2932.84,2026-04-23T21:59:04.639Z,bid-extra-60347900789,2026-04-23T23:55:14.039Z
2710399,924777,3568.44,2026-04-23T21:59:04.639Z,bid-extra-60347900799,2026-04-23T23:55:14.039Z
2710529,925087,4204.04,2026-04-23T21:59:04.639Z,bid-extra-60347900809,2026-04-23T23:55:14.039Z
2710659,925397,4839.64,2026-04-23T21:59:04.639Z,bid-extra-60347900819,2026-04-23T23:55:14.039Z
2710789,925707,5475.24,2026-04-23T21:59:04.639Z,bid-extra-60347900829,2026-04-23T23:55:14.039Z
2710919,926017,6110.84,2026-04-23T21:59:04.639Z,bid-extra-60347900839,2026-04-23T23:55:14.039Z
2711049,926327,6746.4400000000005,2026-04-23T21:59:04.639Z,bid-extra-60347900849,2026-04-23T23:55:14.039Z
2711179,926637,2842.04,2026-04-23T21:59:04.640Z,bid-extra-60347900859,2026-04-23T23:55:14.039Z
2711309,926947,3477.6400000000003,2026-04-23T21:59:04.640Z,bid-extra-60347900869,2026-04-23T23:55:14.039Z
2711439,927257,4113.24,2026-04-23T21:59:04.640Z,bid-extra-60347900879,2026-04-23T23:55:14.039Z
2711569,927567,4748.84,2026-04-23T21:59:04.640Z,bid-extra-60347900889,2026-04-23T23:55:14.039Z
2711699,927877,5384.4400000000005,2026-04-23T21:59:04.640Z,bid-extra-60347900899,2026-04-23T23:55:14.039Z
2711829,928187,6020.04,2026-04-23T21:59:04.640Z,bid-extra-60347900909,2026-04-23T23:55:14.039Z
2711959,928497,6655.64,2026-04-23T21:59:04.640Z,bid-extra-60347900919,2026-04-23T23:55:14.039Z
2712089,928807,7291.24,2026-04-23T21:59:04.640Z,bid-extra-60347900929,2026-04-23T23:55:14.039Z
