auction,bidder,price,dateTime,extra,processed_time
2700129,900287,6928.04,2026-04-23T22:00:44.631Z,bid-extra-60357900009,2026-04-23T23:55:14.039Z
2700259,900597,7563.64,2026-04-23T22:00:44.631Z,bid-extra-60357900019,2026-04-23T23:55:14.039Z
2700389,900907,8199.24,2026-04-23T22:00:44.631Z,bid-extra-60357900029,2026-04-23T23:55:14.039Z
2700519,901217,8834.84,2026-04-23T22:00:44.631Z,bid-extra-60357900039,2026-04-23T23:55:14.039Z
2700649,901527,9470.44,2026-04-23T22:00:44.631Z,bid-extra-60357900049,2026-04-23T23:55:14.039Z
2700779,901837,10106.04,2026-04-23T22:00:44.632Z,bid-extra-60357900059,2026-04-23T23:55:14.039Z
2700909,902147,10741.640000000001,2026-04-23T22:00:44.632Z,bid-extra-60357900069,2026-04-23T23:55:14.039Z
2701039,902457,11377.24,2026-04-23T22:00:44.632Z,bid-extra-60357900079,2026-04-23T23:55:14.039Z
2701169,902767,12012.84,2026-04-23T22:00:44.632Z,bid-extra-60357900089,2026-04-23T23:55:14.039Z
2701299,903077,12648.44,2026-04-23T22:00:44.632Z,bid-extra-60357900099,2026-04-23T23:55:14.039Z
2701429,903387,4294.84,2026-04-23T22:00:44.632Z,bid-extra-60357900109,2026-04-23T23:55:14.039Z
2701559,903697,4930.4400000000005,2026-04-23T22:00:44.632Z,bid-extra-60357900119,2026-04-23T23:55:14.039Z
2701689,904007,1026.04,2026-04-23T22:00:44.632Z,bid-extra-60357900129,2026-04-23T23:55:14.039Z
2701819,904317,1661.64,2026-04-23T22:00:44.632Z,bid-extra-60357900139,2026-04-23T23:55:14.039Z
2701949,904627,2297.2400000000002,2026-04-23T22:00:44.632Z,bid-extra-60357900149,2026-04-23T23:55:14.039Z
2702079,904937,2932.84,2026-04-23T22:00:44.633Z,bid-extra-60357900159,2026-04-23T23:55:14.039Z
2702209,905247,3568.44,2026-04-23T22:00:44.633Z,bid-extra-60357900169,2026-04-23T23:55:14.039Z
2702339,905557,4204.04,2026-04-23T22:00:44.633Z,bid-extra-60357900179,2026-04-23T23:55:14.039Z
2702469,905867,4839.64,2026-04-23T22:00:44.633Z,bid-extra-60357900189,2026-04-23T23:55:14.039Z
2702599,906177,5475.24,2026-04-23T22:00:44.633Z,bid-extra-60357900199,2026-04-23T23:55:14.039Z
2702729,906487,6110.84,2026-04-23T22:00:44.633Z,bid-extra-60357900209,2026-04-23T23:55:14.039Z
2702859,906797,6746.4400000000005,2026-04-23T22:00:44.633Z,bid-extra-60357900219,2026-04-23T23:55:14.039Z
2702989,907107,7382.04,2026-04-23T22:00:44.633Z,bid-extra-60357900229,2026-04-23T23:55:14.039Z
2703119,907417,8017.64,2026-04-23T22:00:44.633Z,bid-extra-60357900239,2026-04-23T23:55:14.039Z
2703249,907727,4113.24,2026-04-23T22:00:44.633Z,bid-extra-60357900249,2026-04-23T23:55:14.039Z
2703379,908037,4748.84,2026-04-23T22:00:44.634Z,bid-extra-60357900259,2026-04-23T23:55:14.039Z
2703509,908347,5384.4400000000005,2026-04-23T22:00:44.634Z,bid-extra-60357900269,2026-04-23T23:55:14.039Z
2703639,908657,6020.04,2026-04-23T22:00:44.634Z,bid-extra-60357900279,2026-04-23T23:55:14.039Z
2703769,908967,6655.64,2026-04-23T22:00:44.634Z,bid-extra-60357900289,2026-04-23T23:55:14.039Z
2703899,909277,7291.24,2026-04-23T22:00:44.634Z,bid-extra-60357900299,2026-04-23T23:55:14.039Z
2704029,909587,7926.84,2026-04-23T22:00:44.634Z,bid-extra-60357900309,2026-04-23T23:55:14.039Z
2704159,909897,8562.44,2026-04-23T22:00:44.634Z,bid-extra-60357900319,2026-04-23T23:55:14.039Z
2704289,910207,9198.04,2026-04-23T22:00:44.634Z,bid-extra-60357900329,2026-04-23T23:55:14.039Z
2704419,910517,9833.64,2026-04-23T22:00:44.634Z,bid-extra-60357900339,2026-04-23T23:55:14.039Z
2704549,910827,10469.24,2026-04-23T22:00:44.634Z,bid-extra-60357900349,2026-04-23T23:55:14.039Z
2704679,911137,11104.84,2026-04-23T22:00:44.635Z,bid-extra-60357900359,2026-04-23T23:55:14.039Z
2704809,911447,7200.4400000000005,2026-04-23T22:00:44.635Z,bid-extra-60357900369,2026-04-23T23:55:14.039Z
2704939,911757,7836.04,2026-04-23T22:00:44.635Z,bid-extra-60357900379,2026-04-23T23:55:14.039Z
2705069,912067,8471.64,2026-04-23T22:00:44.635Z,bid-extra-60357900389,2026-04-23T23:55:14.039Z
2705199,912377,9107.24,2026-04-23T22:00:44.635Z,bid-extra-60357900399,2026-04-23T23:55:14.039Z
2705329,912687,9742.84,2026-04-23T22:00:44.635Z,bid-extra-60357900409,2026-04-23T23:55:14.039Z
2705459,912997,10378.44,2026-04-23T22:00:44.635Z,bid-extra-60357900419,2026-04-23T23:55:14.039Z
2705589,913307,11014.04,2026-04-23T22:00:44.635Z,bid-extra-60357900429,2026-04-23T23:55:14.039Z
2705719,913617,11649.640000000001,2026-04-23T22:00:44.635Z,bid-extra-60357900439,2026-04-23T23:55:14.039Z
2705849,913927,3296.04,2026-04-23T22:00:44.635Z,bid-extra-60357900449,2026-04-23T23:55:14.039Z
2705979,914237,3931.6400000000003,2026-04-23T22:00:44.636Z,bid-extra-60357900459,2026-04-23T23:55:14.039Z
2706109,914547,4567.24,2026-04-23T22:00:44.636Z,bid-extra-60357900469,2026-04-23T23:55:14.039Z
2706239,914857,5202.84,2026-04-23T22:00:44.636Z,bid-extra-60357900479,2026-04-23T23:55:14.039Z
2706369,915167,1298.44,2026-04-23T22:00:44.636Z,bid-extra-60357900489,2026-04-23T23:55:14.039Z
2706499,915477,1934.04,2026-04-23T22:00:44.636Z,bid-extra-60357900499,2026-04-23T23:55:14.039Z
2706629,915787,2569.64,2026-04-23T22:00:44.636Z,bid-extra-60357900509,2026-04-23T23:55:14.039Z
2706759,916097,3205.2400000000002,2026-04-23T22:00:44.636Z,bid-extra-60357900519,2026-04-23T23:55:14.039Z
2706889,916407,3840.84,2026-04-23T22:00:44.636Z,bid-extra-60357900529,2026-04-23T23:55:14.039Z
2707019,916717,4476.4400000000005,2026-04-23T22:00:44.636Z,bid-extra-60357900539,2026-04-23T23:55:14.039Z
2707149,917027,5112.04,2026-04-23T22:00:44.636Z,bid-extra-60357900549,2026-04-23T23:55:14.039Z
2707279,917337,5747.64,2026-04-23T22:00:44.637Z,bid-extra-60357900559,2026-04-23T23:55:14.039Z
2707409,917647,6383.24,2026-04-23T22:00:44.637Z,bid-extra-60357900569,2026-04-23T23:55:14.039Z
2707539,917957,7018.84,2026-04-23T22:00:44.637Z,bid-extra-60357900579,2026-04-23T23:55:14.039Z
2707669,918267,7654.4400000000005,2026-04-23T22:00:44.637Z,bid-extra-60357900589,2026-04-23T23:55:14.039Z
2707799,918577,8290.04,2026-04-23T22:00:44.637Z,bid-extra-60357900599,2026-04-23T23:55:14.039Z
2707929,918887,8925.64,2026-04-23T22:00:44.637Z,bid-extra-60357900609,2026-04-23T23:55:14.039Z
2708059,919197,5021.24,2026-04-23T22:00:44.637Z,bid-extra-60357900619,2026-04-23T23:55:14.039Z
2708189,919507,5656.84,2026-04-23T22:00:44.637Z,bid-extra-60357900629,2026-04-23T23:55:14.039Z
2708319,919817,6292.4400000000005,2026-04-23T22:00:44.637Z,bid-extra-60357900639,2026-04-23T23:55:14.039Z
2708449,920127,6928.04,2026-04-23T22:00:44.637Z,bid-extra-60357900649,2026-04-23T23:55:14.039Z
2708579,920437,7563.64,2026-04-23T22:00:44.638Z,bid-extra-60357900659,2026-04-23T23:55:14.039Z
2708709,920747,8199.24,2026-04-23T22:00:44.638Z,bid-extra-60357900669,2026-04-23T23:55:14.039Z
2708839,921057,8834.84,2026-04-23T22:00:44.638Z,bid-extra-60357900679,2026-04-23T23:55:14.039Z
2708969,921367,9470.44,2026-04-23T22:00:44.638Z,bid-extra-60357900689,2026-04-23T23:55:14.039Z
2709099,921677,10106.04,2026-04-23T22:00:44.638Z,bid-extra-60357900699,2026-04-23T23:55:14.039Z
2709229,921987,10741.640000000001,2026-04-23T22:00:44.638Z,bid-extra-60357900709,2026-04-23T23:55:14.039Z
2709359,922297,11377.24,2026-04-23T22:00:44.638Z,bid-extra-60357900719,2026-04-23T23:55:14.039Z
2709489,922607,12012.84,2026-04-23T22:00:44.638Z,bid-extra-60357900729,2026-04-23T23:55:14.039Z
2709619,922917,8108.4400000000005,2026-04-23T22:00:44.638Z,bid-extra-60357900739,2026-04-23T23:55:14.039Z
2709749,923227,8744.04,2026-04-23T22:00:44.638Z,bid-extra-60357900749,2026-04-23T23:55:14.039Z
2709879,923537,9379.64,2026-04-23T22:00:44.639Z,bid-extra-60357900759,2026-04-23T23:55:14.039Z
2710009,923847,10015.24,2026-04-23T22:00:44.639Z,bid-extra-60357900769,2026-04-23T23:55:14.039Z
2710139,924157,10650.84,2026-04-23T22:00:44.639Z,bid-extra-60357900779,2026-04-23T23:55:14.039Z
2710269,924467,2297.2400000000002,2026-04-23T22:00:44.639Z,bid-extra-60357900789,2026-04-23T23:55:14.039Z
2710399,924777,2932.84,2026-04-23T22:00:44.639Z,bid-extra-60357900799,2026-04-23T23:55:14.039Z
2710529,925087,3568.44,2026-04-23T22:00:44.639Z,bid-extra-60357900809,2026-04-23T23:55:14.039Z
2710659,925397,4204.04,2026-04-23T22:00:44.639Z,bid-extra-60357900819,2026-04-23T23:55:14.039Z
2710789,925707,4839.64,2026-04-23T22:00:44.639Z,bid-extra-60357900829,2026-04-23T23:55:14.039Z
2710919,926017,5475.24,2026-04-23T22:00:44.639Z,bid-extra-60357900839,2026-04-23T23:55:14.039Z
2711049,926327,6110.84,2026-04-23T22:00:44.639Z,bid-extra-60357900849,2026-04-23T23:55:14.039Z
2711179,926637,2206.44,2026-04-23T22:00:44.640Z,bid-extra-60357900859,2026-04-23T23:55:14.039Z
2711309,926947,2842.04,2026-04-23T22:00:44.640Z,bid-extra-60357900869,2026-04-23T23:55:14.039Z
2711439,927257,3477.6400000000003,2026-04-23T22:00:44.640Z,bid-extra-60357900879,2026-04-23T23:55:14.039Z
2711569,927567,4113.24,2026-04-23T22:00:44.640Z,bid-extra-60357900889,2026-04-23T23:55:14.039Z
2711699,927877,4748.84,2026-04-23T22:00:44.640Z,bid-extra-60357900899,2026-04-23T23:55:14.039Z
2711829,928187,5384.4400000000005,2026-04-23T22:00:44.640Z,bid-extra-60357900909,2026-04-23T23:55:14.039Z
2711959,928497,6020.04,2026-04-23T22:00:44.640Z,bid-extra-60357900919,2026-04-23T23:55:14.039Z
2712089,928807,6655.64,2026-04-23T22:00:44.640Z,bid-extra-60357900929,2026-04-23T23:55:14.039Z
2712219,929117,7291.24,2026-04-23T22:00:44.640Z,bid-extra-60357900939,2026-04-23T23:55:14.039Z
2712349,929427,7926.84,2026-04-23T22:00:44.640Z,bid-extra-60357900949,2026-04-23T23:55:14.039Z
2712479,929737,8562.44,2026-04-23T22:00:44.641Z,bid-extra-60357900959,2026-04-23T23:55:14.039Z
2712609,930047,9198.04,2026-04-23T22:00:44.641Z,bid-extra-60357900969,2026-04-23T23:55:14.039Z
2712739,930357,5293.64,2026-04-23T22:00:44.641Z,bid-extra-60357900979,2026-04-23T23:55:14.039Z
2712869,930667,5929.24,2026-04-23T22:00:44.641Z,bid-extra-60357900989,2026-04-23T23:55:14.039Z
2712999,930977,6564.84,2026-04-23T22:00:44.641Z,bid-extra-60357900999,2026-04-23T23:55:14.039Z
2713129,931287,7200.4400000000005,2026-04-23T22:00:44.641Z,bid-extra-60357901009,2026-04-23T23:55:14.039Z
2713259,931597,7836.04,2026-04-23T22:00:44.641Z,bid-extra-60357901019,2026-04-23T23:55:14.039Z
2713389,931907,8471.64,2026-04-23T22:00:44.641Z,bid-extra-60357901029,2026-04-23T23:55:14.039Z
2713519,932217,9107.24,2026-04-23T22:00:44.641Z,bid-extra-60357901039,2026-04-23T23:55:14.039Z
2713649,932527,9742.84,2026-04-23T22:00:44.641Z,bid-extra-60357901049,2026-04-23T23:55:14.039Z
2713779,932837,10378.44,2026-04-23T22:00:44.642Z,bid-extra-60357901059,2026-04-23T23:55:14.039Z
2713909,933147,11014.04,2026-04-23T22:00:44.642Z,bid-extra-60357901069,2026-04-23T23:55:14.039Z
2714039,933457,11649.640000000001,2026-04-23T22:00:44.642Z,bid-extra-60357901079,2026-04-23T23:55:14.039Z
2714169,933767,12285.24,2026-04-23T22:00:44.642Z,bid-extra-60357901089,2026-04-23T23:55:14.039Z
2714299,934077,8380.84,2026-04-23T22:00:44.642Z,bid-extra-60357901099,2026-04-23T23:55:14.039Z
2714429,934387,9016.44,2026-04-23T22:00:44.642Z,bid-extra-60357901109,2026-04-23T23:55:14.039Z
2714559,934697,9652.04,2026-04-23T22:00:44.642Z,bid-extra-60357901119,2026-04-23T23:55:14.039Z
2714689,935007,1298.44,2026-04-23T22:00:44.642Z,bid-extra-60357901129,2026-04-23T23:55:14.039Z
2714819,935317,1934.04,2026-04-23T22:00:44.642Z,bid-extra-60357901139,2026-04-23T23:55:14.039Z
2714949,935627,2569.64,2026-04-23T22:00:44.642Z,bid-extra-60357901149,2026-04-23T23:55:14.039Z
2715079,935937,3205.2400000000002,2026-04-23T22:00:44.643Z,bid-extra-60357901159,2026-04-23T23:55:14.039Z
2715209,936247,3840.84,2026-04-23T22:00:44.643Z,bid-extra-60357901169,2026-04-23T23:55:14.039Z
2715339,936557,4476.4400000000005,2026-04-23T22:00:44.643Z,bid-extra-60357901179,2026-04-23T23:55:14.039Z
2715469,936867,5112.04,2026-04-23T22:00:44.643Z,bid-extra-60357901189,2026-04-23T23:55:14.039Z
2715599,937177,5747.64,2026-04-23T22:00:44.643Z,bid-extra-60357901199,2026-04-23T23:55:14.039Z
2715729,937487,6383.24,2026-04-23T22:00:44.643Z,bid-extra-60357901209,2026-04-23T23:55:14.039Z
2715859,937797,7018.84,2026-04-23T22:00:44.643Z,bid-extra-60357901219,2026-04-23T23:55:14.039Z
2715989,938107,3114.44,2026-04-23T22:00:44.643Z,bid-extra-60357901229,2026-04-23T23:55:14.039Z
2716119,938417,3750.04,2026-04-23T22:00:44.643Z,bid-extra-60357901239,2026-04-23T23:55:14.039Z
2716249,938727,4385.64,2026-04-23T22:00:44.643Z,bid-extra-60357901249,2026-04-23T23:55:14.039Z
2716379,939037,5021.24,2026-04-23T22:00:44.644Z,bid-extra-60357901259,2026-04-23T23:55:14.039Z
2716509,939347,5656.84,2026-04-23T22:00:44.644Z,bid-extra-60357901269,2026-04-23T23:55:14.039Z
2716639,939657,6292.4400000000005,2026-04-23T22:00:44.644Z,bid-extra-60357901279,2026-04-23T23:55:14.039Z
2716769,939967,6928.04,2026-04-23T22:00:44.644Z,bid-extra-60357901289,2026-04-23T23:55:14.039Z
2716899,940277,7563.64,2026-04-23T22:00:44.644Z,bid-extra-60357901299,2026-04-23T23:55:14.039Z
2717029,940587,8199.24,2026-04-23T22:00:44.644Z,bid-extra-60357901309,2026-04-23T23:55:14.039Z
2717159,940897,8834.84,2026-04-23T22:00:44.644Z,bid-extra-60357901319,2026-04-23T23:55:14.039Z
2717289,941207,9470.44,2026-04-23T22:00:44.644Z,bid-extra-60357901329,2026-04-23T23:55:14.039Z
2717419,941517,10106.04,2026-04-23T22:00:44.644Z,bid-extra-60357901339,2026-04-23T23:55:14.039Z
2717549,941827,6201.64,2026-04-23T22:00:44.644Z,bid-extra-60357901349,2026-04-23T23:55:14.039Z
2717679,942137,6837.24,2026-04-23T22:00:44.645Z,bid-extra-60357901359,2026-04-23T23:55:14.039Z
2717809,942447,7472.84,2026-04-23T22:00:44.645Z,bid-extra-60357901369,2026-04-23T23:55:14.039Z
2717939,942757,8108.4400000000005,2026-04-23T22:00:44.645Z,bid-extra-60357901379,2026-04-23T23:55:14.039Z
2718069,943067,8744.04,2026-04-23T22:00:44.645Z,bid-extra-60357901389,2026-04-23T23:55:14.039Z
2718199,943377,9379.64,2026-04-23T22:00:44.645Z,bid-extra-60357901399,2026-04-23T23:55:14.039Z
2718329,943687,10015.24,2026-04-23T22:00:44.645Z,bid-extra-60357901409,2026-04-23T23:55:14.039Z
2718459,943997,10650.84,2026-04-23T22:00:44.645Z,bid-extra-60357901419,2026-04-23T23:55:14.039Z
2718589,944307,11286.44,2026-04-23T22:00:44.645Z,bid-extra-60357901429,2026-04-23T23:55:14.039Z
2718719,944617,11922.04,2026-04-23T22:00:44.645Z,bid-extra-60357901439,2026-04-23T23:55:14.039Z
2718849,944927,12557.640000000001,2026-04-23T22:00:44.645Z,bid-extra-60357901449,2026-04-23T23:55:14.039Z
2718979,945237,13193.24,2026-04-23T22:00:44.646Z,bid-extra-60357901459,2026-04-23T23:55:14.039Z
2719109,945547,299.64,2026-04-23T22:00:44.646Z,bid-extra-60357901469,2026-04-23T23:55:14.039Z
2719239,945857,935.24,2026-04-23T22:00:44.646Z,bid-extra-60357901479,2026-04-23T23:55:14.039Z
2719369,946167,1570.8400000000001,2026-04-23T22:00:44.646Z,bid-extra-60357901489,2026-04-23T23:55:14.039Z
2719499,946477,2206.44,2026-04-23T22:00:44.646Z,bid-extra-60357901499,2026-04-23T23:55:14.039Z
2719629,946787,2842.04,2026-04-23T22:00:44.646Z,bid-extra-60357901509,2026-04-23T23:55:14.039Z
2719759,947097,3477.6400000000003,2026-04-23T22:00:44.646Z,bid-extra-60357901519,2026-04-23T23:55:14.039Z
2719889,947407,4113.24,2026-04-23T22:00:44.646Z,bid-extra-60357901529,2026-04-23T23:55:14.039Z
2720019,947717,4748.84,2026-04-23T22:00:44.646Z,bid-extra-60357901539,2026-04-23T23:55:14.039Z
2720149,948027,5384.4400000000005,2026-04-23T22:00:44.646Z,bid-extra-60357901549,2026-04-23T23:55:14.039Z
2720279,948337,6020.04,2026-04-23T22:00:44.647Z,bid-extra-60357901559,2026-04-23T23:55:14.039Z
2720409,948647,6655.64,2026-04-23T22:00:44.647Z,bid-extra-60357901569,2026-04-23T23:55:14.039Z
2720539,948957,7291.24,2026-04-23T22:00:44.647Z,bid-extra-60357901579,2026-04-23T23:55:14.039Z
2720669,949267,3386.84,2026-04-23T22:00:44.647Z,bid-extra-60357901589,2026-04-23T23:55:14.039Z
2720799,949577,4022.44,2026-04-23T22:00:44.647Z,bid-extra-60357901599,2026-04-23T23:55:14.039Z
2720929,949887,4658.04,2026-04-23T22:00:44.647Z,bid-extra-60357901609,2026-04-23T23:55:14.039Z
2721059,950197,5293.64,2026-04-23T22:00:44.647Z,bid-extra-60357901619,2026-04-23T23:55:14.039Z
2721189,950507,5929.24,2026-04-23T22:00:44.647Z,bid-extra-60357901629,2026-04-23T23:55:14.039Z
2721319,950817,6564.84,2026-04-23T22:00:44.647Z,bid-extra-60357901639,2026-04-23T23:55:14.039Z
2721449,951127,7200.4400000000005,2026-04-23T22:00:44.647Z,bid-extra-60357901649,2026-04-23T23:55:14.039Z
2721579,951437,7836.04,2026-04-23T22:00:44.648Z,bid-extra-60357901659,2026-04-23T23:55:14.039Z
2721709,951747,8471.64,2026-04-23T22:00:44.648Z,bid-extra-60357901669,2026-04-23T23:55:14.039Z
2721839,952057,9107.24,2026-04-23T22:00:44.648Z,bid-extra-60357901679,2026-04-23T23:55:14.039Z
2721969,952367,9742.84,2026-04-23T22:00:44.648Z,bid-extra-60357901689,2026-04-23T23:55:14.039Z
2722099,952677,10378.44,2026-04-23T22:00:44.648Z,bid-extra-60357901699,2026-04-23T23:55:14.039Z
2722229,952987,6474.04,2026-04-23T22:00:44.648Z,bid-extra-60357901709,2026-04-23T23:55:14.039Z
2722359,953297,7109.64,2026-04-23T22:00:44.648Z,bid-extra-60357901719,2026-04-23T23:55:14.039Z
2722489,953607,7745.240000000001,2026-04-23T22:00:44.648Z,bid-extra-60357901729,2026-04-23T23:55:14.039Z
2722619,953917,8380.84,2026-04-23T22:00:44.648Z,bid-extra-60357901739,2026-04-23T23:55:14.039Z
2722749,954227,9016.44,2026-04-23T22:00:44.648Z,bid-extra-60357901749,2026-04-23T23:55:14.039Z
2722879,954537,9652.04,2026-04-23T22:00:44.649Z,bid-extra-60357901759,2026-04-23T23:55:14.039Z
2723009,954847,10287.640000000001,2026-04-23T22:00:44.649Z,bid-extra-60357901769,2026-04-23T23:55:14.039Z
2723139,955157,10923.24,2026-04-23T22:00:44.649Z,bid-extra-60357901779,2026-04-23T23:55:14.039Z
2723269,955467,11558.84,2026-04-23T22:00:44.649Z,bid-extra-60357901789,2026-04-23T23:55:14.039Z
2723399,955777,12194.44,2026-04-23T22:00:44.649Z,bid-extra-60357901799,2026-04-23T23:55:14.039Z
2723529,956087,12830.04,2026-04-23T22:00:44.649Z,bid-extra-60357901809,2026-04-23T23:55:14.039Z
2723659,956397,4476.4400000000005,2026-04-23T22:00:44.649Z,bid-extra-60357901819,2026-04-23T23:55:14.039Z
2723789,956707,5112.04,2026-04-23T22:00:44.649Z,bid-extra-60357901829,2026-04-23T23:55:14.039Z
2723919,957017,1207.64,2026-04-23T22:00:44.649Z,bid-extra-60357901839,2026-04-23T23:55:14.039Z
2724049,957327,1843.24,2026-04-23T22:00:44.649Z,bid-extra-60357901849,2026-04-23T23:55:14.039Z
2724179,957637,2478.84,2026-04-23T22:00:44.650Z,bid-extra-60357901859,2026-04-23T23:55:14.039Z
2724309,957947,3114.44,2026-04-23T22:00:44.650Z,bid-extra-60357901869,2026-04-23T23:55:14.039Z
2724439,958257,3750.04,2026-04-23T22:00:44.650Z,bid-extra-60357901879,2026-04-23T23:55:14.039Z
2724569,958567,4385.64,2026-04-23T22:00:44.650Z,bid-extra-60357901889,2026-04-23T23:55:14.039Z
2724699,958877,5021.24,2026-04-23T22:00:44.650Z,bid-extra-60357901899,2026-04-23T23:55:14.039Z
2724829,959187,5656.84,2026-04-23T22:00:44.650Z,bid-extra-60357901909,2026-04-23T23:55:14.039Z
2724959,959497,6292.4400000000005,2026-04-23T22:00:44.650Z,bid-extra-60357901919,2026-04-23T23:55:14.039Z
2725089,959807,6928.04,2026-04-23T22:00:44.650Z,bid-extra-60357901929,2026-04-23T23:55:14.039Z
2725219,960117,7563.64,2026-04-23T22:00:44.650Z,bid-extra-60357901939,2026-04-23T23:55:14.039Z
2725349,960427,8199.24,2026-04-23T22:00:44.650Z,bid-extra-60357901949,2026-04-23T23:55:14.039Z
2725479,960737,4294.84,2026-04-23T22:00:44.651Z,bid-extra-60357901959,2026-04-23T23:55:14.039Z
2725609,961047,4930.4400000000005,2026-04-23T22:00:44.651Z,bid-extra-60357901969,2026-04-23T23:55:14.039Z
2725739,961357,5566.04,2026-04-23T22:00:44.651Z,bid-extra-60357901979,2026-04-23T23:55:14.039Z
2725869,961667,6201.64,2026-04-23T22:00:44.651Z,bid-extra-60357901989,2026-04-23T23:55:14.039Z
2725999,961977,6837.24,2026-04-23T22:00:44.651Z,bid-extra-60357901999,2026-04-23T23:55:14.039Z
2726129,962287,7472.84,2026-04-23T22:00:44.651Z,bid-extra-60357902009,2026-04-23T23:55:14.039Z
2726259,962597,8108.4400000000005,2026-04-23T22:00:44.651Z,bid-extra-60357902019,2026-04-23T23:55:14.039Z
2726389,962907,8744.04,2026-04-23T22:00:44.651Z,bid-extra-60357902029,2026-04-23T23:55:14.039Z
2726519,963217,9379.64,2026-04-23T22:00:44.651Z,bid-extra-60357902039,2026-04-23T23:55:14.039Z
2726649,963527,10015.24,2026-04-23T22:00:44.651Z,bid-extra-60357902049,2026-04-23T23:55:14.039Z
2726779,963837,10650.84,2026-04-23T22:00:44.652Z,bid-extra-60357902059,2026-04-23T23:55:14.039Z
2726909,964147,11286.44,2026-04-23T22:00:44.652Z,bid-extra-60357902069,2026-04-23T23:55:14.039Z
2727039,964457,7382.04,2026-04-23T22:00:44.652Z,bid-extra-60357902079,2026-04-23T23:55:14.039Z
2727169,964767,8017.64,2026-04-23T22:00:44.652Z,bid-extra-60357902089,2026-04-23T23:55:14.039Z
2727299,965077,8653.24,2026-04-23T22:00:44.652Z,bid-extra-60357902099,2026-04-23T23:55:14.039Z
2727429,965387,9288.84,2026-04-23T22:00:44.652Z,bid-extra-60357902109,2026-04-23T23:55:14.039Z
