auction,bidder,price,dateTime,extra,processed_time
9700129,900287,4930.4400000000005,2026-04-23T21:58:54.631Z,bid-extra-60346900009,2026-04-23T23:55:14.039Z
9700259,900597,5566.04,2026-04-23T21:58:54.631Z,bid-extra-60346900019,2026-04-23T23:55:14.039Z
9700389,900907,6201.64,2026-04-23T21:58:54.631Z,bid-extra-60346900029,2026-04-23T23:55:14.039Z
9700519,901217,6837.24,2026-04-23T21:58:54.631Z,bid-extra-60346900039,2026-04-23T23:55:14.039Z
9700649,901527,7472.84,2026-04-23T21:58:54.631Z,bid-extra-60346900049,2026-04-23T23:55:14.039Z
9700779,901837,8108.4400000000005,2026-04-23T21:58:54.632Z,bid-extra-60346900059,2026-04-23T23:55:14.039Z
9700909,902147,8744.04,2026-04-23T21:58:54.632Z,bid-extra-60346900069,2026-04-23T23:55:14.039Z
9701039,902457,9379.64,2026-04-23T21:58:54.632Z,bid-extra-60346900079,2026-04-23T23:55:14.039Z
9701169,902767,10015.24,2026-04-23T21:58:54.632Z,bid-extra-60346900089,2026-04-23T23:55:14.039Z
9701299,903077,10650.84,2026-04-23T21:58:54.632Z,bid-extra-60346900099,2026-04-23T23:55:14.039Z
9701429,903387,11286.44,2026-04-23T21:58:54.632Z,bid-extra-60346900109,2026-04-23T23:55:14.039Z
9701559,903697,11922.04,2026-04-23T21:58:54.632Z,bid-extra-60346900119,2026-04-23T23:55:14.039Z
9701689,904007,8017.64,2026-04-23T21:58:54.632Z,bid-extra-60346900129,2026-04-23T23:55:14.039Z
9701819,904317,8653.24,2026-04-23T21:58:54.632Z,bid-extra-60346900139,2026-04-23T23:55:14.039Z
9701949,904627,9288.84,2026-04-23T21:58:54.632Z,bid-extra-60346900149,2026-04-23T23:55:14.039Z
9702079,904937,9924.44,2026-04-23T21:58:54.633Z,bid-extra-60346900159,2026-04-23T23:55:14.039Z
9702209,905247,10560.04,2026-04-23T21:58:54.633Z,bid-extra-60346900169,2026-04-23T23:55:14.039Z
9702339,905557,11195.640000000001,2026-04-23T21:58:54.633Z,bid-extra-60346900179,2026-04-23T23:55:14.039Z
9702469,905867,2842.04,2026-04-23T21:58:54.633Z,bid-extra-60346900189,2026-04-23T23:55:14.039Z
9702599,906177,3477.6400000000003,2026-04-23T21:58:54.633Z,bid-extra-60346900199,2026-04-23T23:55:14.039Z
9702729,906487,4113.24,2026-04-23T21:58:54.633Z,bid-extra-60346900209,2026-04-23T23:55:14.039Z
9702859,906797,4748.84,2026-04-23T21:58:54.633Z,bid-extra-60346900219,2026-04-23T23:55:14.039Z
9702989,907107,5384.4400000000005,2026-04-23T21:58:54.633Z,bid-extra-60346900229,2026-04-23T23:55:14.039Z
