auction,bidder,price,dateTime,extra,processed_time
7700129,900287,2115.64,2026-04-23T22:01:34.631Z,bid-extra-60362900009,2026-04-23T23:55:14.039Z
7700259,900597,2751.2400000000002,2026-04-23T22:01:34.631Z,bid-extra-60362900019,2026-04-23T23:55:14.039Z
7700389,900907,3386.84,2026-04-23T22:01:34.631Z,bid-extra-60362900029,2026-04-23T23:55:14.039Z
7700519,901217,4022.44,2026-04-23T22:01:34.631Z,bid-extra-60362900039,2026-04-23T23:55:14.039Z
7700649,901527,4658.04,2026-04-23T22:01:34.631Z,bid-extra-60362900049,2026-04-23T23:55:14.039Z
7700779,901837,5293.64,2026-04-23T22:01:34.632Z,bid-extra-60362900059,2026-04-23T23:55:14.039Z
7700909,902147,5929.24,2026-04-23T22:01:34.632Z,bid-extra-60362900069,2026-04-23T23:55:14.039Z
7701039,902457,6564.84,2026-04-23T22:01:34.632Z,bid-extra-60362900079,2026-04-23T23:55:14.039Z
7701169,902767,7200.4400000000005,2026-04-23T22:01:34.632Z,bid-extra-60362900089,2026-04-23T23:55:14.039Z
7701299,903077,7836.04,2026-04-23T22:01:34.632Z,bid-extra-60362900099,2026-04-23T23:55:14.039Z
7701429,903387,8471.64,2026-04-23T22:01:34.632Z,bid-extra-60362900109,2026-04-23T23:55:14.039Z
7701559,903697,9107.24,2026-04-23T22:01:34.632Z,bid-extra-60362900119,2026-04-23T23:55:14.039Z
7701689,904007,5202.84,2026-04-23T22:01:34.632Z,bid-extra-60362900129,2026-04-23T23:55:14.039Z
7701819,904317,5838.4400000000005,2026-04-23T22:01:34.632Z,bid-extra-60362900139,2026-04-23T23:55:14.039Z
7701949,904627,6474.04,2026-04-23T22:01:34.632Z,bid-extra-60362900149,2026-04-23T23:55:14.039Z
7702079,904937,7109.64,2026-04-23T22:01:34.633Z,bid-extra-60362900159,2026-04-23T23:55:14.039Z
7702209,905247,7745.240000000001,2026-04-23T22:01:34.633Z,bid-extra-60362900169,2026-04-23T23:55:14.039Z
7702339,905557,8380.84,2026-04-23T22:01:34.633Z,bid-extra-60362900179,2026-04-23T23:55:14.039Z
7702469,905867,9016.44,2026-04-23T22:01:34.633Z,bid-extra-60362900189,2026-04-23T23:55:14.039Z
7702599,906177,9652.04,2026-04-23T22:01:34.633Z,bid-extra-60362900199,2026-04-23T23:55:14.039Z
7702729,906487,10287.640000000001,2026-04-23T22:01:34.633Z,bid-extra-60362900209,2026-04-23T23:55:14.039Z
7702859,906797,10923.24,2026-04-23T22:01:34.633Z,bid-extra-60362900219,2026-04-23T23:55:14.039Z
7702989,907107,11558.84,2026-04-23T22:01:34.633Z,bid-extra-60362900229,2026-04-23T23:55:14.039Z
7703119,907417,12194.44,2026-04-23T22:01:34.633Z,bid-extra-60362900239,2026-04-23T23:55:14.039Z
7703249,907727,8290.04,2026-04-23T22:01:34.633Z,bid-extra-60362900249,2026-04-23T23:55:14.039Z
7703379,908037,8925.64,2026-04-23T22:01:34.634Z,bid-extra-60362900259,2026-04-23T23:55:14.039Z
7703509,908347,9561.24,2026-04-23T22:01:34.634Z,bid-extra-60362900269,2026-04-23T23:55:14.039Z
7703639,908657,10196.84,2026-04-23T22:01:34.634Z,bid-extra-60362900279,2026-04-23T23:55:14.039Z
7703769,908967,1843.24,2026-04-23T22:01:34.634Z,bid-extra-60362900289,2026-04-23T23:55:14.039Z
7703899,909277,2478.84,2026-04-23T22:01:34.634Z,bid-extra-60362900299,2026-04-23T23:55:14.039Z
7704029,909587,3114.44,2026-04-23T22:01:34.634Z,bid-extra-60362900309,2026-04-23T23:55:14.039Z
7704159,909897,3750.04,2026-04-23T22:01:34.634Z,bid-extra-60362900319,2026-04-23T23:55:14.039Z
7704289,910207,4385.64,2026-04-23T22:01:34.634Z,bid-extra-60362900329,2026-04-23T23:55:14.039Z
7704419,910517,5021.24,2026-04-23T22:01:34.634Z,bid-extra-60362900339,2026-04-23T23:55:14.039Z
7704549,910827,5656.84,2026-04-23T22:01:34.634Z,bid-extra-60362900349,2026-04-23T23:55:14.039Z
7704679,911137,6292.4400000000005,2026-04-23T22:01:34.635Z,bid-extra-60362900359,2026-04-23T23:55:14.039Z
7704809,911447,2388.04,2026-04-23T22:01:34.635Z,bid-extra-60362900369,2026-04-23T23:55:14.039Z
7704939,911757,3023.64,2026-04-23T22:01:34.635Z,bid-extra-60362900379,2026-04-23T23:55:14.039Z
7705069,912067,3659.2400000000002,2026-04-23T22:01:34.635Z,bid-extra-60362900389,2026-04-23T23:55:14.039Z
7705199,912377,4294.84,2026-04-23T22:01:34.635Z,bid-extra-60362900399,2026-04-23T23:55:14.039Z
7705329,912687,4930.4400000000005,2026-04-23T22:01:34.635Z,bid-extra-60362900409,2026-04-23T23:55:14.039Z
7705459,912997,5566.04,2026-04-23T22:01:34.635Z,bid-extra-60362900419,2026-04-23T23:55:14.039Z
7705589,913307,6201.64,2026-04-23T22:01:34.635Z,bid-extra-60362900429,2026-04-23T23:55:14.039Z
7705719,913617,6837.24,2026-04-23T22:01:34.635Z,bid-extra-60362900439,2026-04-23T23:55:14.039Z
7705849,913927,7472.84,2026-04-23T22:01:34.635Z,bid-extra-60362900449,2026-04-23T23:55:14.039Z
7705979,914237,8108.4400000000005,2026-04-23T22:01:34.636Z,bid-extra-60362900459,2026-04-23T23:55:14.039Z
7706109,914547,8744.04,2026-04-23T22:01:34.636Z,bid-extra-60362900469,2026-04-23T23:55:14.039Z
7706239,914857,9379.64,2026-04-23T22:01:34.636Z,bid-extra-60362900479,2026-04-23T23:55:14.039Z
7706369,915167,5475.24,2026-04-23T22:01:34.636Z,bid-extra-60362900489,2026-04-23T23:55:14.039Z
7706499,915477,6110.84,2026-04-23T22:01:34.636Z,bid-extra-60362900499,2026-04-23T23:55:14.039Z
